弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
6.29900,1,25,16777215,1658915708,0,eaee1e40,火钳刘明
14.31100,1,25,16777215,1656432838,0,575c0d83,火钳刘明
138.70600,1,25,16777215,1655386448,0,f9016505,很棒
16.02000,1,25,16777215,1654785959,0,95e6134f,火钳刘明
21.17900,1,25,16777215,1654485647,0,b9fb3e46,九年级时超喜欢
68.99800,5,25,41194,1653719578,0,62ab49ed,从一而终啊啊啊啊啊（大哭
66.51800,5,25,15138834,1653719492,0,62ab49ed,七步！（即答
3.53400,1,25,16777215,1653492169,0,46a5a65b,火钳刘明
90.61700,1,25,16777215,1653406516,0,d97f7386,每一幕都是刀子
7.70500,1,25,16777215,1653400267,0,39a40846,热乎的 火钳刘明
15.93900,1,25,16777215,1653399791,0,38cbba76,我超喜欢这部电影！！！！
16.78200,1,25,16777215,1653384694,0,ff0a4588,好耶！是哥哥！
23.77900,1,25,16777215,1653383675,0,f2f2b55,前1000！好耶
87.87100,1,25,16777215,1661511633,0,2a84156,这是我见过唯一一个鬼畜都抵消不了的悲凉
23.93300,1,25,16777215,1661485049,0,a80f9866,火钳刘明
48.53900,1,25,16777215,1657416504,0,9bb6b23e,关了声音一切正常
62.88900,1,25,16777215,1656670055,0,9677aba1,就是《霸王别姬》啦
135.16100,1,25,16777215,1656417630,0,ace3a62a,一二三  五帮
60.83900,1,25,16707842,1654048131,0,4f5298,应该是《霸王别姬》吧
108.94700,1,25,16777215,1653738182,0,936c6599,承包空屏
11.51900,1,25,16777215,1653725655,0,48a17e21,最近刚刚追完！
80.99900,1,25,41194,1653719674,0,62ab49ed,这些画面真的是太痛了啊啊啊
40.78200,1,25,16777215,1653712169,0,21d81109,霸王别介
36.02200,1,25,16777215,1653708174,0,db9ac9ae,求电影名字
92.54400,1,25,16777215,1653580757,0,6d479ab3,这段好
21.51600,1,25,16777215,1653390778,0,5398c1b5,奇怪起来了
108.45900,1,25,16777215,1653390730,0,ead010e3,高质量视频，确实很好
68.77800,1,25,16777215,1653389067,0,8cd86288,虞姬虞姬奈何兮
15.63300,1,25,16777215,1653383465,0,1453d43a,十分钟
38.24600,1,25,16777215,1653724399,0,7ead7217,电影名霸王别姬
0.50500,5,25,9033215,1653410929,0,8492498a,傻孩子们快跑啊！都是刀子啊！
43.41900,1,25,16777215,1654444136,0,1798b95d,张国荣强无敌
21.36900,1,25,16777215,1653728876,0,30681a1e,这个灯光绝了
1.53400,5,25,41194,1653719930,0,62ab49ed,“我本是男儿郎，又不是女娇娥”
78.88400,5,25,41194,1653719616,0,62ab49ed,你是真虞姬！！！
30.51900,1,25,16777215,1658039331,0,a58e73e0,哽住了
48.62800,1,25,16777215,1653718197,0,32e8277f,挺好个电影，唉
0.31900,5,25,16707842,1653670805,0,ab674e02,前排前排
64.14700,1,25,16777215,1653396352,0,d9f5f3ca,请教请教
2.09900,1,25,16777215,1653382899,0,f0b852ef,1观看
55.30700,1,25,16777215,1653710671,0,1bc70dcc,好像是《霸王别姬》
26.46500,1,25,16777215,1653390358,0,ac392092,2
101.97000,1,25,16777215,1661305832,0,74ea5aa8,好好听
139.36600,5,25,15138834,1660532999,0,3aa962fb,夹带四货（不是）
38.53400,1,25,16777215,1659260139,0,a9fa0de6,霸王别姬
39.06200,1,25,16777215,1658915768,0,eaee1e40,霸王别姬
118.05300,1,25,16777215,1656989754,0,c871b931,这么好的活怎么没人啊
32.05900,1,25,16777215,1656434921,0,5a1e8029,？？？？？
38.99900,1,25,16777215,1654444122,0,1798b95d,霸王别姬啊
41.09300,5,25,16646914,1653752864,0,f329632c,张国荣的霸王别姬
2.29900,1,25,16777215,1653729372,0,5a39d613,你是歌姬吧
33.59700,1,25,16777215,1653718645,0,2f1a84f8,？
41.81900,1,25,16777215,1653718090,0,48befdeb,霸王别姬
22.69900,1,25,16777215,1653709444,0,cd4ce5ae,标题看成了你是真歌姬
16.69900,5,25,16777215,1653709431,0,cd4ce5ae,标题看成了你是真歌姬
7.57900,5,25,16777215,1653709413,0,cd4ce5ae,看成了你是真歌姬
1.45900,5,25,16777215,1653709405,0,cd4ce5ae,看成了你是真歌姬
140.34900,1,25,16646914,1653389139,0,8cd86288,看过霸王别姬的人  可能不是很多
101.30000,1,25,16777215,1653388310,0,b258ec74,你们管这叫水？和质量不是很高吗
108.66200,1,25,16777215,1653386255,0,8e55e4d6,大佬
130.56000,1,25,16777215,1653384623,0,69db701c,？？？？？？
64.74400,1,25,16646914,1653383173,0,7e9e845,该走出个一日千里，虎虎生风更该走出个恍如隔世啊！
66.73300,1,25,16777215,1653383026,0,7e9e845,该走出个一日千里，虎虎生威，更该走出个恍如隔世啊！
