弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
15.77900,4,25,16707842,1662018480,0,d1324ab7,恭喜宝藏发现了你
39.67700,5,25,16707842,1662017716,0,dfd2b453,恭喜宝藏发现了你
20.45800,1,25,15138834,1661977477,0,c3e09763,恭喜宝藏发现了你
18.04700,1,25,16777215,1661954599,0,cb819618,恭喜宝藏发现了你
14.31900,1,25,16777215,1661951753,0,714ccee8,恭喜宝藏发现了你
15.42200,1,25,16777215,1661949540,0,57dd1f62,恭喜宝藏发现了你
15.91900,1,25,16777215,1661944505,0,af376334,恭喜宝藏发现了你
15.02200,5,25,15138834,1661938497,0,39e7334b,恭喜宝藏发现了你
7.73100,1,25,16777215,1661930484,0,b1b1da1d,恭喜宝藏发现了你
148.97900,1,25,16707842,1661910689,0,7059c840,恭喜宝藏发现了你
43.25000,1,25,16707842,1661868123,0,2c081ad6,恭喜宝藏发现了你
23.87000,1,25,15138834,1661858787,0,c777f6e3,恭喜宝藏发现了你
25.81700,1,25,16777215,1661848195,0,345b4055,好家伙我还以为是刀子
4.79500,1,25,16777215,1661842644,0,57ba687,恭喜宝藏发现了你
80.95800,5,25,16777215,1661827435,0,10df4c71,恭喜宝藏发现了你
19.89600,1,25,16777215,1661798476,0,dda300e5,恭喜宝藏发现了你
15.09900,1,25,16777215,1661785418,0,38dfef1d,恭喜宝藏发现了你
12.13900,1,25,16707842,1661785407,0,38dfef1d,恭喜宝藏发现了你
18.10300,1,25,16777215,1661768742,0,3880d549,恭喜宝藏发现了你
5.03900,1,25,15138834,1661761188,0,1395e93e,恭喜宝藏发现了你
13.28700,1,25,16777215,1661756813,0,8d82209c,恭喜宝藏发现了你
15.92000,1,25,16777215,1661748656,0,b6c0d00c,恭喜宝藏发现了你
9.68000,4,25,16707842,1659691960,0,f9f38c06,恭喜宝藏发现了你
17.43500,1,25,16777215,1662012130,0,e3d6aff7,恭喜宝藏发现了你
105.37900,1,25,16777215,1662009787,0,ec26db16,恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！
48.73900,1,25,16777215,1662009723,0,ec26db16,恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭喜你发现了宝藏！恭
12.37900,1,25,16777215,1661979614,0,da78a0a8,恭喜宝藏发现了你
12.51400,1,25,16777215,1661918682,0,e7db9c7e,恭喜宝藏发现了你
3.61900,1,25,15138834,1661910965,0,8ec11546,恭喜宝藏发现了你
0.89900,1,25,16777215,1661908583,0,829d1d0b,恭喜宝藏发现了你
3.77000,1,25,2236962,1661836548,0,39edd57f,恭喜宝藏发现了你
45.13400,1,25,2236962,1661836449,0,39edd57f,恭喜宝藏发现了你
18.79500,1,25,16777215,1661836423,0,39edd57f,恭喜宝藏发现了你
87.99600,1,25,16707842,1661835868,0,5e458b2f,恭喜宝藏发现了你
0.67600,1,25,6830715,1661826240,0,d0f91ad,恭喜宝藏发现了你
25.60100,1,25,6830715,1661826181,0,d0f91ad,恭喜宝藏发现了你
174.84500,1,25,16707842,1661770643,0,c6a5f9ce,恭喜宝藏发现了你 
13.47900,1,25,16777215,1661733647,0,cf16c676,恭喜宝藏发现了你
101.94900,1,25,16777215,1661729929,0,e9191a3c,恭喜宝藏发现了你
78.89900,1,25,16707842,1661688922,0,d55fa57e,恭喜宝藏发现了你
15.51900,1,25,16777215,1661683272,0,6f5b70fb,恭喜宝藏发现了你
30.59900,1,25,16777215,1661774245,0,d4f37bca,恭喜宝藏发现了你
208.98800,1,25,16777215,1662022548,0,75248968,感动
22.96500,1,25,16777215,1662022369,0,cda8305c,黄
211.51800,1,25,16707842,1662021798,0,67f23a00,拒绝暴力（传下去！！！）
56.25900,1,25,16777215,1662020492,0,d29dc4a5,1阿巴阿巴
80.67900,1,25,15138834,1662019879,0,20f33de4,牛逼
78.11900,1,25,16777215,1662019866,0,20f33de4,牛
238.80800,1,25,16777215,1662019172,0,3af75f7e,拒绝网络暴力
224.97800,1,25,16777215,1662019158,0,3af75f7e,拒绝网络暴力米口
212.02700,1,25,16777215,1662019144,0,3af75f7e,拒绝网络暴力
7.17900,1,25,16777215,1662019022,0,bfb32f78,黄
38.81900,1,25,16777215,1662016304,0,e3a46749,为什么黄了
17.99900,1,25,16777215,1662015663,0,4c7081ee,绿
13.63900,1,25,16777215,1662015647,0,4c7081ee,？
29.75700,1,25,16777215,1662014157,0,110c7f0b,6
219.85300,1,25,16777215,1662013965,0,93a8a2ae,拒绝暴力（传下去！！！）拒绝暴力（传下去！！！）
54.94300,1,25,16777215,1662013547,0,c0bd8ab9,？？？？？？？
57.02300,1,25,38979,1662013009,0,c2535d13,绿
11.66300,1,25,16777215,1662011782,0,2bc0c5fc,绿
102.92200,1,25,38979,1662011221,0,d50468d,111
6.52300,1,25,15138834,1662010696,0,22d84ee,好！
81.28000,1,25,16707842,1662010565,0,db40dc86,黄
94.99600,1,25,16777215,1662010517,0,6b31527d,哎
64.82100,1,25,16777215,1662010026,0,fb7ca4c5, 。。。。。
40.76700,1,25,16777215,1662009948,0,f62e5a24,红
66.70700,1,25,16777215,1662009571,0,4f8e0ab4,及
82.53600,1,25,16776960,1662009403,0,95652603,与赌毒不共戴天
21.51200,1,25,16707842,1662009148,0,a156183c,黄
8.93700,1,25,16777215,1662008754,0,50a4d4f0,1
5.65900,1,25,16777215,1662008454,0,4095de0d,绿
104.53900,1,25,16777215,1662007693,0,57163703,是吗
14.81200,1,25,16777215,1662007619,0,fe04ac78,reoreoreo
221.45100,1,25,16777215,1662007293,0,1aa0e2b4,拒绝暴力
7.66300,1,25,16777215,1662006823,0,5a9c3482,黄
13.65400,1,25,52480,1662006793,0,1583539e,2233
32.19900,1,25,41194,1662005555,0,39201e8a,我不是黄哎~
22.10400,1,25,16777215,1662005472,0,e0237882,绿
216.49600,1,25,16777215,1662005267,0,a1364397,拒绝暴力（传下去！！！）
12.77500,1,25,16777215,1662004580,0,20e1cd3,..
18.34000,1,25,16777215,1662004191,0,f667faa,az
6.61300,1,25,16777215,1662004177,0,f667faa,？
31.59500,1,25,16777215,1662003750,0,901f75e5,。
88.09700,1,25,16777215,1662003022,0,860caf95,？
3.21900,1,25,38979,1662002749,0,bf258128,白
9.08700,1,25,16777215,1661999823,0,3e4f913f,？
15.82600,1,25,16707842,1661999102,0,37b976ef,黄
81.01900,1,25,16777215,1661998324,0,1cefc2d8,拒绝暴力
16.57900,1,25,16777215,1661998268,0,9892f74,黄
85.90700,1,25,16777215,1661997371,0,f3525e9e,？
18.91500,1,25,16707842,1661997005,0,373109e9,黄？。？
13.68800,1,25,16776960,1661996908,0,e9ce6aa0,黄
9.15600,1,18,16777215,1661996633,0,a8daaa71,不怕鬼畜惹人笑，就怕鬼畜有真奥
12.76200,1,25,16777215,1661996594,0,4d560f84,黄
65.12400,1,25,16777215,1661996161,0,bdc6f535,N
102.19900,1,25,16646914,1661994561,0,622ad923,？
88.47300,1,25,16777215,1661994544,0,622ad923,a
92.15100,1,25,16777215,1661994484,0,68960c72,？
209.26000,1,25,16777215,1661994480,0,a69252ed,拒绝网络暴力
239.51600,1,25,16777215,1661993347,0,6c564425,拒绝暴力
26.34400,1,25,16776960,1661992960,0,e85ccb,黄
223.56100,1,25,16777215,1661992719,0,720deb7f,啊这
241.94700,1,25,16776960,1661992445,0,5dce1060,拒绝暴力
243.02700,1,25,16777215,1661989052,0,f675446,拒绝暴力（传下去！！！）
16.77800,1,25,16777215,1661977455,0,c3e09763,每日不看心刺挠
92.31200,1,25,14811775,1661975498,0,7b56756b,wu！
89.61300,1,25,16777215,1661975489,0,7b56756b,wu！
2.02400,1,25,16777215,1661975115,0,7b56756b,黄
89.02000,1,25,15138834,1661967322,0,804502ed,；
92.73600,1,25,16777215,1661965106,0,5b404a2,白
229.05600,1,25,16707842,1661964722,0,29f9a862,拒绝网络暴力
219.98200,1,25,16777215,1661964066,0,1138328e,拒绝暴力（传下去！！！）
230.73900,1,25,16776960,1661963515,0,1138328e,拒绝暴力（传下去！！！）
13.21900,1,25,38979,1661963307,0,bf4df478,黄
44.43600,1,25,16777215,1661963295,0,2af01a59,针不戳
207.42200,1,25,16777215,1661963129,0,e578719d,让我们把不完美的世界变成你所期望的样子
82.30400,1,25,16777215,1661962979,0,e578719d,泪目了
56.46000,1,25,16777215,1661962701,0,7e286dde,nnnn
224.71600,1,25,16777215,1661959406,0,3ca7d6,拒绝暴力（传下去！！！）
73.53500,1,25,16777215,1661959264,0,4167193,哇酷哇酷
53.62200,1,25,16777215,1661959242,0,c4cc4157,黄色？
85.16200,1,25,16777215,1661958327,0,6c91f53,太6了
95.05900,1,25,16777215,1661958085,0,ddbe25d0,黄
71.82500,1,25,16777215,1661955864,0,a28342cf,哇
