弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
43.38300,1,25,16777215,1661954020,0,fd458ef7,还以为张三来了
3.25600,1,25,16777215,1661951006,0,9af5deec,恭喜你发现了宝藏恭喜你发现了宝藏
28.49600,1,25,16777215,1661934032,0,10e81690,我奔向远方！！
6.19400,4,25,16776960,1661399384,0,c63371f8,恭喜你发现了宝藏
4.21900,1,25,16777215,1661299543,0,af61f19e,无名的人啊，我敬你一杯酒
149.04800,1,25,16777215,1661174515,0,9a3ac636,最怕鬼畜动情
47.19900,1,25,16777215,1661165598,0,eff1af0c,红豆你抢我三连！（不是）
20.15700,1,25,15138834,1661141632,0,cc53349f,飘向远方！好评！！！
5.61900,1,25,16777215,1661102115,0,6ef3584e,恭喜你发现了宝藏
16.33900,5,25,15138834,1661091078,0,2b6235a0,今夕是何年？
18.15300,1,25,16777215,1661090859,0,f8244e96,飘向远方！
92.21900,1,25,16777215,1661090832,0,3aeb2e54,我听出了葛平和面筋哥的声音
96.67300,5,25,16646914,1661090307,0,e70e01e4,年少青涩的模样 梦曾在远方
94.37700,5,25,15138834,1661089323,0,72fc197b,面筋哥诶
62.27900,5,25,38979,1661088766,0,e82c4b1e,面筋哥的声音？
82.85900,1,25,16777215,1661087855,0,75dcb43f,面筋哥的声音在鬼畜区还挺有辨识度
21.77900,1,25,16707842,1661955765,0,3678711e,飘向北方啊啊啊
10.83500,5,25,15138834,1661874960,0,54acdfa0,葛叔排面
29.05200,1,25,16777215,1661874830,0,fdffde0b,飘向北方
203.16600,1,25,16777215,1661776436,0,edb2ca60,泪目
61.66300,1,25,16777215,1661351717,0,d8e9f8be,回家吧，定格了
13.54500,5,25,15138834,1661178585,0,a81c014f,吓我一跳
36.41700,1,25,16777215,1661130514,0,2fb8c3b6,这是重制吗?
94.75900,1,25,16777215,1661130197,0,8b861d23,想回家了
167.78500,1,25,16777215,1661103424,0,dc29e7d5,超威蓝猫！！！
18.96400,1,25,16777215,1661103231,0,dc29e7d5,同款行李箱（doge
31.85900,1,25,16777215,1661100504,0,aa4f3c36,刚刚，我出息了!
1.43900,1,25,15772458,1661094982,0,57fb879a,恭喜你发现了宝藏
1.43900,1,25,41194,1661094955,0,57fb879a,恭喜你发现了宝藏
1.43900,1,25,16707842,1661094941,0,57fb879a,恭喜你发现了宝藏
1.43900,1,25,15138834,1661094935,0,57fb879a,恭喜你发现了宝藏
183.25900,1,25,16777215,1661091795,0,dafb9651,[ohhhh]
84.53900,1,25,16777215,1661091019,0,84e6af18,这词真不错
44.45700,1,25,15138834,1661090979,0,190713ed,燕子你让我怎么活啊燕子
110.14200,1,25,16777215,1661090175,0,92009e34,泪目 三连了
