弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
19.78000,1,25,16777215,1659939612,0,ff35fe10,卡在开头
24.79000,1,25,16777215,1659938189,0,c2b75597,每天一遍
45.17900,1,25,16777215,1659433961,0,9bed45c,火钳刘明
17.74000,1,25,16777215,1657700708,0,25990899,火钳刘明
26.49900,1,25,16777215,1657700614,0,64d2d595,哈哈哈哈哈哈大头特写绝了
5.05900,1,25,16777215,1657700541,0,64d2d595,火钳刘明
7.44200,1,25,16777215,1657687613,0,575c0d83,火钳刘明
2.59900,1,25,8700107,1657680516,0,573bcd53,火钳刘明
18.30100,1,25,16777215,1657618667,0,7ab597ce,火钳刘明
26.80200,5,25,15138834,1657609973,0,eb27c935,火钳刘明
6.36600,1,25,16777215,1657606622,0,c6b85d14,火钳刘明
23.83900,1,25,16777215,1657603845,0,b4dd2533,火钳刘明
76.05200,1,25,16777215,1659941342,0,50212779,一如既往的好看
15.12300,1,25,16777215,1657702704,0,de5d124e,哈哈哈哈哈好可爱
30.53300,1,25,16777215,1657701922,0,53279351,火了踹我哈哈哈哈哈
78.08500,1,25,16777215,1657701867,0,53279351,阳光彩虹小白马
40.59800,1,25,16777215,1657701812,0,53279351,哈哈哈哈哈哈他好可爱！
26.51600,1,25,16777215,1657701461,0,790a9750,哈哈哈哈胖嘟嘟的好可爱
4.32900,1,25,16777215,1657701395,0,790a9750,火钳刘明
52.11600,1,25,16777215,1657701283,0,790a9750,面筋哥哈哈哈哈哈
65.46200,1,25,16777215,1657700820,0,64d2d595,滴——司机卡
46.07700,1,25,16777215,1657700662,0,46a1287f,魔音入耳了属于是
12.14100,1,25,16777215,1657700614,0,46a1287f,火钳刘明
19.29900,1,25,16777215,1657700570,0,64d2d595,有点上头
8.53900,1,25,16777215,1657700554,0,64d2d595,记得火了踢我
88.01900,1,25,16777215,1657680407,0,31f9a4e5,滴，学生卡
22.31600,1,25,16777215,1657680218,0,53279351,哈哈哈哈哈哈好可爱啊！
60.88400,1,25,16777215,1657671744,0,c6b85d14,阳光彩虹小白马
40.38100,1,25,16777215,1657633314,0,6fc1aecc,系你太美(笑)
81.50000,1,25,16777215,1657631394,0,827e0286,最后那句太魔性了
0.00000,5,25,15138834,1657614890,0,b494f9f7,火了登我
21.27300,1,25,16777215,1657603659,0,a76db2c8,[OHHHH]
9.50900,1,25,16777215,1659942231,0,cbe46311,全能小天才
23.85900,1,25,16777215,1659938868,0,bc062558,再来一遍！再来一遍！
3.81900,1,25,16777215,1657780529,0,9e0d72c9,滴滴滴滴滴滴学生卡
52.32300,1,25,16777215,1657702806,0,de5d124e,哈哈哈哈哈哈啊魔音
61.59900,1,25,16777215,1657701489,0,26451a2a,系好安全带
40.91500,1,25,16777215,1657700741,0,64d2d595,这安全带还能系好么哈哈哈哈哈
5.77900,1,25,16777215,1657637694,0,8264967c,火了撅我
18.84200,1,25,16777215,1657637078,0,d6ed0df4,这是涂山容容被黑的最惨第一次（doge）
46.81900,1,25,16777215,1657634955,0,1968f621,鸡蛋！我来啦！
9.96100,1,25,16777215,1657701417,0,790a9750,火了撅我
9.53400,1,25,16777215,1657701409,0,790a9750,火了登我
47.25200,1,25,16777215,1657701258,0,790a9750,系系系系系贝贝贝贝
44.00800,1,25,16777215,1657701046,0,31f9a4e5,气氛渲染到了
27.78200,1,25,16777215,1657623424,0,c6b85d14,我又行了
22.23900,1,25,16777215,1657606016,0,9e0d72c9,我又行了
22.04500,1,25,16777215,1659942812,0,cd804cd4,b站品质最高的系列~
53.75900,1,25,16777215,1657630530,0,8c8c8d82,阳光彩虹小白马
24.24700,1,25,16777215,1659937707,0,c90a78df,这是什么神仙UP
52.13900,1,25,16777215,1657700788,0,95bc4902,我曾以为这会是个正经视频
38.09700,1,25,16777215,1659945095,0,a8b8ca0b,进度条警告
29.41300,1,25,16777215,1659944840,0,e4afee75,差一点第一
4.95000,1,25,16777215,1659944814,0,9112a7d,宝藏阿婆主~
36.79400,1,25,16777215,1659944337,0,ffb6c807,我是被封面骗进来的
65.46100,1,25,16777215,1659944294,0,495187c,好评
32.49000,1,25,16777215,1659943840,0,79c1be35,下次一定
26.20400,1,25,16777215,1659943751,0,495187c,好评
19.98400,1,25,16777215,1659943446,0,d0a77055,不错
35.41600,1,25,16777215,1659943108,0,506798bb,来啦
30.07400,1,25,16777215,1659942982,0,1a3124bb,大家好
22.03900,1,25,16777215,1659942735,0,7775d549,UP主你真TM是个天才
46.42000,1,25,16777215,1659942428,0,c29bf842,没币了以后补
20.83600,1,25,16777215,1659942347,0,26e9cafc,含泪 告辞
33.53200,1,25,16777215,1659942142,0,30da263d,冲鸭
25.28300,1,25,16777215,1659941840,0,eadc467a,up 你好棒！向你学习
59.93200,1,25,16777215,1659941307,0,58205432,真实
25.85100,1,25,16777215,1659940894,0,85a3da75,人才
10.54100,1,25,16777215,1659940697,0,e023c9a2,好方
40.17300,1,25,16777215,1659940585,0,365cd44c,哈哈哈哈哈
32.08100,1,25,16777215,1659940504,0,778e6656,有人吗？
63.97400,1,25,16777215,1659940219,0,27a6d71f,没毛病
10.80700,1,25,16777215,1659940110,0,b3007a8d,前100弹幕助攻
35.69600,1,25,16777215,1659940062,0,d8c17e0a,太秀了
45.38700,1,25,16777215,1659939898,0,1f0abfa6,视频质量贼高，i了i了
14.88300,1,25,16777215,1659938926,0,6f715be7,已点赞加硬币
37.94500,1,25,16777215,1659938699,0,85d23307,不多说 先投币再看
0.00000,1,25,16777215,1659938611,0,5b0b82b0,赞！！
33.43400,1,25,16777215,1659938279,0,57654f7b,♂233333
44.33600,1,25,16777215,1659938261,0,97603f38,这次一定
30.12600,1,25,16777215,1659938168,0,b4cd72f4,阿婆主真的太用心了
15.50100,1,25,16777215,1659937000,0,47468daa,很棒很不错！
21.34700,1,25,16777215,1659936954,0,27a4fc47,佩服佩服
13.30500,1,25,16777215,1659936894,0,e45c8ae1,加油哦
15.53600,1,25,16777215,1659936751,0,4e95dae0,你好棒
21.07200,1,25,16777215,1659936698,0,2c9de5b4,溜了溜了
16.50600,1,25,16777215,1659936450,0,733897b8,来啦来啦
13.65900,1,25,16777215,1659936056,0,62b09330,学废了
31.24700,1,25,16777215,1659935345,0,d970c989,这期质量爆炸
34.55600,1,25,16777215,1659934639,0,a43e89e3,是我啦啦啦啦
7.53600,1,25,16777215,1659063801,0,9e0d72c9,撅撅撅撅撅撅撅撅撅撅撅撅
32.36300,1,25,16777215,1658645681,0,1b0cda7,5
27.21900,1,25,16777215,1658512534,0,6784b321,？
0.72100,1,25,16777215,1658504452,0,3beebc8f,我上车，谁赞成谁反对？
49.25900,1,25,16777215,1657780606,0,9e0d72c9,安全带：你弄死我得了
31.61700,1,25,16777215,1657779720,0,9e0d72c9,妈耶
26.43700,1,25,16777215,1657779711,0,9e0d72c9,。。。。。
91.86500,1,25,15138834,1657760186,0,9e0d72c9,魔幻
90.73800,1,25,15138834,1657760154,0,9e0d72c9,魔性
57.10600,1,25,15138834,1657704708,0,9e0d72c9,红起来$$$$¥¥¥¥¥¥¥
75.52300,1,25,16777215,1657702862,0,de5d124e,坐稳扶好
73.56300,1,25,16777215,1657702843,0,de5d124e,坐坐坐坐，哈哈哈哈哈
32.28300,1,25,16777215,1657702744,0,de5d124e,好魔性
5.91000,1,25,16777215,1657701897,0,53279351,给我笑死
83.33100,1,25,16777215,1657701619,0,26451a2a,莫要超速
71.68300,1,25,16777215,1657701607,0,26451a2a,老司机带带我~~
94.08000,1,25,16777215,1657701533,0,26451a2a,走着 瓷儿
76.85700,1,25,16777215,1657701504,0,26451a2a,支持新能源
50.48000,1,25,16777215,1657701478,0,26451a2a,发车啦
32.70100,1,25,16777215,1657701460,0,26451a2a,已被洗脑
61.41700,1,25,16777215,1657701343,0,790a9750,姚局姚局带带我
23.52900,1,25,16777215,1657701017,0,31f9a4e5,要素过多
77.42100,1,25,16777215,1657700930,0,46a1287f,我坐好了，发车吧
32.58700,5,25,16777215,1657700890,0,64d2d595,成功承包这片空屏
88.22200,5,25,16777215,1657700856,0,64d2d595,强啊强啊
2.07500,5,25,15138834,1657700841,0,827e0286,妈妈，他在飞诶
82.03400,1,25,16777215,1657700839,0,95bc4902,没几年的驾龄真开不好这个车
69.01600,1,25,16777215,1657700826,0,95bc4902,老司机了
83.47900,1,25,16777215,1657700814,0,46a1287f,上车了您呐
3.28800,1,25,16777215,1657700809,0,95bc4902,来了来了
41.74500,1,25,16777215,1657700793,0,827e0286,经典挠头
0.75800,1,25,16777215,1657700727,0,827e0286,这是真飞呀
71.75100,1,25,16777215,1657700691,0,46a1287f,我要上车
93.46700,1,25,16777215,1657700683,0,827e0286,亮点在最后
87.86000,1,25,16777215,1657700655,0,827e0286,这是飞车吧
25.65200,1,25,16777215,1657700641,0,46a1287f,姚局姚局带带我
75.26800,1,25,16777215,1657700621,0,827e0286,安全意识还挺好
76.16100,1,25,16777215,1657700552,0,46a1287f,请扶稳坐好
1.65600,1,25,16777215,1657700473,0,827e0286,这是空中飞人吗？
14.96800,1,25,16777215,1657688287,0,9e0d72c9,大佬大佬？
0.00000,1,25,16777215,1657688258,0,9e0d72c9,才想起来片头是真飞的车还是合成的
6.56700,1,25,8700107,1657680525,0,573bcd53,闻讯赶来
75.51700,1,25,8700107,1657680494,0,573bcd53,没几年驾龄真开不好这个车
83.32600,1,25,16777215,1657680392,0,31f9a4e5,上车走啦！
86.16300,1,25,16777215,1657680375,0,31f9a4e5,已被洗脑
59.19300,1,25,16777215,1657680246,0,46a1287f,偶尔刷到，艾玛太好玩了，这里面是谁呀，好可耐呀
46.45400,1,25,16777215,1657680242,0,53279351,哈哈哈哈哈哈哈哈
71.28900,1,25,16777215,1657672662,0,9e0d72c9,姚局是谁啊。。。。？
64.42500,1,25,16777215,1657672655,0,9e0d72c9,这个厉害了
0.00000,1,25,16777215,1657650223,0,9e0d72c9,飞飞飞飞
37.12700,1,25,16777215,1657640200,0,9e0d72c9,～～～～～～～～～～～～
33.54700,1,25,16777215,1657640191,0,9e0d72c9,～～～～～～～～～～～～～～～～～
16.52100,1,25,16777215,1657637610,0,9e0d72c9,哈哈哈哈哈
52.92800,1,25,16777215,1657623673,0,c6b85d14,面筋哥来一个
16.51100,1,25,16777215,1657623572,0,c6b85d14,哥们长的有点像涂山容容
87.51600,1,25,16777215,1657623320,0,c6b85d14,姚局的车友圈
68.58400,1,25,16777215,1657623281,0,c6b85d14,这。。。
15.79500,5,25,41194,1657613712,0,12706811,心里要鸡得～
13.01500,5,25,41194,1657613696,0,12706811,还管他 干嘛～
10.35500,5,25,41194,1657613683,0,12706811,还恨他 干嘛～
7.56500,5,25,41194,1657613653,0,12706811,鸡燃然没办法～
86.81100,1,25,16777215,1657611732,0,4a48866c,坐大牢
40.64000,5,25,16646914,1657609693,0,8f524cea,寄寄寄寄寄寄寄寄寄
16.91400,1,25,16777215,1657608885,0,9e0d72c9,哈哈哈哈哈哈哈哇哇哇哇
20.19200,1,25,16777215,1657608739,0,9e0d72c9,飞飞飞行汽车？？
57.69900,1,25,16777215,1657608489,0,46ac2c90,一小时都凉透了
92.33800,1,25,16777215,1657606587,0,c6b85d14,最后亮了
41.58200,1,25,16777215,1657606520,0,c6b85d14,这么玩可以了
5.66700,1,25,16777215,1657606484,0,c6b85d14,飞行汽车赢了
30.83900,1,25,16777215,1657606030,0,9e0d72c9,还能这么玩呀。。。
14.55700,1,25,16777215,1657603774,0,aeba3e95,六分钟，热热还能吃
7.77900,1,25,16777215,1657603658,0,67d491eb,第二，新鲜！！
1.09900,1,25,16777215,1657603653,0,9e0d72c9,那几个嗨喽一嗓子太洗脑了
0.61900,1,25,16777215,1657603443,0,56223020,一分钟，妈妈我出息了
