弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
30.95300,1,25,15138834,1657603030,0,caec69c3,火钳刘明
72.97900,1,25,16777215,1656584516,0,da17e4ae,哈哈哈好上头啊我靠
3.62100,1,25,16777215,1656572128,0,58bcd28,甲方：有你是我的辐气
17.80600,1,25,16777215,1656488807,0,625976a,卧龙凤雏
53.25900,1,25,16777215,1655963258,0,4c57f370,哈哈哈哈哈哈哈3d悬浮贴面 
42.19400,1,25,16777215,1655368387,0,2b8751b7,火钳刘明
64.74500,1,25,16777215,1655302129,0,1cacc632,火钳刘明
1.93400,1,25,16777215,1655289412,0,117f0d8,火钳刘明
39.51300,1,25,16777215,1655213630,0,5a492301,火钳刘明
28.75800,1,25,16777215,1655213619,0,5a492301,火钳刘明
20.57800,1,25,16777215,1655213611,0,5a492301,火钳刘明
11.12400,1,25,16777215,1655213602,0,5a492301,火钳刘明
3.05400,5,25,16707842,1655084481,0,e91411d5,火了记得踢我一下
38.24800,1,25,16777215,1655013862,0,cf96ab4,火钳刘明
35.67900,1,25,16777215,1654744139,0,85a126ea,火钳刘明
44.27800,1,25,16707842,1654705810,0,44dec517,火钳刘明
6.69900,1,25,16777215,1654399857,0,993bbb97,火钳刘明
40.42500,1,25,15138834,1654180761,0,86d18fbe,火钳刘明
24.11900,1,25,16777215,1654145015,0,1d809fd3,王雷模式
8.09900,1,25,16777215,1653785224,0,7b909f93,火钳刘明
37.14200,1,25,16777215,1653659063,0,df2b1d44,火钳刘明
21.01000,5,25,15138834,1653487543,0,93d72a6b,火钳刘明
31.26600,1,25,16777215,1653439668,0,e7085e53,火钳刘明
76.62100,1,25,16777215,1653397032,0,3dfabf7e,火钳刘明
22.65900,1,25,38979,1653390480,0,4f338de,王雷：我有继承人了
36.95200,5,25,16646914,1653317634,0,74f06f75,他押韵一直可以的doge
28.21500,1,25,16777215,1653236331,0,a441e10e,哈哈哈哈哈哈哈哈哈哈哈 哈的睡不着了
61.34000,5,25,15138834,1653156787,0,15dc2834,火钳刘明
62.72800,1,25,16777215,1653145454,0,25f664f2,火钳刘明
68.91900,1,25,16777215,1653130168,0,99ace47f,火钳刘明
15.73900,5,25,15138834,1653126777,0,3ee0ed2d,王雷同款直播间
60.83100,1,25,16777215,1653117309,0,9358d0d6,火钳刘明
59.62500,5,25,15138834,1653113115,0,886e8abb,火钳刘明
0.00000,5,25,15138834,1653112593,0,e38d304b,我刷到了个宝藏！！！
24.52700,1,25,16777215,1653112073,0,cd985858,王雷体验卡
56.93900,1,25,16777215,1653035055,0,171d324f,火钳刘明
0.00000,1,25,16777215,1653019359,0,f53d404d,火钳刘明
26.93900,1,25,16777215,1653018880,0,320f505f,动力歌姬
5.95000,1,25,16777215,1659771953,0,8feb4493,曲对币有
