弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
86.70700,5,25,14811775,1661929536,0,ecff1c7d,让我怎么去烹饪！
31.08100,5,25,14811775,1661929463,0,ecff1c7d,第一次压扁成这样的我~让我怎么去烹饪！
34.74700,5,25,15138834,1661860164,0,26624658,第一次压扁成这样的我～
91.10900,5,25,15138834,1661836060,0,b436e390,禁忌二重奏！！！
111.91000,7,120,16646914,1661824805,0,b6b7f11,"[0,0,""1-1"",4.5,""巅峰诞生虚伪的拥护，黄昏见证虔诚的信徒"",8,3,0,0,700,0,1,""SimHei"",1,""M116,237L117,238L118,238L120,238L123,238L126,238L127,238L131,236L132,235L138,232L139,230L142,229L148,226L152,224L152,223L159,218L161,216L162,216L164,214L165,214L166,213L169,211L170,210L170,210""]"
50.93100,7,80,9033215,1661824661,0,b6b7f11,"[0,0,""1-1"",4.5,""鸡"",5,3,0,0,700,0,1,""SimHei"",1,""M290,133L290,133L281,140L278,142L277,142L274,142L272,143L271,144L270,145L269,146L269,147L268,147L265,148L263,149L262,149L262,150L252,155L252,155""]"
50.02600,7,80,9033215,1661824655,0,b6b7f11,"[0,0,""1-1"",4.5,""鸡"",5,3,0,0,700,0,1,""SimHei"",1,""M290,133L290,133L281,140L278,142L277,142L274,142L272,143L271,144L270,145L269,146L269,147L268,147L265,148L263,149L262,149L262,150L252,155L252,155""]"
39.17000,7,80,9033215,1661824633,0,b6b7f11,"[0,0,""1-1"",4.5,""诶哦"",5,3,0,0,700,0,1,""SimHei"",1,""M290,133L290,133L281,140L278,142L277,142L274,142L272,143L271,144L270,145L269,146L269,147L268,147L265,148L263,149L262,149L262,150L252,155L252,155""]"
39.17000,7,80,9033215,1661824613,0,b6b7f11,"[0,0,""1-1"",4.5,""鸡你太美"",5,3,0,0,700,0,1,""SimHei"",1,""M306,266L306,266L307,265L307,264L307,262L307,259L309,257L309,255L309,254L317,252L329,249L333,246L334,246L335,246L336,244L336,244""]"
51.10000,7,80,9033215,1661824543,0,b6b7f11,"[0,0,""1-1"",4.5,""鸡你太美"",5,3,0,0,700,0,1,""SimHei"",1,""M306,266L306,266L307,265L307,264L307,262L307,259L309,257L309,255L309,254L317,252L329,249L333,246L334,246L335,246L336,244L336,244""]"
46.53700,7,60,16646914,1661824503,0,b6b7f11,"[0,0,""1-1"",4.5,""鸡"",5,3,0,0,700,0,1,""SimHei"",1,""M306,266L306,266L307,265L307,264L307,262L307,259L309,257L309,255L309,254L317,252L329,249L333,246L334,246L335,246L336,244L336,244""]"
46.24200,7,60,16646914,1661824485,0,b6b7f11,"[0,0,""1-1"",4.5,""鸡"",5,3,0,0,700,0,1,""SimHei"",1,""M767,244L767,244L781,244L793,244L798,244L801,240L803,236L804,233L805,232L805,230L806,226L806,224L807,223L809,220L809,218L811,216L811,215L811,214L811,214""]"
44.47600,7,60,16646914,1661824449,0,b6b7f11,"[0,0,""1-1"",4.5,""鸡你"",5,3,0,0,700,0,1,""SimHei"",1,""M657,264L657,264L666,261L671,258L677,252L679,246L679,245L682,245L682,245""]"
43.15000,7,60,16646914,1661824419,0,b6b7f11,"[0,0,""1-1"",4.5,""你太美"",5,3,0,0,700,0,1,""SimHei"",1,""M229,135L229,135L231,135L232,134L231,133L229,132L228,132L227,132L223,132L222,132L221,131L220,131L219,131L212,132L211,132L209,134L206,136L204,138L203,138L203,138""]"
42.57400,7,60,16646914,1661824387,0,b6b7f11,"[0,0,""1-1"",4.5,""鸡"",5,3,0,0,700,0,1,""SimHei"",1,""M229,135L229,135L231,135L232,134L231,133L229,132L228,132L227,132L223,132L222,132L221,131L220,131L219,131L212,132L211,132L209,134L206,136L204,138L203,138L203,138""]"
11.25700,7,60,16646914,1661824324,0,b6b7f11,"[0,0,""1-1"",4.5,""实 在 是 太 美"",5,3,0,0,700,0,1,""SimHei"",1,""M386,339L391,339L393,340L395,340L396,340L397,340L399,340L400,340L401,340L402,340L403,340L405,340L407,340L408,340L410,340L411,340L411,341L412,341L413,341L414,341L414,341""]"
