弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
37.65100,5,25,15138834,1662014482,0,9e73229b,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
49.78000,5,25,16777215,1661947949,0,b27cc710,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
56.76600,1,25,16777215,1661930511,0,5d2e18ca,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
61.92800,5,25,13369971,1661916665,0,b890de55,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
61.92800,5,25,4351678,1661916657,0,b890de55,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
61.92800,5,25,104601,1661916650,0,b890de55,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
60.31400,5,25,16740868,1661916621,0,b890de55,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
60.31400,5,25,9033215,1661916615,0,b890de55,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
60.31400,5,25,16646914,1661916608,0,b890de55,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
57.86600,5,25,16776960,1661916600,0,b890de55,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
46.06000,5,25,16776960,1661916589,0,b890de55,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
47.41900,1,25,16777215,1661903773,0,93f92bc1,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
1.02700,7,36,16777215,1661858163,0,7963d7dd,"[28,336,""1-1"",4.6,""开字幕"",0,0,519,328,1500,0,1,""SimHei"",0]"
8.36400,7,35,16776960,1661853878,0,7963d7dd,"[94,315,""1-1"",1.5,""迎面走来的你竟然是存储运动"",0,0,95,335,500,0,1,""SimHei"",1]"
106.18500,5,25,104601,1661850883,0,d6239ce6,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
48.46500,1,25,104601,1661850824,0,d6239ce6,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
39.77900,1,25,16777215,1661784355,0,f00ccc4e,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
36.88400,1,25,8700107,1661612155,0,de9ed3b7,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
113.56300,7,127,9033215,1661606249,0,73fd35e3,"[0.86,0.747,""0-1"",9,""姬霓太美~~"",5,7,0,0,5,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
88.41700,7,127,9033215,1661606205,0,73fd35e3,"[0.86,0.747,""0-0"",9,""你干嘛~~"",5,7,0,0,50,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
67.21300,7,127,16776960,1661606134,0,73fd35e3,"[0.86,0.747,""0-1"",9,""荔枝"",5,7,0,0,50,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
32.06300,7,90,52480,1661606051,0,73fd35e3,"[0,0,""0-1"",9,""你干嘛~~"",5,7,0,0,50,0,1,""\""Microsoft YaHei\"""",1]"
1.50600,7,90,16646914,1661605914,0,73fd35e3,"[0,0,""1-1"",9,""食不食油饼"",5,7,0,0,50,0,1,""NSimSun"",1]"
118.02100,1,25,16777215,1661584252,0,42f3b683,这个眼神好带感哈哈哈！！
0.99000,1,25,16777215,1661486135,0,d746b9f5,1.25超好听
31.23000,1,25,16777215,1661433794,0,96f86e6a,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
40.06700,1,25,16777215,1661427870,0,15cd9992,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
29.16100,1,25,16777215,1661415146,0,c1e82f25,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
27.63900,4,25,16777215,1661414767,0,950c4f99,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
67.97000,4,25,41194,1661405502,0,3cce75fb,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
14.48100,1,25,16777215,1661403047,0,2c7fc03c,宝藏发现我的能力一直是可以的
27.61900,5,25,38979,1661395966,0,a715b27e,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
32.14800,5,25,38979,1661351047,0,3374f206,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
32.14800,5,25,41194,1661351031,0,3374f206,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
51.53900,1,25,38979,1661325424,0,b6f3d15f,感觉挺好听（！）
23.83900,5,25,38979,1661324153,0,728bd0fe,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
33.01900,1,25,16777215,1661304403,0,149d84bf,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
49.29600,1,25,16777215,1661275506,0,2f8595f4,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
41.69600,1,25,16777215,1661275491,0,2f8595f4,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
30.09700,7,85,16740868,1661252772,0,eff8f848,"[70,90,""1-1"",7.5,""你干嘛~~~哎哟"",0,0,150,180,600,100,1,""NSimSun"",1]"
6.57900,7,70,52480,1661252701,0,eff8f848,"[70,90,""1-1"",7.5,""油饼"",0,0,150,180,600,100,1,""NSimSun"",1]"
6.57900,7,70,52480,1661252680,0,eff8f848,"[70,90,""1-1"",7.5,""食不食香精煎鱼"",0,0,150,180,600,100,1,""NSimSun"",1]"
109.54600,7,70,52480,1661252480,0,eff8f848,"[0,0,""1-1"",7.5,""我愿意把我的臀部都给你"",1,1,70,90,600,100,1,""NSimSun"",1]"
109.54600,7,70,52480,1661252418,0,eff8f848,"[0,0,""1-1"",7.5,""我愿意把我的臀部都给你"",1,6,20,120,600,100,1,""NSimSun"",1]"
98.93800,7,66,52480,1661252224,0,eff8f848,"[100,120,""1-1"",6.6,""厉不厉害，你坤哥"",1,6,200,240,600,600,1,""NSimSun"",1]"
95.61100,7,66,16646914,1661251559,0,eff8f848,"[100,120,""1-1"",6.6,""你干嘛~~~~哎哟~~~~"",1,6,200,240,600,400,1,""NSimSun"",1]"
95.61100,7,66,16646914,1661251513,0,eff8f848,"[100,120,""1-1"",6.6,""你干嘛~~~~哎哟~~~~"",1,6,200,240,600,0,1,""NSimSun"",1]"
44.81200,4,25,16646914,1661228861,0,b4916980,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
44.09900,1,25,16777215,1661183643,0,bf9f84ee,怪好看的哈哈哈哈哈哈哈
1.41900,4,25,15138834,1661179232,0,d761a0ff,我去双厨狂喜！！
22.53400,1,25,38979,1661171621,0,c1b81daa,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
30.77800,1,25,38979,1661155050,0,4f7ff67,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
10.58500,7,127,16777215,1661065367,0,69e4d9ae,"[1084,578,""1-1"",10,""oh~baby"",6,12,28,13,800,0,1,""SimHei"",1]"
136.18100,7,72,16776960,1661065211,0,69e4d9ae,"[1027,344,""1-1"",10,""你干嘛~"",19,0,50,11,500,0,1,""SimHei"",1]"
25.50100,4,25,8700107,1661058015,0,7a91efe4,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
25.50100,4,25,8700107,1661058009,0,7a91efe4,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
32.76600,1,25,16777215,1661056895,0,78dc435b,好酷！！！！
52.83600,1,25,16777215,1660844618,0,19be53aa,救命好帅
62.41300,7,81,16646914,1660707541,0,18f76358,"[192,100,""1-1"",4.5,""小黑子树枝666"",21,17,88,75,500,0,1,""SimHei"",1]"
62.41300,7,81,16646914,1660707522,0,18f76358,"[192,100,""1-1"",4.5,""小黑子树枝666"",39,17,88,75,500,0,1,""SimHei"",1]"
62.41300,7,81,16646914,1660707496,0,18f76358,"[192,100,""1-1"",4.5,""小黑子树枝666"",31,17,88,75,500,0,1,""SimHei"",1]"
8.85700,7,68,16646914,1660657737,0,18f76358,"[256,127,""1-1"",4.5,""迎面走来的你让我如此蠢蠢欲动"",10,0,106,162,500,0,1,""SimHei"",1]"
1.01900,7,82,16646914,1660657609,0,18f76358,"[141,127,""1-1"",4.5,""你干嘛"",49,19,106,162,500,0,1,""SimHei"",1]"
1.01900,7,82,16646914,1660657599,0,18f76358,"[141,127,""1-1"",4.5,""你干嘛"",25,19,106,162,500,0,1,""SimHei"",1]"
1.01900,7,82,16646914,1660657586,0,18f76358,"[141,127,""1-1"",4.5,""你干嘛"",25,0,106,162,500,0,1,""SimHei"",1]"
10.09900,1,25,16777215,1660614160,0,fa3cadd4,当ikun就是好，每天都有新歌听（doge）
54.09900,1,25,16777215,1660582966,0,9a80d215,坤坤好帅(真)
22.70900,7,50,16646914,1660574915,0,18f76358,"[129,65,""1-1"",4.5,""你干嘛"",0,0,101,79,500,0,1,""SimHei"",1]"
22.70900,7,50,16646914,1660574905,0,18f76358,"[98,65,""1-1"",4.5,""你干嘛"",0,0,101,79,500,0,1,""SimHei"",1]"
22.70900,7,50,16646914,1660574893,0,18f76358,"[98,65,""1-1"",4.5,""你干嘛"",0,0,59,79,500,0,1,""SimHei"",1]"
22.70900,7,50,16646914,1660574882,0,18f76358,"[98,65,""1-1"",4.5,""你干嘛"",0,0,59,52,500,0,1,""SimHei"",1]"
22.70900,7,50,16646914,1660574874,0,18f76358,"[88,65,""1-1"",4.5,""你干嘛"",0,0,59,52,500,0,1,""SimHei"",1]"
130.29700,1,25,38979,1660554317,0,8b033e4b,你干嘛啊～～哈哈～～哎哟
64.68700,5,25,16707842,1660542566,0,74231744,救命为什么这么帅啊哈哈哈哈哈
2.71200,7,66,16646914,1660471633,0,18f76358,"[118,65,""1-1"",4.5,""道歉会不会\n道歉会不会\n你们为什么油炸我家哥哥"",0,0,47,72,500,0,1,""SimHei"",1]"
13.32800,1,25,16777215,1660357839,0,e9e544e8,我一个真爱粉，都感觉好听
71.91700,1,25,16777215,1660149336,0,732be0d1,太高质量了啊 真的好听啊 还很好看 救命
89.96000,1,25,15138834,1660120153,0,1d136ae8,╭(°A°`)╮
80.95900,1,25,15138834,1660120131,0,1d136ae8,╭(°A°`)╮
98.79500,1,25,16777215,1660056630,0,5f5e6596,当ikun就是好，每天都有新歌听（doge）
38.08700,5,25,16707842,1660055189,0,627207e0,《 余 音 绕 梁 》
8.89900,4,18,11890,1659960652,0,c70b00eb,ikun太幸福了
49.05700,1,25,16777215,1659934735,0,1c3d620,救命好好听（草）
63.23900,1,25,16777215,1659921406,0,2684a34f,有点帅哈哈哈哈
43.75200,1,25,9599289,1659800733,0,3ad27450,觉得好帅是怎么回事哈哈哈
41.97900,1,25,16777215,1658827547,0,f70b210a,我觉得好帅哈哈哈哈哈救命
23.57900,1,25,16777215,1658548905,0,491368b2,卧槽居然好好听又好好看
11.83800,5,25,16707842,1658501939,0,4989907f,《御姐坤坤》
1.51000,5,25,16777215,1658501396,0,24f09ed9,宝藏发现我的能力一直是可以的
49.17900,1,25,16777215,1661906380,0,c4e3ba16,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
37.31900,1,25,16777215,1661816489,0,1c207223,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
33.94200,1,25,41194,1661733126,0,20a72e72,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
75.77000,1,25,16776960,1661732605,0,6549c4e0,好家伙居然挺帅？！！
91.36400,1,25,16776960,1661654187,0,9857191e,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
47.51800,1,25,16777215,1661516829,0,4f78b97a,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
36.60000,1,25,16777215,1661516818,0,4f78b97a,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
10.72700,1,25,16777215,1661508017,0,8f59456b,恭喜宝藏发现了你
37.88200,1,25,15138834,1661423998,0,d3049cb7,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
18.95900,1,25,15138834,1661314433,0,65944efb,痛！太痛了！！！
79.69900,1,18,16777215,1661312349,0,f11b576a,好帅啊wc!
35.36200,1,25,16777215,1661305185,0,780ada02,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
22.57600,1,25,16777215,1661305158,0,780ada02,当ikun就是好，每天都有新歌听（doge）
122.25000,1,25,16755202,1661266030,0,d715e10b,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
33.58300,1,25,38979,1661150839,0,ac333251,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
10.08300,1,25,15138834,1661150815,0,ac333251,当ikun就是好，每天都有新歌听（doge）
38.03200,1,25,16777215,1661147008,0,1cc01fd7,指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！ 指尖旋转的篮球，是我此生不变的信仰，唯我ikun永世长存！！！
42.14600,1,25,16777215,1660960845,0,e554c01c,哈哈哈哈哈哈哈哈哈哈这一段笑疯了
8.81900,1,25,16777215,1660894690,0,cc990ffb,恭喜你发现了宝藏
13.77700,1,25,16777215,1660881983,0,511e2154,恭喜宝藏发现了你
15.22100,1,25,16777215,1660615785,0,93716bb6,恭喜宝藏发现了你
49.54400,1,25,16777215,1660524102,0,ce4001d9,好好听啊卧槽
8.05200,1,25,16777215,1660281575,0,62549dc6,恭喜你发现了宝藏
8.48700,1,25,16777215,1660093862,0,4b7348d1,宝藏发现我的能力一直是可以的
2.25600,1,25,16777215,1659886304,0,a2af4d51,我一个真爱粉，都感觉好听
5.18300,1,25,15138834,1659835739,0,61d4774c,火了撅我（迫不及待）
36.29900,1,25,16777215,1659107934,0,6b115e6a,莫名好听怎么办哈哈哈哈哈
100.48300,1,25,16777215,1662019540,0,25fd8779,及拟态美g
62.89700,1,25,16777215,1662019502,0,25fd8779,分段分段分段分段分段方法的幅度浮动幅度f
51.81100,5,25,16777215,1662014504,0,9e73229b,[ohh]
17.55500,5,25,15138834,1662014458,0,9e73229b,[ohh]
13.45900,1,25,16777215,1662014442,0,9e73229b,[ohh]
10.56300,1,25,16777215,1662014434,0,9e73229b,[ohh]
60.13700,5,25,41194,1662009365,0,2221024c,太好看了吧
13.26600,1,25,15138834,1661962730,0,4dfa431,《 糕 级 弹 幕 》
11.93700,1,25,16777215,1661951394,0,878d73bb,小鸡脚，露出黑子了吧
5.22200,1,25,16777215,1661950747,0,d68a4848,ohohohohohoh
60.81900,1,25,16777215,1661937459,0,2ec9644b,你干嘛哎哟
17.42000,1,25,15138834,1661932696,0,552483d9,[每周必看]
5.65900,5,25,16777215,1661930779,0,4cae5b70,黑化的鸡（非常确信）
49.21900,1,25,16777215,1661926735,0,d7d8a6fa,↓你干嘛~哎呦
28.43700,1,25,16777215,1661925964,0,2091e0b8,你干嘛
17.79400,1,25,16777215,1661925952,0,2091e0b8,苏珊
35.41900,1,25,16777215,1661925940,0,a49615db,你干嘛
75.77100,1,25,52480,1661924998,0,43e3974a,香精煎鱼翅捞饭
26.01900,1,25,16777215,1661919597,0,37abc77d,wc. 我手机电充满了！
30.16200,4,25,16777215,1661918505,0,18be96,你干嘛，嗨嗨哟
48.10000,1,25,15138834,1661917613,0,ae14cd68,怪，但是神迹
127.78900,1,25,16777215,1661916657,0,79382f26,kksk
127.33900,1,25,16777215,1661916645,0,79382f26,只因
47.77900,1,25,16777215,1661916058,0,18abbeef,[OHHHH]
45.39100,1,25,16777215,1661915798,0,3f29c645,哈哈哈哈哈哈哈哈哈哈哈哈
36.37900,1,25,38979,1661912116,0,599e5d33,你干嘛~
16.22900,1,25,16777215,1661908725,0,bdcb6fc4,n厨狂喜（
10.02300,1,25,15138834,1661868179,0,f84ecd69,小黑子可真没树枝
24.77200,1,25,16777215,1661866081,0,f7283d7c,我的天！手机屏幕都会跟着震！
24.77900,1,18,16777215,1661863302,0,b30477b1,你干嘛
50.32900,5,25,15138834,1661859960,0,26624658,第一次压扁成这样的我～
