弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
127.12300,1,25,16777215,1662022273,0,5cf44b18,我去 初音未来
8.09900,1,25,16777215,1662021839,0,3c665b44,完全没有瓶颈
6.49900,1,25,16777215,1662021608,0,74948fe2,完全没有瓶颈
4.74800,5,25,15138834,1662020284,0,610e964d,《  人  类  群  星  闪  耀  时  》
47.45900,5,25,16707842,1662019931,0,4f6b379a,滑雪大冒险BGM ！！爷青回！
15.37700,1,25,16777215,1662019790,0,5768646c,完全没有瓶颈
11.01900,1,25,16777215,1662019518,0,50c2df19,完全没有瓶颈
9.87700,1,25,16777215,1662019454,0,44f49b44,毫无瓶颈最后的晚餐
1.07700,5,25,16777215,1662019447,0,c44254ff,《2022最佳阵容》
10.05900,1,25,16777215,1662018873,0,269e80c2,完全没有瓶颈
15.96400,1,25,16777215,1662018627,0,cfa4e212,《神奇四侠》
7.35600,5,25,15138834,1662018500,0,45f55f68,《  天  启  四  骑  士  》
10.81900,1,25,16777215,1662018421,0,12e9f9d9,完全没有瓶颈
92.97900,1,25,16777215,1662017414,0,19a9cee3,是7哥的歌
4.58200,1,25,16777215,1662017263,0,33715610,完全没有瓶颈
8.79900,1,25,16777215,1662016961,0,ebf65f54,完全没有瓶颈
7.18500,1,25,16777215,1662016746,0,ab5a5e3f,完全没有瓶颈
8.73700,5,25,15138834,1662016676,0,95622320,你这杯子也就这样了（bushi）
17.85900,1,25,16777215,1662016500,0,ebd2907f,完全没有瓶颈
9.49200,1,25,16777215,1662015934,0,94572a95,完全没有瓶颈
8.29900,1,25,16777215,1662015269,0,55d2c012,完全没有瓶颈
6.81900,1,25,16777215,1662015174,0,f2f8bf94,完全没有瓶颈
70.35300,1,25,16777215,1662014983,0,4e7163a0,哇，修2大佬
9.73900,1,25,16777215,1662013986,0,8ebe45a2,完全没有瓶颈
10.17800,1,25,16777215,1662013820,0,d386bd,完全没有瓶颈
20.96800,1,25,16777215,1662013407,0,d8c6f115,完全没有瓶颈
64.53400,1,25,16777215,1662012913,0,9b2be5bc,练习时长两秒半哈哈哈哈
7.61900,1,25,16777215,1662012748,0,73fb7950,完全没有瓶颈
5.88400,1,25,16777215,1662012402,0,7fcd2ae,完全没有瓶颈
1.10500,1,25,9599289,1662011991,0,e43810e8,迎宾酒（喜）
13.05900,1,25,16777215,1662011986,0,3169cb9b,完全没有瓶颈
10.31900,1,25,16777215,1662010537,0,c5c8d491,完全没有瓶颈
36.61900,5,25,16707842,1662009402,0,dda4b46,《 嬉 皮 笑 脸 》
8.23800,1,25,16777215,1662009229,0,64dc8115,完全没有瓶颈
6.37900,1,25,16777215,1662008925,0,83c1be60,完全没有瓶颈
6.17900,1,25,16777215,1662008818,0,de49d5b9,完全没有瓶颈
0.00000,1,25,16777215,1662008798,0,529bb8cd,《易北河会师》
4.97900,1,25,16777215,1662008690,0,b1a230c0,完全没有瓶颈
6.01900,1,25,16777215,1662008687,0,89470fb3,完全没有瓶颈
56.48300,5,25,15138834,1662008593,0,b11a325d,关注两年了！今天露脸了！
6.77000,1,25,16777215,1662008291,0,e45f0e05,完全没有瓶颈
8.13500,1,25,16777215,1662008241,0,e81d3ea4,完全没有瓶颈
2.20000,1,25,16777215,1662008054,0,aaf3f032,优雅
0.17900,5,25,15138834,1662007853,0,efbbdb0a,《全  明  星》
47.06800,1,25,16707842,1662007837,0,3883d2a7,《柯 洁》
0.00000,5,25,41194,1662007348,0,11b09406,这只因汤，十分滴珍贵（bushi
7.27200,1,25,16777215,1662007153,0,be815123,完全没有瓶颈
108.15200,1,25,16777215,1662007048,0,3604058e,坤巴哥排面！！
4.63900,1,25,16777215,1662007005,0,f4eda274,完全没有瓶颈
5.06600,1,25,16777215,1662006633,0,ecaf4de0,完全没有瓶颈
7.32200,1,25,16777215,1662006421,0,c573944c,完全没有瓶颈
42.61900,1,25,16777215,1662006355,0,a95008fa,《就会变只因》
18.41300,1,25,16777215,1662006343,0,42d41f6f,完全没有瓶颈
5.65300,1,25,41194,1662006179,0,e18c0f0,滑雪大冒险的曲子
0.58500,5,25,38979,1662006151,0,4f4055fb,《惊天IKUN团》——《四骑士》（doge
64.82400,1,25,16777215,1662004908,0,fc1923ee,history 是采样滑雪大冒险的 谢谢
10.24100,1,25,16777215,1662004852,0,822a2198,果宝特攻
87.57400,5,25,15138834,1662004512,0,e6d0afa1,《油饼食不食》
18.26100,1,25,16777215,1662004498,0,44f8a39,完全没有瓶颈
7.14500,1,25,16777215,1662004432,0,f39754d,完全没有瓶颈
123.27100,5,25,15138834,1662004196,0,4072009,你让我拿什么荔枝？（doge）
52.97300,1,25,16777215,1662004173,0,d3fe5512,啊啊啊啊啊救命
10.68200,1,25,16777215,1662003928,0,4faba665,完全没有瓶颈
5.37900,1,25,16777215,1662003615,0,be9865aa,完全没有瓶颈
1.68500,5,25,41194,1662002557,0,17292e49,BGM:History
