弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
124.85500,1,25,16777215,1660368436,0,e07b9db7,高中最后一年，加油！！
171.26200,5,25,15138834,1655576182,0,58f3fe7b,记住这个老师！你们以后一定会看他的视频的！
12.70000,4,25,16646914,1650983222,0,82719f34,江西师大附中2022高考必胜！！！
172.05500,1,25,16777215,1649065767,0,f25818a,是遇见宋老师的起点
11.41600,1,25,16777215,1645139990,0,e00a841a,你眼里的光是你的同学 知己 老师 还是路人甲
138.70900,4,25,13369971,1644824551,0,6764e494,给我一次机会 我一定回回到高三
100.01900,4,25,13369971,1644824512,0,6764e494,回不去的我们
83.39800,1,25,16777215,1641632895,0,687e8cb2,向我们已经逝去的青春致敬
36.19300,1,25,16777215,1638531437,0,9fb60187,明年高考，但求对得起自己
209.53800,1,25,16777215,1638273833,0,eedf7883,我们的青春还在继续，我们不问归期！！！
174.51500,4,25,15138834,1634807367,0,bc7809c9,自此你会爱上这个男人
175.08800,5,25,15138834,1634807325,0,bc7809c9,自此你会爱上这个男人
139.83300,1,25,16777215,1634387558,0,b00b72b8,以后可能是一个人了，所以要更努力，加油啊
88.20700,1,25,16777215,1633352183,0,b4ac347c,我现在过上了高中想过的生活，可是少了快乐
102.08900,1,25,16777215,1632744704,0,abc44a49,高中最遗憾的事，可能是从来没有站在她的身边吧
147.74600,1,25,16777215,1629377014,0,ebe369b1,淦，又被毕导骗了进来
136.49800,5,25,15138834,1629175205,0,24c61c8f,这男孩好像毕导啊
137.67300,4,25,41194,1628249735,0,4302385d,这就是你发动态的目的?
137.17500,5,25,15138834,1627749096,0,8d2ff903,《好像毕导》
36.37900,5,25,15138834,1626962736,0,9f4143cb,《陈老师》
172.65900,5,25,15138834,1626941371,0,f765572f,快记住这个男人！你们大学四年数学能不能及格就靠宋老师了！
146.86700,5,25,15138834,1625759798,0,d670eece,好像毕导啊
40.11400,1,25,16777215,1625207602,0,68a9479f,青春留在了这里  而我们随着时代的江河沉浮
138.47200,1,25,16777215,1624891357,0,1dfbf531,失踪人口回归
63.13800,1,25,16777215,1624779907,0,a1eaf324,观丁德馨教授故事有感“一生坚守成就一个学科一个行业”为题报道了南华大学资源环境与安全工程学院教授、中国铀矿采冶学科开拓者丁德馨的光辉事迹，社会各界反响热烈。丁德馨带领团队发明了新的供电模式以及新的脉
72.88700,1,25,16777215,1624094923,0,de74cebe,看到这个空空的桌子椅子就想落泪
100.89900,1,25,16777215,1623999819,0,483e7f76,一定要珍惜高中的时光，那时候是最开心的
172.67200,5,25,16707842,1623902591,0,6d403edd,全国大学统一数学老师
173.82100,5,25,15138834,1623859426,0,71643313,宋老师永远的神
175.77600,4,25,16646914,1623841044,0,1ae2540f,介绍一下，以后这就是你们的数学老师，记得搜索宋浩！！！
134.74700,5,25,8700107,1623820203,0,ddf4962c,这男孩好像毕导啊
77.68000,5,25,16646914,1623746938,0,5ae9031d,像我暗恋了一年的高中同学
