弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
29.58800,1,25,16777215,1658957288,0,28dd16f2,相声大会
25.87600,1,25,16777215,1637711028,0,7d81fbca,你是相声团滴
24.16900,1,25,16777215,1636720447,0,9e2819b7,梦开始的地方
215.65900,1,25,15138834,1633321424,0,a835878,张雪峰在高考志愿填报直接忽悠我进大学了
105.45900,1,25,15138834,1633321259,0,a835878,大一新生表示这就是神的领域
26.66900,1,25,52480,1629899609,0,6c55a983,大佬坐姿
231.45600,1,25,16765698,1626844823,0,fcf2d8b,说相声的哈哈哈哈哈哈
231.12800,1,25,16777215,1626583803,0,7d35a30e,最后一次了，以后不会再有故事了，再见青春
65.93900,1,25,16777215,1622973790,0,b2c6ce81,希望李老爷子福如东海寿比南山
119.64800,1,25,16777215,1620293200,0,58996001,你怎么睡得着哒
33.25800,1,25,16777215,1616522972,0,bcecaba2,相声团
13.77700,5,25,16776960,1615110810,0,f2deebee,鬼畜区明星汤神
236.92400,1,25,16777215,1614602292,0,6181afaf,鸡汤带师
171.79000,1,25,16777215,1614318488,0,82be13e,我突然好想坐在教室里听课
0.91500,1,25,16777215,1613643755,0,173eed44,请选择您的英雄
65.84300,1,25,16777215,1612532412,0,9bc758de,爷爷说话好安心
115.87500,1,25,16777215,1612180937,0,c095e88d,你这个年龄段你怎么睡得着觉
100.27900,1,25,16777215,1611921044,0,d7810535,熟悉的声音
226.27600,1,25,16777215,1611740583,0,a7378a23,张老师咋看起来好沧桑
108.43700,1,25,16777215,1611740466,0,a7378a23,八达鸟好可爱
91.34700,1,25,16777215,1611740449,0,a7378a23,宋大耗子
112.16700,1,25,16777215,1611280471,0,3a589d65,你怎么睡得着觉
7.46900,1,25,16777215,1610971906,0,9e890da8,现在大二 两年后再来看一遍
139.62600,1,25,16777215,1610877588,0,c78ef0d1,数学有的题目真的举个特例立马就出来了.
270.05500,1,25,16777215,1610723890,0,b60277de,大佬的训话
214.08700,1,25,16777215,1610723834,0,b60277de,天哪，我就是想不开！
67.40900,1,25,16777215,1610602633,0,13f80235,感谢汤老师！
252.99700,1,25,16777215,1609170595,0,d6063dd2,大佬的坐姿
258.02800,1,25,16777215,1609081964,0,e04ee49e,超级大佬的坐姿
143.97000,1,25,16777215,1609081850,0,e04ee49e,死定了同学们.JPG
40.65600,1,25,16777215,1609081747,0,e04ee49e,全明星登场
30.96900,1,25,16777215,1609075700,0,362160c1,给大艳老师排面
73.71900,1,25,16777215,1609058443,0,4ef1ff37,红配绿哈哈哈
126.39400,1,25,16777215,1609011745,0,e55e462a,我现在还没有睡 我好怕
50.40900,1,25,16777215,1608997108,0,a54287f2,标准爷爷讲话方式hhhh
188.41600,5,25,16707842,1608976589,0,356e14d9,过分磨皮
131.34500,1,25,16777215,1608952748,0,ee847d7c,好家伙我睡不着了
79.08000,1,25,16777215,1608950048,0,dd2c68d4,哈哈哈哈 现在在看宋老师的概率论
220.82000,5,25,15138834,1608934702,0,3f7dce01,今天早上考试
113.98200,1,25,16777215,1608912033,0,8814a0bd,完了 明天要考试了 我睡不着了
65.00000,1,25,16777215,1608905595,0,9adb3c22,考前前一晚，二战了，我只想给自己一个交代
56.76900,5,25,15138834,1608900919,0,8948c48f,答应李爷爷的坚持 我不能放弃
136.11900,1,25,16777215,1608880144,0,99faf1fa,想哭，谢谢所有的老师
256.63900,5,25,15138834,1608871617,0,5bc3466a,《立即推》
113.21800,1,25,16777215,1608870505,0,2be7bd6e,汤老师真的可爱
203.64200,1,25,16777215,1608867625,0,1c4a982,我们都有光明的未来
124.88200,4,25,15138834,1608859308,0,ddc8a808,死定了，同学们
255.73900,5,25,16707842,1608836858,0,8c8b2a8a,大  佬  坐  姿
241.42400,1,25,16777215,1608830150,0,e8bb019a,加油！一天稳住心态就好
107.86000,1,25,16777215,1608828644,0,5e6c7818,工整的写有益于检查
81.44400,1,25,16777215,1608822705,0,9975b257,我特别喜欢听李永乐老师说话哈哈哈哈
92.28700,1,25,16777215,1608821360,0,b947b5e1,这就是我爱小破站的原因＞_＜
100.17500,5,25,16646914,1608818968,0,965b99cd,正道的光 ！
55.11200,1,25,16777215,1608817528,0,7c3283a9,不当逃兵！我能行！
29.25900,1,25,16777215,1608816981,0,8821321c,大佬坐姿
67.35000,1,25,16777215,1608816749,0,86bff1d7,这一年各种事耽误了四五个月，后来虽然知道不行了但是还在坚持
39.83200,1,25,16777215,1608815226,0,c7bee22c,都认识哈哈哈哈哈哈哈
331.91200,5,25,16707842,1608814392,0,b1c12bc9,一战成硕
97.97900,1,25,16777215,1608814083,0,282fcbb2,你怎么能睡得着呢
98.19600,5,25,15138834,1608814001,0,3ee873df,布达鸟
212.29600,1,25,16777215,1608813704,0,909a8010,相声艺术家
77.18100,1,25,16777215,1608812905,0,f4397f4f,仍然记得化学老师的一句话，怂什么，冲
84.21900,1,25,16777215,1608811778,0,75310632,还有一天背不进去了
60.71900,1,25,16777215,1608810914,0,391a05e0,李爷爷福如东海，寿比南山
61.54000,1,25,16777215,1608810375,0,9a8a76dc,李永乐老师太可爱啦
130.70700,1,25,16777215,1608809339,0,71b13eea,BGM还是我最喜欢的《潮汐》，爱了
12.27900,1,25,16777215,1608805521,0,7a4d54b5,好家伙，直接泪目，一战成硕！加油！
75.98800,5,25,16646914,1608805142,0,a38ec44c,加油，一往无前
106.56800,1,25,16777215,1608804805,0,5263b9fc,啊怎么办 我满脑子都是 你这个年龄段 你怎么睡得着啊
64.34100,1,25,16777215,1608804560,0,4cb3da65,回到了暑假的强化课
266.79600,5,25,15138834,1608804169,0,4e905fc5,宇哥，手稿一定会给你买回来的
221.27300,1,25,16777215,1608804115,0,23a086c1,你现在发出来可只剩一天了
26.87000,5,25,15138834,1608803855,0,4e905fc5,宇哥！！！！！！
3.49900,1,25,16777215,1608803796,0,fdf18812,我可以的，我去读书了
26.44300,1,25,15138834,1608803088,0,bc0c880d,霸气侧漏
101.78000,5,25,15138834,1608803031,0,db8a5ac9,来 凯斯万～
77.58900,1,25,16777215,1608802741,0,32956ed2,背不下去了打开b站竟然要泪目了
1.26700,4,25,16707842,1608802350,0,27d77dd,全明星阵容介绍开始
13.12800,4,25,16707842,1608802316,0,27d77dd,全明星阵容
51.67100,1,25,16777215,1608801345,0,4ac3ac0e,听到李爷爷的话就有点想哭
54.39700,1,25,16777215,1608797263,0,98b48bee,听到他的声音我就想哭
57.81900,1,25,16777215,1608795357,0,44c9588b,瞬间斗志昂扬
205.01200,1,25,16777215,1608795064,0,e4df6de9,不！我就要读研！
66.84800,1,25,16777215,1608789439,0,12fb310b,爷爷我一定认真考
203.69100,5,25,15138834,1608786425,0,9f5cd0e0,导播看不下去了，强行切换画面
190.89700,5,25,6830715,1608786380,0,9f5cd0e0,朱老师美颜过度了嗷
29.61900,1,25,16777215,1608785518,0,5ce219ce,宇哥好霸气的坐姿哈哈哈
179.07600,1,25,16777215,1608784381,0,60d3cbc6,无招胜有招，色即是空
124.37900,5,25,16777215,1608784298,0,119c507,旺仔排面!
61.66400,1,25,16777215,1608778627,0,2c7d1ae5,原来大帝原速是这样啊哈哈啊哈
62.85000,1,25,16777215,1608778153,0,31313722,听爷爷的
64.76300,1,25,16777215,1608776997,0,9315cc96,李爷爷这个声音好像就在我背后一样23333
142.33900,1,25,16777215,1608775059,0,242f2450,好家伙，你的徐8差点给我抬走
87.24900,1,25,16777215,1608774437,0,8821321c,虽然很慌很慌但是还是要坚持到底
253.16100,5,25,16707842,1608773478,0,f2bd80cc,《不理我》
60.54900,1,25,16777215,1608772547,0,b4231886,这个  啊  就熟悉的味道
103.54800,1,25,16777215,1608772224,0,afc6bc34,你这个年纪你怎么睡得着觉的
24.15000,1,25,16777215,1608770311,0,96e68170,宇哥大佬坐姿啊
188.53700,5,25,15138834,1608768576,0,f34b5f9d,人生导师朱老师
99.11200,5,25,15138834,1608768477,0,f34b5f9d,凤啊，对不起我听到你的口音又笑了
239.45900,1,25,16777215,1608768226,0,fbc0740d,请务必休息一天！
46.20000,1,25,16777215,1608767776,0,30abe7f3,汤老师永远的神
40.10300,1,25,16707842,1608766721,0,5567739e,B站大学欢迎您
90.91200,1,25,16777215,1608760306,0,e37b4433,严重失眠，大后天考试，今天通宵睡不着
60.30600,1,25,15138834,1608752161,0,205f63c3,不当逃兵！英勇就义！
93.67900,1,25,16777215,1608747583,0,e5a9102c,就剩两天了全真模拟两天吗
188.30800,1,25,16777215,1608746551,0,5ccd2c3d,朱伟老师一说话我就安心 今年争取客观题不扣分！
73.61700,1,25,16777215,1608744054,0,d1d6936a,慌的一批，刚刚在教室背书，一个简单的知识点背了好长时间没背会
29.07500,1,25,16777215,1608743930,0,f6d8e502,立即推，放弃考研团队
133.65900,1,25,16777215,1608742454,0,9343eaf7,想起了涛涛的表情包哈哈哈 “学不完了，放开玩吧” 
122.17700,1,25,16777215,1608742142,0,f9d674db,死定了同学们.jpg​
255.85200,5,25,15138834,1608740866,0,8b505475,宇哥の指点
157.21400,1,25,16777215,1608739875,0,306be140,超哥 舅舅！！！
98.04700,1,25,16777215,1608739745,0,5391c07e,你怎么碎得凿的
263.06000,5,25,15138834,1608739738,0,2a4485f2,本期嘉宾：莱布尼兹
13.01000,1,25,16777215,1608739299,0,b6dbdbc2,梦幻联动！感动max
111.00200,1,25,16777215,1608738775,0,d450d97f,汤老师好可爱
13.33900,1,25,16777215,1608738459,0,5391c07e,你怎么碎得凿的
58.48800,1,25,16777215,1608737744,0,66a1001c,哈哈哈哈哈突然变风格
61.94900,1,25,16777215,1608737392,0,e8321f95,李爷爷说的对
26.66700,1,25,16777215,1608737308,0,c0542c52,宇神这也太霸气了
54.72000,1,25,16777215,1608736267,0,255c355a,听着爷爷的话，总是特别让人心安
201.61000,1,25,16777215,1608736193,0,a88b90e0,二重积分极限不存在定理，至少两条路径极限不同。。。。
102.60700,1,25,16707842,1608735912,0,7c98b65b,但是我好困啊我睡的好香
16.73900,1,25,16707842,1608735830,0,7c98b65b,好家伙我来了
29.61900,1,25,16777215,1608735135,0,d363a0f7,坐姿厉害啊！
254.35500,5,25,15138834,1608734993,0,bb369499,大佬的指点
188.08900,5,25,16776960,1608734873,0,d4e2a013,少一些功利主义的追求
188.08900,5,25,16776960,1608734864,0,d4e2a013,多一点不为什么的坚持
122.66400,1,25,16777215,1608734859,0,bb369499,来不及了，放开玩吧.jpg
111.90200,1,25,16777215,1608734470,0,d68c91ee,汤老师一本正经
121.08400,1,25,16777215,1608734427,0,d161f6c1,好家伙 我睡不着了
64.17100,1,25,16777215,1608734093,0,1fe1da9f,突然泪目，那是我奋斗过的青春啊，尽管结果并不是那么完美
212.79900,1,25,16777215,1608733969,0,e63838c8,单口相声峰哥
19.04100,5,25,15138834,1608733577,0,f7dcd2d8,大王大王大王
19.04100,5,25,15138834,1608733568,0,f7dcd2d8,大王大王
19.04100,5,25,15138834,1608733560,0,f7dcd2d8,累了来看大王
72.49200,1,25,16777215,1608733377,0,aa301868,我可以的！我是最勇敢的！最自信的！最努力的！
25.29100,1,25,16777215,1608732478,0,8672a060,你是相声团的.狗头
119.74200,1,25,16777215,1608731262,0,b93742c9,汤汤一言为定
9.77700,1,25,16777215,1608730959,0,d14eced7,愿每一个努力的追梦人实现理想！！！我们定会上岸！
164.59600,1,25,16777215,1608730370,0,d895fbae,只剩两天了
127.60700,1,25,16777215,1608730224,0,cf6cf961,百年未有之大变局没写会有遗憾的！
142.18900,1,25,16777215,1608729554,0,5bbc5b91,哈哈哈原来是之前的视频
244.24400,1,25,16777215,1608729334,0,d23d7033,大佬的坐姿
110.86700,1,25,16777215,1608729304,0,76259c25,你怎么睡得着觉的
63.34800,1,25,16777215,1608729296,0,e7223c0f,听了爷爷的声音就踏实
11.15400,1,25,16777215,1608728911,0,5c1d6b46,高数皇后汤家凤
73.74200,1,25,16777215,1608728798,0,f44325e4,虽然我不考研 但是我听了好想哭
62.78200,1,25,16777215,1608727985,0,127e6170,我觉得我真的可以，非常自信，就不知道结果了
79.64000,1,25,16777215,1608727846,0,30884682,图书馆听哭了，各位研究生给我冲
27.83400,1,25,16777215,1608727828,0,a259dfed,全明星阵容
58.39400,5,25,15138834,1608727473,0,c7e803f0,芳玲！你一定上岸！
266.63900,5,25,15138834,1608727083,0,d6732754,谢谢张宇老师的提醒，我对政治更有信心了
205.07600,1,25,16777215,1608726981,0,d2f9489d,磨皮快磨没了，哈哈哈
106.97800,1,25,16777215,1608725697,0,f70c60f0,汤汤好可爱！！！！
19.60300,1,25,16777215,1608725056,0,ddedd27a,好家伙  梦幻联动
203.54900,1,25,16777215,1608724411,0,d6e76769,二战，工作过，知道学历不够的悲哀
120.47400,1,25,16777215,1608724330,0,d6e76769,你这个年纪这么睡得着觉！
25.98000,1,25,16777215,1608723723,0,cc387eb8,好家伙！这么多大佬
26.89900,1,25,16777215,1608723720,0,5641b5e4,这下我理你了
200.08300,1,25,16777215,1608723691,0,963d2bc0,如果事与愿违那一定是上天另有安排
58.28200,1,25,16777215,1608723652,0,d2cf476d,可我已经不是一战了呜呜呜
248.66600,5,18,15138834,1608723650,0,458b8cae,《 大 佬 の 指 点 》
81.41800,1,25,16777215,1608723610,0,ac711b7e,想问一下为啥没有生物老师
243.64600,1,25,16777215,1608723529,0,930fe013,你这个年纪怎么睡得着觉
97.79900,5,25,15138834,1608723380,0,107aa6c0,美的一塌糊涂
113.02900,1,25,15138834,1608723217,0,401dba24,你怎么睡得着的！
107.52500,5,25,15138834,1608723156,0,d016f572,你这个年龄段怎么睡得着觉！
153.29900,1,25,16777215,1608722984,0,cd2e5cc1,这是自带1.5倍速吗哈哈
51.47900,1,25,16777215,1608722855,0,73b9a1d4,熟悉的声音，突然泪目
