弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
390.36700,1,25,16777215,1650595578,0,b5f011d5,全体起立，排面
398.07500,1,25,16777215,1647964492,0,a20b5054,哎呦哎呦
398.82000,1,25,16777215,1647603382,0,dde9383e,你的前女友们
308.51700,1,25,16777215,1644044536,0,be716778,师娘在哪里呢哈哈哈哈
410.13800,1,25,16777215,1643644449,0,f2aad447,官方吐槽哈哈哈哈
394.30200,1,25,16777215,1643644433,0,f2aad447,唯一啊hhahah
383.84400,1,25,15138834,1642486357,0,ab6d8dc2,夹带私货
289.28600,1,25,15138834,1642486287,0,ab6d8dc2,宋原来是这样的！
384.16900,1,25,16777215,1639755012,0,20b76c08,重点来了
392.87800,1,25,16777215,1639644071,0,8892f324,鄙人不才，就我一个
391.74900,1,25,16777215,1639466749,0,7bc4ff58,全体起立！！！！
389.01100,1,25,16777215,1638968901,0,b683fa0,全体起立！
402.24800,1,25,16777215,1635949676,0,fd8e4fc4,h'h哈哈哈哈
603.58200,5,25,15138834,1635949588,0,62356fea,这个泰勒展开讲的很生动
307.76700,1,25,16777215,1635649099,0,b495ec25,看几何概型中途来这边水一下醒醒瞌睡
399.02300,1,25,16777215,1635153983,0,1360c2d0,八千万播放打卡
120.70800,1,25,16777215,1634303878,0,f5d82118,因为B站是个动画网站，对日语情有独钟
54.45300,1,25,16777215,1634054830,0,2e9e3639,数学的魅力就是这么强！
394.88300,1,25,16777215,1633831779,0,28a51d66,全体起立，老师好！
361.94300,1,25,16777215,1633749098,0,dd854ee5,抓马老师
486.34200,1,25,16777215,1624622886,0,d14392a1,数学微课帮老师我也很喜欢
384.73200,1,25,16777215,1618573098,0,847ec916,全体起立
431.16600,1,25,16776960,1617808154,0,e8d585c1,回家跪榴莲，哈哈哈
406.04100,1,25,16777215,1615914128,0,aa1d9de8,哈哈哈哈哈哈哈
43.46900,1,25,16777215,1615033166,0,8a9197e2,好家伙，我在法考那边翻了好久，原来不是隔壁
406.51000,1,25,16777215,1614176228,0,5a2fcc0f,数学界的朱广权
438.53100,1,25,16707842,1612147614,0,e06ac9a,完了要糟哈哈哈哈！！！
565.88100,1,25,52480,1611773975,0,d8a533dd,罗宋汤哈哈哈哈哈哈哈哈哈哈
568.15600,5,25,16777215,1611577426,0,58e57a7f,世界上的另一个我
614.81000,1,25,16777215,1611324619,0,e272159b,可以从根本理解数学的原理
505.54200,5,25,15138834,1610278531,0,8fbcc0c1,上一秒你在台北看烟火
506.22300,5,25,15138834,1610278514,0,8fbcc0c1,上一秒你在台北看烟火
393.31300,1,25,15138834,1609229041,0,101ab7fb,全体起立
62.40200,1,25,16777215,1609228833,0,101ab7fb,宋老师实火
369.01000,1,25,16777215,1609153423,0,7439950c,Ohh正弦！
48.90000,1,25,16777215,1608517213,0,516e9366,多投币集资给老师植发
573.00700,1,25,16777215,1608479548,0,cf56c1a4,大学老师本来就应该讲成这样，现在反而水课倒是正常了
386.91500,5,25,41194,1607741734,0,6c50729f,全体起立！
333.63400,5,25,16707842,1606218090,0,ee60cfde,记住宋老师在这个up主上停留了多久
390.08300,1,25,15138834,1605851964,0,c8aeabae,全体起立
517.53900,1,25,16777215,1605662551,0,a78ee8d1,其实有天B站给我推了个罗宋CP的视频。罗翔 宋浩
392.27900,1,25,16777215,1605364407,0,c0c8d404,哈哈哈哈哈哈哈哈哈哈哈哈哈
516.17100,5,25,15138834,1605168482,0,c01d7a4c,你们敢信，我前几天在B站刷到了罗老师和宋老师的cp
386.23200,1,25,16777215,1604818513,0,1a80ca30,宋老师NB
363.66800,1,25,16777215,1603712468,0,1ed67333,哈哈哈姐姐
383.90800,1,25,16777215,1603112013,0,53af02f8,现在20年10月播放量已经快翻倍了！
401.31500,1,25,16777215,1602749040,0,98fc4921,哈哈哈哈哈哈哈副教授可还行
384.72300,1,25,16777215,1602749020,0,98fc4921,全体起立！！！
464.04200,4,25,15138834,1602593960,0,8369bc95,我觉得配的特别好
513.85300,1,25,16777215,1602234267,0,234f9f5,我高中的时候就看陈老师哈哈哈哈爱了
303.31100,1,25,16777215,1602208823,0,3275673c,嘴角都上扬了
460.67700,1,25,16777215,1601907413,0,fd709a7c,概率论里面的表情包哈哈
319.09100,1,25,16777215,1601457967,0,9296ee30,厉害了宋老师
398.56100,1,25,16777215,1601198392,0,7997c4b5,哈哈哈哈哈哈哈哈哈哈哈哈哈
393.86800,1,25,16777215,1601015612,0,feecad20,重点来了
536.01800,1,25,15138834,1600185720,0,95161218,罗老师粉丝都快1000w了
79.32500,1,25,16777215,1599303959,0,844fb5fe,今天是第一次看宋浩老师
233.70500,1,25,16777215,1598979771,0,62079b2f,珞珈老师在B站讲的PPT完美
442.68400,1,25,65535,1598347421,0,f5218094,你还是飘了！居然没看那四个字！回家一顿输出
121.69800,1,25,16777215,1598236495,0,c98a9d59,哪个老师？（狗头）
92.86300,1,25,16777215,1598182632,0,cbe26015,请教老师头发怎么变多的！！
643.19900,1,25,16777215,1597765776,0,8774485b,好期待！！！！！！（不知道那时候我毕业没有）
357.62800,1,25,16777215,1597765526,0,8774485b,等等，宋老师您不是后浪吧（狗头）
397.24300,1,25,16777215,1597761905,0,af965deb,唉，该怎么低调的说自己好呢
394.15700,1,25,16777215,1597596573,0,c633f4d6,哈哈哈哈哈哈哈哈哈哈哈
533.71600,1,25,16777215,1597548027,0,31d2e70f,法外狂徒张三
385.66300,1,25,16777215,1597384140,0,9b47406a,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
384.63900,1,25,16777215,1597384127,0,9b47406a,哈哈哈哈哈哈原来是有自己 
391.65800,1,25,16777215,1597054477,0,ef20dfff,划重点！！！！
384.07200,1,25,16777215,1596858277,0,26277f6b,一条正弦！！！
424.45300,1,25,16777215,1596849624,0,1d1fc44c,师娘还有三秒钟到达战场
317.53300,1,25,16777215,1596849497,0,1d1fc44c,师娘还有三秒到达战场
662.09300,1,25,16777215,1596792612,0,36bca16a,你从未见过的船新版本
696.89900,1,25,16777215,1596555957,0,4a826b0e,oeasy doyoudo 一条正弦 奇客张小呆 厚大教育 3blue3brown 纪录片之家
632.81300,1,25,16777215,1596446847,0,878285af,从未见过的船新版本？
611.88500,1,25,16777215,1595318387,0,6aa4bff6,3b1b的动画都是大佬自己用python写的
389.94200,1,25,16777215,1594038840,0,8c7be3f4,原来在讲这个，这个才是重点
22.05600,1,25,16777215,1594017386,0,b8464808,老师您怎么护发的？
374.31800,5,25,15138834,1593525361,0,16fd426f,前方高能
379.90600,5,25,15138834,1593525317,0,16fd426f,前方高能
388.84100,5,25,15138834,1593525301,0,16fd426f,起立起立
169.27400,1,25,16777215,1593448882,0,ca0ac499,刚刷完Rio老师的视频就来到了这
162.33300,1,25,16777215,1593448859,0,ca0ac499,刚刷完Rio老师的视频就来到了这
561.72700,1,25,16777215,1593100883,0,b4ec7713,我的天罗老师一个亿播放量
47.36700,1,25,16777215,1592994735,0,6a4b396d,勺子柄哈哈哈
386.78300,1,25,16777215,1592931215,0,7284076a,来了来了
349.82600,1,25,16777215,1592931179,0,7284076a,哈哈哈哈哈哈宋老师还是这么可爱
149.87300,1,25,16777215,1592908346,0,cb53c1d3,老师说：我要涨粉！
453.96100,1,25,16777215,1592880187,0,64a72888,众所周知，B站是一个学习网站
392.88100,1,25,16777215,1592880104,0,64a72888,宋浩老师排面！
84.22500,1,25,16777215,1592879434,0,64a72888,宋老师讲的微积分超可！
479.59300,1,25,16777215,1592810343,0,44338a9,一秒正经哈哈哈
17.78100,1,25,16707842,1592763027,0,974316f7,好家伙我还以为是黄buff
575.92700,1,25,16777215,1592665957,0,80aab565,老师已经讲的超级棒了 力挺宋老师
365.96800,1,25,16776960,1592608452,0,13efa67a,哇对顾俊说了这么多，到别人：这哥们儿有个性，哇宋老师不愧是你
295.63700,1,25,16776960,1592608346,0,13efa67a,不愧是你
558.09400,1,25,16777215,1592471623,0,b3319a84,罗老师播放量一亿了！！！
393.78500,1,25,16777215,1592219995,0,ddedd27a,兄弟们把牌面打在公屏上
373.52600,1,25,16777215,1592219962,0,ddedd27a,哇是正弦啊
402.68600,1,18,16777215,1592055028,0,f5d1cd47,必须给宋老师排面!
395.36800,1,25,16777215,1592045419,0,6991d7b9,吹爆宋浩老师
455.55500,1,25,16777215,1592024008,0,4abf5229,表情包：等下我一粉笔头弹过去.jpg
390.68800,1,25,16777215,1591957832,0,dbc2b358,来了来了！！！
16.68100,1,25,16777215,1591927881,0,726eca5a,老师你有头发了！
234.31300,1,25,16777215,1591871143,0,26e1e296,哈哈哈哈哈哈哈哈哈哈你飘了
392.93400,1,25,16777215,1591867025,0,5f1e7801,来了来了
503.85900,5,25,9033215,1591798272,0,add14dc4,梦幻联动
383.04900,5,25,9033215,1591798130,0,add14dc4,全体起立
382.54400,5,25,10546688,1591798120,0,add14dc4,全体起立
