弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
105.47200,1,25,16646914,1660619684,0,4d5b4e8b,总裁：你礼貌吗
262.31100,5,25,15138834,1657810927,0,b8f2f146,《要求》
353.24100,1,25,16777215,1653716485,0,78fd4109,《一家三口《》
170.25900,1,25,16777215,1649902030,0,405c1620,《好凉凉》
20.42300,1,25,16777215,1645606499,0,fdc7bb06,哈哈哈哈老师好可爱
367.55900,1,25,16777215,1642685133,0,e6336852,完了绷不住了
67.72600,1,25,16777215,1641091529,0,a42137dc,老师怎么没睁眼哈哈哈太困了嘛
93.56200,1,25,16777215,1640867261,0,2ecd442d,线代99感恩宋老师
337.42800,1,25,16777215,1640522324,0,82d432f,一起沦为女儿的抱枕
80.81100,1,25,16777215,1640443728,0,5074d1b3,好像中年人带货他太可爱了
96.01600,5,25,16776960,1640437231,0,ef79a75b,《 它 的 总 裁 》
19.40900,1,25,16777215,1640010243,0,b4af02ad,啊啊啊啊啊老师太可爱了吧
164.67000,1,25,16777215,1639565990,0,d013f4d0,快把它卖了哈哈哈哈
24.30000,5,25,15138834,1639294230,0,8067c858,《格  局》
121.37900,5,25,16707842,1637539950,0,18618d15,金 色 传 说
149.40800,5,25,15138834,1637457482,0,af1a7d68,铜镍合金带点铅
26.84200,1,25,16777215,1637309461,0,9d15a56e,老师你的眼睛怎么越来越小了啊
335.06300,1,25,16777215,1636870967,0,bb00d6c3,哈哈哈哈哈哈好可爱真的
384.86900,1,25,16777215,1635943380,0,c18815a5,哈哈哈哈哈哈牛暗示牛哇
168.16900,1,25,16777215,1635248862,0,6defb214,《我记得》
287.18000,1,25,16777215,1635137455,0,ff2d725a,《玩偶》
368.34200,1,25,16777215,1635084225,0,88ea45c5,牛奶的包装盒
56.49900,5,25,16707842,1634731899,0,f11a7c42,已婚预备
378.58900,1,25,16777215,1633870920,0,478d19fc,老师很喜欢啊，爱不释手
354.52200,1,25,16777215,1633315958,0,71d20416,笑死我了，全是奶牛电视
372.62700,5,25,15138834,1628781878,0,1d5a7ccd,要想高数学得好，家中奶牛不能少
354.54000,1,25,16777215,1625037334,0,7e5335e7,笑死了，宋老师好可爱啊！！！！！！
67.62300,1,25,16777215,1624183466,0,dc697afa,感谢宋老师拯救我的高数！！
349.51800,5,25,16776960,1623076679,0,39090d65,又是一个小挂坠！哈哈
236.16000,5,25,16776960,1623076523,0,39090d65,宋浩老师一定要上百大吖！
31.63900,1,25,16777215,1620208395,0,f9eece3f,顺手一个二倍速
62.02300,1,25,16777215,1618628118,0,1820e845,谢谢宋老师 数学过啦哈哈哈哈哈
329.39400,1,25,16777215,1618184537,0,4aeae394,电视购物（doge)
364.41500,1,25,16777215,1617616071,0,2c469d19,黑白花哈哈哈
56.17900,1,25,16777215,1616673275,0,8c5d6e56,感谢宋老师，高数91
