弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
32.91900,1,25,16777215,1661501846,0,947a900c,哈哈哈哈哈怎么有股印度味儿
148.61500,1,25,16777215,1660748481,0,8534fa32,有点咖喱味的英语
13.98200,1,25,16777215,1660748372,0,8534fa32,闪动味道的赢格里势
170.78200,1,25,16777215,1660653887,0,b5f73feb,2倍速为啥感觉很纯正的感觉哈哈哈哈哈
1.77700,1,25,16777215,1660465892,0,3e43f442,惊奇的发现这个视频
48.22600,1,25,16777215,1660241881,0,5750a466,有没有兄弟翻译一下下
169.21200,4,25,38979,1659691254,0,26a27bb2,擦，我也线代及格了，大英四喜提挂科（微笑）
39.26100,1,25,16777215,1658996277,0,42881ca3,我表示很震惊，我对老师的能力一无所知
332.61300,1,25,16777215,1658112027,0,9b2c994a,他甚至会人像直播实时抠图
589.40900,5,25,15138834,1657643489,0,fb84afb5,you minus we
1407.27700,5,25,16646914,1657378416,0,2ac3503d,orthogonal 垂直的；直角的;正交的;正交的
16.50500,1,18,16777215,1657322953,0,6a0732cd,两个谓语动词（bushi）
273.24500,1,25,16707842,1657027797,0,6974a2ea,爱你呦老师
1259.50000,4,25,16776960,1657024144,0,407ee6d2,dot product (点乘/点积)
481.76400,5,25,52480,1657022618,0,407ee6d2,row vectors (行向量)
471.77700,5,25,52480,1657022566,0,407ee6d2,column vectors （纵向向量）
0.22600,1,18,16777215,1656816130,0,aa747646,中外合作被迫（
246.88700,1,25,15138834,1655976206,0,ed5026a7,有故事吗（doge
1427.64800,1,25,16777215,1655768674,0,c612649,好酷，这一版可以装比用！
1395.51200,1,25,16777215,1655768642,0,c612649,宋老师把茶杯放到书里去了！！
1353.34600,1,25,16777215,1655768600,0,c612649,哇哈哈哈宋老师小人人好好玩！
1219.07400,1,25,16777215,1655768466,0,c612649,没错我居然还在听·
2036.57300,5,25,16707842,1654960117,0,7cf1d76c,单位向量
1751.90600,5,25,16707842,1654959969,0,7cf1d76c,老师游刃有余，好厉害
946.02300,5,25,41194,1654959537,0,7cf1d76c,宋老师涵盖了小初高大学以及国外！！！牛逼牛逼！！
3.29900,5,25,38979,1654950676,0,7cf1d76c,？？？？？？？？我发现了什么？？！！！大老鼠牛逼！
178.72700,1,25,16777215,1654921929,0,c9b98270,英语是数学老师教的
177.10600,1,25,15138834,1654845115,0,d0978b3a,讲真，会有外国人来看吗哈哈哈
319.02500,1,25,16777215,1653914637,0,88c8639b,宋浩老师讲英文我竟然听得懂欸
