弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
482.88600,1,25,16777215,1661160443,0,f3f8eb04,老师讲得很清楚
900.75700,1,25,16777215,1660452876,0,da69cb70,你考清华他考北大我烤地瓜
421.88600,1,25,16777215,1658498090,0,c814c284,看这玩意就是薛定谔方程的雏形，淦
153.44400,1,25,16777215,1658497793,0,c814c284,因为二阶滤波电路需要二阶方程
691.03600,1,25,16777215,1657460825,0,81ed96f7,明白了，就是导数的次方是一次方
571.65000,5,25,38979,1657120574,0,97a77c5b,老师就扎着的半个马尾都比我一整头的头发多
165.35300,5,25,15138834,1655779284,0,c69a337e,刚出生，来了解一下微分方程
52.50600,1,25,16777215,1654928730,0,e32f7c12,解锁新皮肤
824.74800,5,25,15138834,1653355423,0,6e67207f,1.5倍速听着她的声音很有压迫感
0.00000,5,25,16707842,1652963895,0,7f44ee9a,曾俊，别卷了别卷了
44.46400,1,25,16777215,1652533385,0,59c80c34,宋老师头发长长了
842.24100,1,25,16777215,1651752750,0,c1d5539b,积分多次，每一次积分就会增加一个不同的常数C
583.40200,1,25,16777215,1651058241,0,dcbcdda8,英文授课的表示，中文授课不要太舒服
170.54700,1,25,16777215,1650804134,0,be1cb77a,机器人202胡帆邀您共进晚餐
39.45400,1,25,16646914,1650355337,0,32f82d8,宝藏老师
828.92000,1,25,16777215,1650168274,0,92de8f2a,通解含着n个相互独立的常数
580.40600,1,25,16777215,1648776452,0,92de8f2a,早上好十三位朋友
22.14000,1,25,16777215,1648732112,0,3298c69,新皮肤哈哈哈哈笑死了
5.18000,5,25,15138834,1647845098,0,f450155d,《非常简单》
561.39300,1,25,16777215,1647268350,0,1a2863bd,来自全国各地的28位卷王晚上好
856.78700,1,25,16777215,1646104332,0,2d2b01c9,特解里面是不是可以含有固定的常数
701.16600,1,25,16777215,1644655527,0,12a22cd4,明白了，也就是导数的次方大于1那就是非线性
4.00000,1,25,16777215,1644583789,0,a83c6e82,宋老师怎么换皮肤了
915.04900,1,25,6830715,1644480921,0,c3a39e9b,老师好厉害，讲课好流畅，知识点涉及很多，稍微走神就要倒回去再听一遍
358.60900,1,25,16777215,1644377429,0,8e9fd650,宋老师语速比这个老师慢多了
1.66100,1,25,16777215,1643446438,0,1f5b66e6,《非常简单》
864.75800,1,25,16646914,1643011151,0,f95c9275,感觉这个老师对教学内容思路非常NB
114.18700,1,25,16777215,1642089919,0,6777f078,考前急救了属于是
673.57700,1,25,16777215,1641348874,0,6feb1fd3,因为说的是各阶导数是一次的
