弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
469.77800,1,25,16777215,1653227142,0,9fa6957f,把负号给dy那边就行了
760.33300,1,25,16777215,1651542159,0,583d5d6d,列项相消
122.77400,1,25,16777215,1648628992,0,ec04d403,确实，老师又错了qwq
358.53400,1,25,16777215,1648551990,0,c457d9ec,分离参数
108.59000,1,25,16777215,1647004814,0,377040a,谢谢好心人
147.11500,1,25,16777215,1646049517,0,46a79fa7,ln y 写快了一步应该是积出x²＋c1
6.54500,1,25,16777215,1659757201,0,a60e5ed6,22.8.6
97.54000,1,25,16777215,1654570779,0,a6d3a12e,为什么是e的x²次方呢
86.90500,1,25,16777215,1654401900,0,e14eff1d,老师， 2x的原函数是x²
132.60800,1,25,16777215,1653132303,0,298a7771,老师真可爱
304.92700,1,25,16777215,1651396600,0,ec6924f6,条件不够吧，还得加x/=-1
108.59000,1,25,16777215,1647004797,0,377040a,明白了，谢谢好心人
109.29300,1,25,16777215,1646659922,0,c37b48f0,省略公
115.34900,1,25,16777215,1646657435,0,45346828,为什么不是x2
125.59600,5,25,16707842,1646061684,0,88b60bbc,上一步lnlyl应该等于x²+C1，这一步去ln右边变成e的x²+C1
158.08100,1,25,16777215,1646061227,0,306cd4b2,哦哦那后面的x平方+1不用再微分嘛
745.53400,1,25,16777215,1657038565,0,2f295d15,天啦。这里好懵
196.77400,1,25,16777215,1656848748,0,d87f8df1,搞错了吧
120.82100,1,25,16777215,1656143922,0,fb870944,这里感觉有问题的
636.84200,1,25,16777215,1654787259,0,f5200a37,6.9
90.18000,1,25,16777215,1654570749,0,a6d3a12e,？？？
127.80600,1,25,16777215,1653288985,0,1bf81889,错了吧
166.31000,1,25,16777215,1653122538,0,a2ab6c45,e的x二次笔误了吧
736.03900,1,25,16777215,1652860579,0,b7f1d73e,！！！！
767.33300,1,25,16777215,1651542166,0,583d5d6d,裂
622.64200,1,25,16777215,1651542018,0,583d5d6d,漏了y
513.21400,1,25,16777215,1651541908,0,583d5d6d,我觉得问题不大
508.71500,1,25,16777215,1651396753,0,ec6924f6,这题解的不严谨
863.66500,1,25,16777215,1650978667,0,d7eae038,2022年
93.60900,1,25,16777215,1649756779,0,c7472c40,？？？
137.53500,1,25,16777215,1648629007,0,ec04d403,应该是x2
842.72400,1,25,16777215,1648120914,0,589617a3,数学2011lsz前来学习
151.47200,1,25,16777215,1647517632,0,6bcc1fa2,写错了吧
104.49400,1,25,16777215,1647313376,0,5f6428f0,这右面的原函数不是X方吗
92.47900,1,25,16777215,1647310418,0,2d3bd1fc,？？？？？
89.86300,1,25,16777215,1647049800,0,77ca1e55,???
87.75000,1,25,16777215,1647004742,0,377040a,???
215.85100,1,25,16777215,1646962929,0,c7ee3651,。。。。。
733.44100,5,25,15772458,1646708969,0,5a483993,化成（A+B）x ²+Cx+A=1 因为右边只有常数项1，左边x²和x的系数都应该是0
126.88800,1,25,16777215,1646707906,0,c37b48f0,变e^x2那个lny要变y啊
166.90800,1,25,16777215,1646640074,0,86f66aea,好家伙有错误
135.44900,1,25,16777215,1646635237,0,36c84ee,懂了
91.11800,1,25,16777215,1646633762,0,edb8c96d,？？？？？？？
110.82000,1,25,16777215,1646620936,0,920fc4cf,应该不小心笔误了
770.90100,1,25,16777215,1646491075,0,62835df7,……
205.63900,1,25,16777215,1646320435,0,f92428a5,886
171.25900,1,25,16777215,1646320397,0,f92428a5,是不是错了
126.35000,1,25,16777215,1646308441,0,c7214bf6,错了吧
101.14700,1,25,16777215,1646289279,0,88cdf34,这直接把y写出来了吧
86.62000,1,25,16777215,1646289265,0,88cdf34,？？？？？？？
134.68200,1,25,16777215,1646143753,0,6b716dcd,什么鬼哦
778.74900,1,25,16777215,1646138535,0,a664d91,666
128.56900,1,25,16777215,1646102189,0,d9f7f5cf,前面那个应该是写错了
114.90900,1,25,16777215,1646060796,0,306cd4b2,老师为什么不直接是x的平方了呀
193.14000,1,25,16777215,1646052940,0,b8dcde57,老师，2x的积分不应该是x的平方吗？
725.27300,1,25,16777215,1646049054,0,783067e9,？？？？
158.69400,1,25,16777215,1646046659,0,3a9bfaa4,妙啊
