弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
331.94200,1,25,16777215,1658645051,0,63ca8845,因为这里的德尔塔x是无穷小量
357.21600,1,25,16777215,1655024054,0,f8f6380d,谢谢老师，彻底会了
383.55300,1,25,16777215,1651838615,0,583d5d6d,上下x前面系数保持一致就OK了
59.44800,1,25,14811775,1646702299,0,23520c5f,八个人了，哈哈哈
10.76500,1,25,16777215,1644774105,0,e4beb9e7,失眠了想来听听高数 没想到1:41还有三个同学在听课
485.34400,1,25,16777215,1644305209,0,4f9a026b,看完了，这些方法高中求导就应该学过了，比较基础
431.18200,5,25,16777215,1642321577,0,f8cd031,为什么这里h前不用加负号啊？
474.90400,1,25,16777215,1641632051,0,d0e6afb6,太牛了老师，我听懂了！
18.64400,1,25,16777215,1641451467,0,ff9ca9f6,梦开始的地方
8.85000,1,25,16777215,1639804980,0,cae0330,好妖娆
1.79300,4,25,15138834,1638273269,0,b3c3765a,梦开始的地方
8.01800,1,25,16777215,1637033615,0,9dbc44bb,这声音有点苏
484.32300,1,25,16777215,1636853862,0,ecabcc3d,还可以用拉格朗日中值定理！
402.32500,1,25,16777215,1636550061,0,387c7d09,你们别担心，我会照顾好我爸爸的
244.06800,1,25,16777215,1636440429,0,4dcfdb17,自己写完全想不到系列
297.78700,5,25,14811775,1636331233,0,32c9e03,其实也可以换元，不懂的盆友们可以试一下，会简单一点
159.39500,5,25,11890,1634376168,0,462515a,北京联合大学前来学习！
195.63700,1,25,16777215,1627621340,0,2a98a81d,你们礼貌吗哈哈哈
469.05700,1,25,15138834,1626257420,0,94b83f5f,高中3年没学明白的东西，宋浩老师几分钟的视频4个题就会了，牛壁啊
9.70300,1,25,16777215,1623333788,0,63a05361,怎么这么妖娆的声音
479.79300,1,25,16777215,1610459554,0,816c4180,⬅️（有偿）
477.46900,1,25,16777215,1610459540,0,816c4180,老师 你接代考吗
421.65000,1,25,16777215,1610376093,0,4bbc68f,分母为什么不能变成5h-3h
184.09500,1,25,16777215,1609549222,0,d39deac7,老师的头像是年轻的时候吧，头发好多哈哈哈哈
487.18700,1,25,16777215,1609117306,0,4d89b2c6,老师讲的好清晰！
180.51500,1,25,16777215,1609077750,0,2fff0481,哈哈哈发生了什么
169.69700,1,25,16777215,1608884099,0,57319d7e,老师的好的好可爱
9.22400,1,25,16777215,1608808917,0,3e2daf5a,平安夜进度条都是圣诞帽
449.62000,1,25,15138834,1608466292,0,89185e3e,妙啊凉皮
25.33800,1,25,16777215,1608029402,0,2f33c593,为何如此妖娆
324.64200,5,25,16740868,1607497833,0,84d356b4,为什么lim下面可以直接变成2倍
166.43400,1,25,16777215,1607429913,0,907d9acd,哈哈哈，老师真可爱
303.22800,1,25,16777215,1607186403,0,708df4d1,导数=正负导数可刀
19.47600,1,25,16777215,1606018517,0,126a7f59,宋浩老师在线救命
481.95300,1,25,16777215,1605925834,0,949ecfee,眼睛会了！！
292.54800,1,25,16777215,1605691915,0,9ae72f75,后面a导不懂了
327.46100,1,25,16777215,1605678944,0,e931390,因为这里是分母乘2，也就是等于1/2，所以外面（分子）是乘2
143.94000,5,25,15138834,1605087327,0,e3c33c50,好的，我又回来咯
179.32900,1,25,16777215,1603934097,0,c4af0159,分子括号里两式差是2△x，分母直接凑可以吗？
1.03300,5,25,15138834,1603285175,0,9fe2e99,还愿来了，谢谢老师您
146.40600,1,25,16777215,1598684322,0,cc714ede,开学考试，自闭了
0.43000,5,25,16646914,1598012423,0,723662fc,好的~~大家好~~~~
479.41000,1,25,16777215,1593993319,0,fc91349d,啊，突然明白
330.73100,1,25,16777215,1592691433,0,2ca38c87,它在分母上
110.77200,1,25,16777215,1588940081,0,1017b71d,蝙蝠时代的补考
7.54900,1,25,16777215,1585043755,0,3d004eba,宋老师说我们专升本的来听这个。点赞的一起上岸！
317.60600,1,25,16777215,1583977581,0,1f337042,这个导数题是我看了这么几个月最明白的了
49.52400,1,25,16777215,1582382761,0,a9b087be,你兄弟湖南长沙
105.33600,1,25,52480,1582185982,0,175f5187,我为什么会在这里，这得从一只蝙蝠说起
72.59500,1,25,16646914,1582185949,0,175f5187,我为什么会在这里，这得从一只蝙蝠说起
61.63900,1,25,16777215,1582185938,0,175f5187,我为什么会在这里，这得从一只蝙蝠说起
170.44200,1,25,16777215,1578362606,0,8aec93a9,想当年我是喜羊羊
78.30500,1,25,16777215,1578128033,0,5fc51c6f,后天考试慌的一笔
258.25000,1,25,16777215,1577636302,0,5ba46a0,这个玩意哈哈哈哈哈哈
153.52600,1,25,16777215,1575387499,0,898cc8f7,哈哈哈哈哈哈老师笑死我
