弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
165.47900,1,25,16777215,1661584599,0,9e9bac11,这种方法证明实际上是有一点小小问题的
6.01200,5,25,16707842,1660505494,0,f53a425c,梦想开始的地方
430.66100,1,25,16777215,1660376239,0,76ed0b97,我活不到那时候了！
420.51000,1,25,16777215,1659949152,0,f08385e,不还了是吧（恼）
623.92800,1,25,16777215,1659853690,0,4574a68,这个封皮应该是华东师大版的
887.53600,1,25,16777215,1659695378,0,6ef16dec,我上网课就是为了不害怕来的
789.80900,1,25,16777215,1659668598,0,8566d32,08级数学与应用数学回顾一下吧
366.84200,1,25,15138834,1659407577,0,9f9ea86b,从这里爱上数学
821.55900,1,25,16777215,1659319748,0,29091912,张马虽迟但到
591.90300,1,25,16777215,1659148360,0,dc0cb6d7,大师我悟了
480.32500,1,25,16777215,1659098655,0,f1078711,九分之七
845.03500,1,25,16777215,1658986890,0,3fce17a8,哈哈哈牛劲
240.29200,1,25,16777215,1658831234,0,9dd52b10,拼多多哈哈哈哈哈
486.23900,1,25,16777215,1658808473,0,b06f7e8b,逐渐偏离题目
5.07300,5,25,16646914,1658315870,0,b85644dc,好，不等了，该开始了
4.40100,1,25,16777215,1658247400,0,8e6f8712,梦开始的地方
801.61300,1,25,16777215,1657787342,0,3d19f2f2,今天就是天王老子来了他也是小的
366.64700,5,25,16707842,1656657190,0,649cd908,《你是数学系的学生啊》
427.79900,1,25,13369971,1656494166,0,a7de325b,他笑了他笑了
879.41500,4,25,16707842,1655733872,0,4630f148,人家不是特别规定了嘛
236.92500,1,25,16777215,1655729154,0,b355f175,拼多多哈哈哈，你要笑死我
607.79600,1,25,16777215,1655728563,0,c95f854a,精彩！！突然对数学有点感兴趣了TT应该去年学的时候看的
4.39000,1,25,16777215,1655692301,0,4dff59ed,梦开始的地方！
878.87700,5,25,38979,1655330780,0,9bf65e50,人家不是特别规定了嘛
878.87700,5,25,14811775,1655330771,0,9bf65e50,人家不是特别规定了嘛
878.87700,5,25,41194,1655330759,0,9bf65e50,人家不是特别规定了嘛
878.87700,5,25,15138834,1655330748,0,9bf65e50,人家不是特别规定了嘛
323.94900,1,25,16777215,1654465507,0,a422abc5,这是自动把有限带入无限啊
29.74800,1,25,16777215,1651816195,0,1a055f31,梦开始的地方
21.96100,1,25,16777215,1651816187,0,1a055f31,梦开始的地方
0.02000,4,25,16646914,1651407850,0,29b71aad,梦开始的地方！
406.46500,1,25,16777215,1651289796,0,f8aa72d,如果用极限来解释我能理解
460.69500,5,25,16777215,1651244735,0,8d1ffbb8,好有趣啊 哈哈哈哈 比上高中的课有趣多了
235.73000,1,25,16777215,1651199879,0,a49d1ef1,天王老子来了，它都小于一。
361.65500,1,25,16777215,1650623341,0,31302ae9,老师：要不是录视频我已经疯了
0.50200,5,25,16707842,1649925113,0,1d6e9bba,胎教开始了啊
427.92500,1,25,16777215,1648705398,0,58a6ff72,那是不还了吗（doge）
672.41900,1,25,16777215,1648440916,0,3812579,我们学的时候，第一章是直接跳过的，失去了很多快乐啊
430.36200,1,25,16777215,1646986144,0,ec82f90a,“时间的尽头”
38.33200,1,25,16777215,1646141550,0,728c9a61,考过了高中数学的教师资格证，感谢宋老师！
842.92300,1,25,16777215,1646123291,0,8a6d91ca,快补考了来预习＋1
93.32200,1,25,16777215,1646118321,0,3ddb43d8,突然清晰
227.36600,5,25,15138834,1644938916,0,367e74d5,可以看看极限部分有讲的
227.36600,5,25,15138834,1644938895,0,367e74d5,都说了无限位小数
431.86200,1,25,16777215,1644752266,0,cdefb3ac,所以等于0（狗头）
745.09800,1,25,16777215,1644581823,0,9d892615,请问宋老师用的教材是第几版的啊
732.66300,1,25,16777215,1644581806,0,9d892615,请问宋老师用的教材是第几版的啊
835.15700,1,25,15138834,1644576687,0,545748ad,快补考了 来预习
390.04400,1,25,16777215,1644467720,0,14c06af9,小的这个数，小于任何给定的正数，所以1是0.9999...的极限
423.00100,1,25,16777215,1644195403,0,14c06af9,大于任何给定的正数
581.30000,1,25,16777215,1644070435,0,2779daa8,这就证明了循环实际上可以实现分数表示？
837.98800,1,25,16777215,1643266372,0,265180a2,快补考了，来预习
332.73200,1,25,16777215,1643017487,0,e835359c,暴露了：啊这个极限
393.98500,1,25,16777215,1643012197,0,5fcadb6,数分期末被老师捞了回来重新做人为下学期的课程做准备
1.65900,1,25,16777215,1642398404,0,d334a0fd,梦开始的地方
471.97800,1,25,16777215,1642328633,0,a32f3a35,19年秋天大一时学的这一节，22年寒假大三时已经大脑一片空白
430.88500,1,25,16777215,1642216683,0,2c5c12b1,“永远不”
669.09800,1,25,16777215,1641802081,0,11ebc691,啊啊啊，从此爱上数学
871.12500,5,25,15138834,1641741219,0,c0d9d8b0,那，老师啊！
52.68200,1,25,16777215,1641228983,0,77a250a4,梦开始的地方
523.59100,5,25,16646914,1641014869,0,22e1c13d,卧槽，牛逼
6.77300,1,25,16777215,1640487561,0,bf5bf0dc,握草终于等到宋老师出数学专业课了
877.31800,1,25,16777215,1640486219,0,f2c11060,哈哈哈我觉得宋老师会读心术，，我脑子里的疑惑刚冒出来他立马就说了～
369.20900,1,25,16777215,1640263620,0,de56f218,我他喵终于知道为啥了，我顿悟了大师
731.91700,1,25,38979,1640251405,0,e83a540f,老师讲的太赞了！
266.24800,5,25,16646914,1639811166,0,877cb64a,记忆犹新
639.01000,1,25,16777215,1639806081,0,7abb3e83,刺头：如果我设n=∞
364.95800,1,25,16777215,1639570279,0,a7e4aaf8,让老师下个拼多多，体验体验社会的险恶
414.18200,1,25,16777215,1639489916,0,531f861a,老师最新视频竟然有肚囊了
4.41600,1,25,16777215,1639312204,0,d64708f7,梦开始的地方
364.46200,1,25,16777215,1639293509,0,545aeebe,从这里开始爱上数学
415.21000,1,25,16777215,1639226411,0,f06aff1a,震惊了，家人们
267.25600,1,25,16777215,1639194934,0,2fa99e7e,用有限把握无限这属于黑格尔这是了doge
405.21100,1,25,16777215,1639025622,0,bad4184f,初一上半学期学霸就有的题啊！
892.31600,1,25,16777215,1638966744,0,4c3567a3,0：我被特殊化了
448.31900,1,25,16777215,1638886494,0,50e9e0f7,最后一位笑死我了
4.21900,1,25,16777215,1638836589,0,8cf8d580,终于等到了！！！
27.42100,1,25,16777215,1638618873,0,f61e6330,梦开始的地方
285.60500,1,25,16777215,1638617892,0,7491306d,哈哈哈哈哈哈哈严谨性突然加满了
366.49700,1,25,16777215,1638456826,0,aa049aff,我开始怀疑十几年的数学是不是学错了
455.29500,1,25,16777215,1638445606,0,8e0c3e5d,其实是因为实数的稠密性，基于实数的稠密性，两者间找不到其它实数，所以两者相等
872.96300,1,25,16777215,1638406420,0,90de7312,俺要是能想到也不来求救了啊宋老师哈哈哈
0.16200,1,25,8700107,1638181103,0,2a9b8d22,梦开始的地方
299.27200,1,25,16777215,1637974579,0,22cab714,我已经开始不知所措了
0.64200,1,25,16777215,1637937832,0,245f3376,梦开始的地方
186.63200,5,25,15138834,1637927224,0,3d6390cc,无限小数可以作四则运算
32.30000,1,25,16777215,1637834971,0,fa798daa,扬大下周就要期中考试了，我有点慌
