弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
14.63100,1,25,16777215,1646548921,0,c253bef4,上学期线代94！！！谢谢宋老师！谢谢出卷老师出简单了！！
78.35600,1,25,16777215,1645970690,0,cad70882,线性代数过了！！！
1384.90800,5,25,41194,1643368199,0,6ad018f1,baby也离了
552.90300,1,25,16777215,1642995083,0,b72cc7af,还有可能竖起来（
340.48000,1,25,16777215,1641869406,0,33c7dbe3,把孩子打一顿，怪他早一天出来
742.88000,1,25,9487136,1641535820,0,a8790e6a,有无寒假预习的小伙伴
1375.39000,1,25,16777215,1640866072,0,113e838d,好家伙 随机事件
1285.26800,1,25,16777215,1638263389,0,d61cd6e3,宋老师实在是太搞笑了
176.39200,1,25,16777215,1638023876,0,7ecd95f,此地无垠三百两哈哈哈
24.76100,1,25,16777215,1637930548,0,3a3cc712,感谢老师救我线代和高数（合十）概率论也拜托了
915.65700,1,25,16777215,1634688678,0,e04a2224,前面那个桌子的仿佛我说我杀人不眨眼，你却问我眼睛干不干
1365.32100,5,25,15138834,1631604121,0,b8208126,大家注意，并没有跑题！！！（doge）
394.03000,5,25,15138834,1631603104,0,b8208126,@罗翔说刑法
238.56700,1,25,16777215,1631433954,0,626be0e9,线代，概率论一起看的举个爪子
1192.82700,1,25,15138834,1630978141,0,f5fad6c8,赵薇已经被封杀了老师！
87.64500,5,25,15138834,1630648587,0,1d20f9b7,冰？！王冰冰
802.77900,1,25,16777215,1626934573,0,3b526200,非零子式的最高阶数
848.25000,1,25,16777215,1624854789,0,c5ce0d06,小敖终于来了啊
1256.38900,1,25,16777215,1622875217,0,f3de2484,还教会计宋老师是什么神仙老师
473.03700,1,25,16777215,1622874513,0,f3de2484,好想知道宋浩老师的头发是怎么多的我快秃了呜呜呜
201.50500,5,25,16777215,1620914344,0,8bb240bb,感谢(*^_^*)！！宋浩老师好可爱
4.42000,1,25,16777215,1618994260,0,acb4c421,老师  又见面了 上一次是去年夏天了
43.26000,1,25,16777215,1618733739,0,a278a80f,感谢老师的线代
968.71300,1,25,16777215,1618378378,0,aba1b668,这黑板是真好使
1226.00500,1,25,16777215,1616155736,0,13c86443,老师您说的是发际线高度像吗
1112.35100,1,25,16777215,1615368647,0,dad2c04d,老师你出屏了哈哈哈哈
694.85800,1,25,16707842,1614838054,0,42eae006,小唐听懂了吗哈哈哈哈
1337.24300,1,25,16777215,1614828476,0,24f778d8,宋家的可还行
1131.37300,1,25,16777215,1614828373,0,24f778d8,那个黑板擦消失了
39.56300,1,25,16777215,1614732985,0,d7d0f91,新学期新课程
7.22900,1,25,16777215,1614670354,0,408cbfd,兄弟们时隔一年又见面了
25.63400,1,25,16777215,1612860266,0,21b70235,49分来重新复习了，争取补考过吧
4.15900,1,25,16777215,1612613539,0,c8937b78,考试前一周恶补概率论，过了！谢谢宋老师！！
79.33900,1,25,16777215,1612498491,0,279a99da,感谢老师解救我的线代
154.76100,1,25,16777215,1610701047,0,5b38f518,老师要出题了 发现的概率
63.80100,1,25,16777215,1610608608,0,f215de1,概率论97下车，来还愿了，感谢宋老师！
215.58900,1,25,16777215,1610441910,0,68ffb661,求老师录一个统计学的课，太喜欢老师了，讲课真的好有趣，还都能听懂
1279.62600,1,25,16777215,1610345972,0,2e44d0d5,我举个列子吧我到现在已经谈了好几个女朋友
766.16100,1,25,16777215,1610345744,0,2e44d0d5,基本事件：不能再分，不必再分
587.87700,1,25,16777215,1610345565,0,2e44d0d5,实验结果不止一次
45.67100,1,25,16777215,1610303217,0,ebcb04a4,好家伙，我都考完了才看到这个
19.54000,1,25,16777215,1609668868,0,3020a1cf,对啊，秃头人哭了T﹏T，老师讲授一下长头发秘籍啊
0.00000,1,25,16777215,1608552925,0,3ace59eb,七天后考试，开始从头学习
694.21500,1,25,16755202,1608039773,0,246c1a25,事件：每种结果即为事件
647.13000,1,25,16755202,1608039735,0,246c1a25,随机试验：1、结果可知 2、但无法预测本次实验的结果
1361.40400,5,25,15138834,1607961965,0,3d3700c0,偏题了，老师
1203.06400,5,25,15138834,1607961878,0,3d3700c0,周星驰的电影
1232.33000,1,25,16777215,1606270525,0,5466f60d,不想跳过哈哈哈
1238.86900,1,25,38979,1604909114,0,6b9d9d29,我们是受过专业训练的
448.39900,1,25,38979,1604908093,0,6b9d9d29,这是我第一个开弹幕看的网课
1184.36700,1,25,16777215,1599739189,0,136e786b,我赌硬币落下来，然后摔碎了
873.82000,1,25,16777215,1599738788,0,136e786b,特殊疑问句
1260.60500,1,25,16777215,1596503102,0,67d731ac,只有两个人在看，另外一个小伙伴在哪里
30.44200,1,25,16777215,1596344750,0,1447103d,一个考了94一个95 以后大学数学就跟着宋老师学了
189.43100,1,25,16646914,1595485802,0,3ea3db0,？？？？为何发量突然增加
0.54900,1,25,16646914,1595485628,0,3ea3db0,老师有头发的样子真帅
0.54900,1,25,16646914,1595485612,0,3ea3db0,老师好 我是线代过来的学生
8.51100,5,25,16707842,1595087611,0,d43dcb39,帅哥你谁
38.29200,1,25,16777215,1594639622,0,68a5546d,概率论高分通过了，我来还愿了，感谢宋老师
18.18000,1,25,16777215,1594609059,0,d794425a,从线代和高数过来的，谢谢老师
1378.58700,1,25,16777215,1591797116,0,3d438a63,这都能绕回来
1449.15700,1,25,16777215,1591768249,0,1e1052f7,下一集见
1322.44900,1,25,16777215,1591162249,0,519b94be,我还以为宋老师又要说 :我感觉我长得像宋仲基 哈哈哈哈
26.76400,1,25,16777215,1590850388,0,544a4aaa,这个老师好和蔼的感觉
28.56200,1,25,16777215,1590324776,0,6f79fc2b,今年得抱老师大腿了！
9.93000,1,25,16777215,1588064688,0,a79b2da3,同样从线代过来，老师头发长了不是一点啊啊啊
1277.97600,1,25,16777215,1587032302,0,8d91c600,再见了兄弟们，我突然想起来要去看大学习
29.22900,1,25,16777215,1586937705,0,b70074e,头发头发头发，长回来了
1221.18200,1,25,16777215,1584101698,0,2fd364b1,哈哈哈哈哈哈梨泰院看了吗老师
17.90000,1,25,16777215,1583679345,0,bbf92c43,眯眯眼都是大佬
371.00600,1,25,16777215,1583645782,0,fa3d7a01,直觉上我相信是医生被收买或档案被换了
6.22000,1,25,16777215,1583328195,0,486a5701,老师，你怎么偷偷把头发长长了？
49.84200,1,25,16777215,1583217819,0,79c93f93,这个视频比我看线代时清晰太多了
1322.22100,5,25,16707842,1583123621,0,ee26c380,哈哈哈哈 老宋家的事
1403.40300,1,25,16777215,1582639587,0,33d9ccf3,老师好有梗
1328.14000,1,25,16777215,1582449616,0,3fb293fd,看了两遍
235.14200,1,25,16777215,1581908425,0,ac630b74,1.5倍老师的声音也是真的棒。
532.02200,1,25,16777215,1581495530,0,9b740846,讨论头发的你们魔鬼嘛哈哈哈哈哈哈
1429.83000,1,25,16777215,1581313667,0,15502b1,大家都是同一片海域的冲浪选手
114.60700,1,25,16777215,1580965632,0,3e35c7dd,妻管严
384.55700,1,25,16777215,1579318578,0,991bfe43,还是有概率发生的（虽然小）
36.43600,1,25,16777215,1578988459,0,b4d5b0e1,概率论过了！！！感谢宋老师！！！
548.40100,1,25,16777215,1578102383,0,3adb4f11,好喜欢老师粉笔的质量啊。。很顺滑的感jio
46.50800,1,25,16777215,1578033196,0,346afa25,从线代来的，非常震惊
62.38300,1,25,16777215,1577503047,0,139b34d7,听一倍速仿佛慢放2333
1391.53700,1,25,16777215,1577231932,0,35be48fd,圆回来啦 2333
1089.93400,1,25,16777215,1576842582,0,750ebb94,我以为我手机滑下去了
4.23400,1,25,6830715,1576841685,0,16c8c1d1,从线代过来发现老师突然多发
1371.02900,1,25,16777215,1576716128,0,bcf43153,后台播放莫名像单口相声
827.12500,1,25,16777215,1576161357,0,be2143d4,看见宋老师，才觉得数学有救
43.45200,1,25,16777215,1572968447,0,a2d81ec8,一有头发  年轻了十岁
446.61600,1,25,16777215,1570715694,0,40bda3e2,我就坐在底下，我没笑(dbq)
403.74100,1,25,16777215,1570621847,0,e1a45b1f,没期末的我不用指挥部 我终于可以原速听宋老师讲段子了哈哈哈哈哈
1396.49500,1,18,15138834,1570606328,0,de0c0612,宋老师也是弄潮儿呀 娱乐八卦一个没落 哈哈哈哈
1324.04400,1,25,16777215,1570606203,0,de0c0612,哈哈哈哈哈哈哈哈哈是你们老宋家的事儿
96.64200,1,25,16777215,1570605042,0,de0c0612,哈哈哈哈这下你老婆知道真相了
254.18100,1,25,16777215,1570541120,0,e85ca86f,冲老师的字我也要学～太好看了尤其是英文
411.41700,1,25,16777215,1570262590,0,fc5a5209,可能就是隐性基因（强行解释）
