弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
23.24900,1,25,16777215,1661597186,0,58ba6314,可怕的收藏量
506.48300,1,25,38979,1661595549,0,a7f88f1a,小破财加一
449.40300,1,25,16777215,1661306805,0,26b6a504,五个打光棍
84.00400,1,25,16777215,1659247741,0,2dabc34f,四人正在看的朋友们你好
174.33000,1,25,16777215,1658114689,0,d4e7359,大三假期预习
12.34300,1,25,16777215,1657098748,0,d91a95a1,原来宋浩老师也有统计学
429.45500,1,25,16777215,1655454365,0,d5494f96,那五个单身狗好惨
563.89400,1,25,16777215,1655260536,0,4a0f5ac3,问能不能化简的笑死我了
17.28600,1,25,16777215,1653881672,0,369ea053,有无出剩余课程的，求
214.85500,1,25,16777215,1653642280,0,ae42dd72,统计：名词。是一个人。
510.32200,1,25,16777215,1651651529,0,74b50fd4,宋老师每句话都是精华
71.58300,1,25,16777215,1650422357,0,d1a5eb38,这是我统计老师！！！亲身体验老师讲的很不错！
331.47700,1,25,16777215,1649662601,0,66d40e1d,求一个后续，有出踢我，有偿
507.41000,1,25,16777215,1649486749,0,271bba43,天津难开大学在家上网课
111.77800,1,25,16777215,1648800989,0,afed8017,为了论文…我啃
45.49900,1,25,16777215,1647671080,0,77253c96,文宇娇来了，今年必过这门薛康康
747.42200,5,25,16777215,1646035813,0,c8aeabae,还有一个社会性
464.66800,1,25,16777215,1645596846,0,a4942504,暂缓返校在家听
457.45200,1,25,16777215,1645534931,0,a492e142,PPT上其实就是精华了，老师只要举几个例子就行，其它全要靠学生理解了
26.01200,1,25,16777215,1645533227,0,6500cbba,咱就是说也是来预习的
544.82100,1,25,16777215,1641571752,0,37e8328a,关亲子鉴定什么是。。。。。。
414.97600,1,25,16777215,1641526861,0,8a1b67f3,宋老师是数院的这课归统计学院教
16.95900,1,25,16777215,1641449779,0,acec5ed3,还有十分钟考试，来预习
137.93800,1,25,16777215,1638979717,0,43f0e0c6,三人正看，内哥俩看懂了不
448.19700,1,25,16777215,1637933588,0,700c218a,这个老师讲的也很好
523.73900,1,25,15138834,1637506737,0,327fec01,这个课程怎么样
99.44900,1,25,16777215,1637202193,0,37bdeba,大家好，很高兴见到各位
24.40300,1,25,15138834,1635126889,0,a3db34f3,上次高数，这次统计学，宋老师我又来了
172.40400,1,25,16777215,1631718677,0,7233be32,高三毕业提前学（狗头）
7.78200,1,25,16777215,1629260040,0,1f27cd22,四个正在看可还行
