弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
388.27100,1,25,16777215,1654406859,0,91745a51,变声期
0.48200,1,25,16777215,1646315961,0,93dd8c01,谢谢老师！！解析几何87！，！
0.56000,1,25,13839654,1646038249,0,7190d398,从无到有是最难的
19.16300,1,25,16777215,1639318445,0,92f6dadc,变声期的你最离谱
349.91100,1,25,16777215,1631955685,0,b4a932cc,老师历史也很好鸭～～
619.53900,1,25,16777215,1631544139,0,342d232b,又是《业余》
12.94700,1,25,16777215,1631261980,0,a7ba4962,变声期
6.61900,1,25,16777215,1659658280,0,f47dc237,梦开始的地方
517.70800,1,25,16777215,1644723374,0,538e3c08,寒假快过完了，抓紧看看
80.39900,1,25,16777215,1642674300,0,18017f90,初中生前来取经（解析几何在解决初中几何方面有妙用）
74.82300,1,25,16777215,1641906277,0,e7bbcdd2,寒假弯道超车！
10.63700,1,25,16777215,1641202437,0,d5309999,初三学生前来学习
681.35600,1,25,16777215,1640741248,0,911026e,明天考试
118.85000,1,25,16777215,1639468463,0,5a84a71b,老师上的是哪一个版本的解析几何啊
42.94300,1,25,16777215,1638876086,0,ee39195,不是宋浩吗
498.06200,1,25,16777215,1638865383,0,e5ea973c,下周考试....
59.37200,5,25,15138834,1638679514,0,75ee8c35,石家庄铁道大学
42.37900,1,25,16777215,1634951319,0,dac7b518,这是哪个版本啊
424.64300,1,25,16777215,1632231052,0,ea8983c6,2021 9 月 21日。9点半
7.07900,1,25,16777215,1631245047,0,6e8a3df0,教师节快乐！
1.08600,1,25,16777215,1631087344,0,7bb2fd4b,浩浩呢？
1.53900,1,25,16777215,1631236126,0,8743dfc1,教师节快乐
5.43900,1,25,16777215,1631264275,0,d5d1c4ac,教师节快乐
6.29800,1,25,16777215,1636870798,0,ff2c8228,解锁新英雄
708.37900,1,25,16777215,1660980581,0,615ddfe3,经典翟天临
31.77900,1,25,16777215,1660581664,0,973cb22e,声音怪怪的，老师注意休息
183.23500,1,25,16777215,1659894037,0,9d3a9f23,就我一个大半夜看啧
637.61500,1,25,16777215,1658973285,0,1d415330,小学生
605.36800,1,25,16777215,1658973260,0,1d415330,有人吗
662.75100,1,25,16777215,1658306730,0,a25aa40b,茶虫
186.72700,1,25,16777215,1656241592,0,c315ed9a,交流起来，兄弟们
175.11600,1,25,16777215,1653824266,0,4e813809,高等教育出版社 解析几何 第五版 吕林根
183.36500,1,25,16777215,1653738868,0,55f14be7,4个人
173.01600,1,25,16777215,1652363003,0,b57fb0af,还有几个人
0.37900,1,25,16777215,1652199934,0,bca7cbd2,用的啥教材，求求了？
592.26600,1,25,16777215,1651756190,0,75847a18,知网
178.00200,1,25,16777215,1651388252,0,42bfd660,现在看的发一个弹幕
27.59400,1,25,16777215,1649156759,0,b37d7bc3,55挂了
143.38500,1,25,16777215,1649071443,0,68e1e36,3个人
89.25500,1,25,16777215,1648004931,0,60e41072,用的那版教材？
191.92400,1,25,16777215,1647875484,0,2c652630,高三冲冲冲0
181.64000,1,25,16777215,1647875467,0,2c652630,嗨咯
277.24700,1,25,16777215,1647474309,0,919f919e,.......33
32.62200,1,25,16777215,1646058302,0,f5882086,这个是吕林根内个嘛
450.42200,1,25,16777215,1645583540,0,baa69512,啥呀这是
1167.66800,1,25,16777215,1644412244,0,5512260b,高等教育出版社的吧
67.32800,1,25,16777215,1644059332,0,482de026,vvv开门 
48.10300,1,25,16777215,1642316276,0,6ec11529,海南大学2021级数三来报道
1128.77400,1,25,16777215,1642001412,0,4a32511a,这个没啥重点啊
3.13400,1,25,16777215,1641383151,0,83a64f14,还愿，谢谢老师
32.79300,1,25,16777215,1640417387,0,63569d20,lyyyl
502.77100,1,25,16777215,1640257918,0,9e67d4e6,明天考试
1.67700,1,25,16777215,1639841675,0,d4dd8474,请问老师用的什么教材？
48.29900,1,25,16777215,1637237424,0,47e7fa8d,不知道
675.02700,1,25,16777215,1637143623,0,e6c4ae94,？
172.21800,1,25,16777215,1637143286,0,e6c4ae94,四个人，大家活跃起来啊
83.71800,1,25,16777215,1637143198,0,e6c4ae94,有人吗，这讲的咋样呀？
50.82300,1,25,16777215,1635995116,0,ce273cbc,没人。。。
49.51200,1,25,16777215,1635385132,0,1ffb0a44,你
2.03700,1,25,16777215,1634808753,0,db7bd598,？
1080.95600,1,25,16777215,1634545151,0,9aedf4df,好
572.40900,1,25,16777215,1634220694,0,e8642067,是的
179.55500,1,25,16777215,1632663908,0,2e74410a,老师渊博
50.28100,1,25,16777215,1632530947,0,aa550d1a,对于共线的两个向量，怎么证明它的加法交换律？​
207.99200,1,25,16777215,1631319618,0,fb9b5749,西学东渐 是诸多如利玛窦传教士与徐光启这样不反对西学的大臣才搞成的
204.94100,1,25,16777215,1631319537,0,fb9b5749,儒家抑农抑商
166.31400,1,25,16777215,1631319497,0,fb9b5749,满清入关1644年
314.47000,1,25,16777215,1631161515,0,e8e27e6e,文献综述
9.87400,1,25,16777215,1631101754,0,dd96bc6b,4小时
16.41200,1,25,16777215,1631095298,0,4bca6a8d,离谱
9.20300,1,25,16777215,1631093997,0,48395027,来的好早
374.46600,1,25,16777215,1631090648,0,101b01f7,浩浩在哪里啊
16.29700,1,25,16777215,1631087614,0,57533a24,冲冲冲
50.36500,1,25,16777215,1631086800,0,dd8f729d,老师加油
