弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
326.21300,1,25,16777215,1660820324,0,e081fe5e,省流:偷懒
1011.79700,1,25,16777215,1660654269,0,7cf6817e,准大一新生学会了
991.68100,1,25,16777215,1660322959,0,6909854a,强大
752.28100,1,25,16777215,1660322602,0,6909854a,不是从左下到又上嘛（恼）
384.65500,1,25,16777215,1660322080,0,6909854a,姐妹染色体为啥不叫哥弟染色体
514.35100,1,25,16777215,1658938166,0,dc093376,矩阵消元永远简单好用
73.63200,1,25,16777215,1658472384,0,9de3316d,刚刚从那一个线性代数过来 嘿！老师头发长出来了
617.14600,1,25,16777215,1658164655,0,5e454b77,有谁跟我一样晚上失眠过来看的吗
355.56400,1,25,16777215,1657613962,0,d095f89c,合理但有病哈哈哈哈哈哈哈
691.81900,5,25,15138834,1657424137,0,b9dc5fd2,这个数代表的意义需要你给它
228.26000,1,25,16777215,1657350986,0,f612547a,来准备高代补考了
85.40800,1,25,16777215,1657198252,0,d5f8af99,感觉这个课跟线性代数一摸一样
540.94600,4,25,15138834,1656596670,0,80f35933,懂了，但完全没懂
19.77700,1,25,16777215,1655037039,0,915ebd3e,感谢宋老师救了我的数学
516.70600,1,25,16777215,1654745166,0,fcb01e72,行列式的本质是数，矩阵的本质是数表，所以矩阵不能放在分母上
27.90700,1,25,16777215,1650085760,0,301f78d9,老师用的哪一版课本啊
743.81100,1,25,16777215,1647823778,0,d5062c3,还在家里网课
655.55800,1,25,16777215,1646875114,0,73ca4fa0,问：这黑板有几块
8.97600,1,25,16777215,1646315080,0,e7471d69,高中数学都没学明白的我居然打开了这个视频
732.13900,1,25,16777215,1646241169,0,ba5e7cad,22年3月3号深夜一点钟还有12个人:P
942.86200,1,25,14811775,1646120596,0,5a36f29b,我第一次学懂了！！
346.80000,5,25,13369971,1645779042,0,de158012,三行四列行列式怎么算（doge）
248.99700,1,25,16777215,1644741547,0,b1d7b054,累到自己，感动自己
226.53200,1,25,16777215,1643381165,0,17baea2c,懂了，来自于高斯消元法
152.84700,5,25,16776960,1643031638,0,2498ea3,异常情况！百鬼夜行警告！
0.59900,1,25,15138834,1642738212,0,a684139b,考完啦高分飘过，谢谢宋老师，也祝大家高分过
31.73200,1,25,16777215,1642732754,0,739f73e2,为什么同济是从多项式开始讲的 人没了
12.38200,1,25,16777215,1642645383,0,fb036d67,经过了高等数学的毒打，下学期要遭遇高代了
12.38200,1,25,16777215,1642645352,0,fb036d67,来预习下学期的课了宋浩老师
6.29900,1,25,16777215,1642492411,0,c70c3d90,谢谢老师！太爱了！！！
915.28500,1,25,16777215,1642480630,0,d2871291,从行列式的角度解释消元法可还行
31.81900,1,25,16777215,1641911568,0,d9d9cf3d,丘老的高代是从方程组！
852.79300,1,25,16777215,1641828662,0,71e4612d,感觉克莱姆法则运算低效
406.29400,1,25,16777215,1641228446,0,539efe32,我们老师:二姐夯裂（三声）式
4.37000,1,25,16777215,1640671352,0,eac89ff9,这个时候他的头发还健在（doge）
155.68200,1,25,16777215,1640520602,0,55eb2f51,看一下老师的英文版笑死我了
951.32600,1,25,16777215,1640313275,0,cbd4b6c2,我觉得他的粉笔质量好好哦，写出来的字我很喜欢
61.41900,1,25,16777215,1639584151,0,397fefe4,谢谢老师，开始困了
38.13000,1,25,52480,1639420814,0,b289eed1,有头发的时候
174.24100,1,25,15138834,1639197117,0,f9a2a3e6,信息与计算科学！！！
360.44800,1,25,16777215,1639009974,0,5a60b249,洋气哈哈哈哈
361.39300,5,25,16777215,1638969012,0,3d4fa7eb,不行，太复杂，考试画不完
25.41900,5,25,16777215,1638965304,0,3d4fa7eb,从多项式开学的我???
39.37300,1,25,16777215,1638876475,0,f4ad6a69,不，是从多项式开始的
10.52000,1,25,16777215,1638747581,0,c9a80fd4,跪求二次项 人要学麻了
361.15400,1,25,16777215,1638686919,0,fb28453e,老师用的是哪一版书啊
424.73200,5,25,16646914,1637904348,0,ef892a07,老师，三行四列怎么算？
676.10300,1,25,16777215,1637851777,0,69d23a10,板书字迹清晰，老师声音甜美，泪目了，好幸福
326.02700,1,25,16777215,1637402436,0,1da77eec,第一次听宋浩老师上课
354.32200,1,25,16777215,1637143906,0,568ddf47,真的好幽默好可爱呀
71.00200,1,25,16777215,1637139302,0,eb6f5e1,其实本来在美国是先学抽象代数之后再学线性代数
195.65100,1,25,16777215,1636613434,0,b7e93608,卧槽西财校友
33.25900,1,25,16777215,1636540786,0,62a2354c,老外竟是我自己
962.89100,1,25,16707842,1636370380,0,bb81adf1,秒懂
34.21200,5,25,15138834,1636369411,0,bb81adf1,老外也是我自己
29.74200,1,25,16777215,1636221023,0,b57c5340,EDG夺冠了！兑换flag过来通宵上课！
392.84700,1,25,16777215,1635921172,0,4c869d03,求大佬带
3.45900,1,25,16707842,1635086477,0,908a770f,数学系狂喜！！！
48.55200,1,25,16777215,1634972078,0,ffb2b103,多项式不配拥有姓名
935.70000,1,25,15138834,1634877101,0,c0602e23,我爱死这个老师了呜呜呜，感谢您
35.70000,1,25,16777215,1634819277,0,7ef512d,四舍五入罗老师是老外
459.85900,1,25,16777215,1634351558,0,e322d4cb,老师无奈了╮（╯＿╰）╭
396.83800,1,25,16777215,1634214118,0,7ebf4af3,老师好可爱
982.65100,5,25,16707842,1633928854,0,acd323ba,妙啊，喵喵喵
648.48900,5,25,15138834,1633928605,0,acd323ba,升级了，终于不用板擦了
157.10500,5,25,16707842,1633928196,0,acd323ba,跑哪儿啦
0.00000,5,25,16707842,1633927987,0,acd323ba,宋老师归来
26.35300,1,25,16777215,1633518247,0,78a7923f,难怪我们先学矩阵，搞得我以为国内国外内容不一样
0.00000,1,25,16777215,1633509469,0,a7070e32,uu们，浩浩子出《数学分析》了！
8.62400,1,25,16777215,1633356471,0,6a30ee58,！！突然发现ios可以二倍速了
