弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
889.70400,1,25,16777215,1658730543,0,f616c54b,我暂停想半天为什么是1
14.05900,1,25,15138834,1658682906,0,7b6cd9e,前面失眠的，我也是
870.73100,5,25,15138834,1656388643,0,16c637b2,邯郸一中刘攀峰前来报到
0.49900,4,25,15138834,1656388608,0,16c637b2,邯郸一中刘攀峰前来报到
0.03900,1,25,15138834,1656388571,0,16c637b2,邯郸一中刘攀峰前来报到
2144.60800,1,25,16777215,1652108922,0,751eff5d,他俩不一样哦~
339.25900,1,25,41194,1650768982,0,b2ceaaa7,一起加油吧
1744.91400,5,25,9487136,1649510858,0,3a8f90ae,可以直接将分子化成分母与一个不趋于0的项，然后约去趋于0的项
474.10900,1,25,16777215,1649299065,0,d047a7b0,大后天考试
447.99700,1,25,16777215,1649299030,0,d047a7b0,周末补考加一
4.77900,1,25,15138834,1647275369,0,13676341,大家好，我是任灵，是个博士
2063.63400,1,25,16777215,1646999766,0,a93d2eb8,补考一定过！！！！
94.19100,1,25,16777215,1646793836,0,353bb91c,补考+1
1625.24300,1,25,16777215,1646740338,0,c6ada47b,数学要是周六补考过了，我把宋浩老师的讲解全看一遍
62.57400,1,25,16777215,1646623506,0,200af8b3,高数很简单呀
37.18500,1,25,16777215,1646483907,0,7585ffaa,同学们大家好！我是宋浩
62.74700,1,25,16777215,1646019382,0,49922e6f,补考必过呜呜呜
119.81400,1,25,16777215,1645967384,0,ac5a1097,老师的气泡音啊
4.65700,1,25,16777215,1645947468,0,45c5109c,题目老是印错，然后答案没有过程，做哭了
2386.03400,1,25,16777215,1645772833,0,9f1be212,小牛试刀
948.68100,1,25,15138834,1645760938,0,1d7be7c4,后天高数求求了
1309.20400,1,25,16777215,1645541218,0,d96e7227,前提条件a可以等于0，后面不可以，所以不能推出来
46.56500,1,25,16777215,1645451981,0,2157f3fc,补考了，，，呜呜呜
1221.17500,1,25,16777215,1645257954,0,1a55a1f3,我也挂科了，一周后补考啥都没看九命
904.37700,1,25,16777215,1645257938,0,2a221748,兄弟们我还有半个月 是不是时间还挺充足哈哈哈
569.80100,1,25,16777215,1645156196,0,de97a9f8,家人们我期末高数考了十三分我后天补考还有救吗
78.25000,1,25,16777215,1644916974,0,fcad39f5,补考+1
284.47700,1,25,16777215,1644912594,0,d1e2461d,f（t）怎么出来的
1387.21400,1,25,16777215,1644628147,0,cfba21e,我不李姐
187.43100,1,25,16777215,1644578728,0,31488ed7,补考的准备
378.74900,1,25,16777215,1644479383,0,5639d9bb,前面等等我也来补考了
365.56400,1,25,16777215,1644401697,0,b3e8cc53,前面等等我也来补考了
596.16200,1,25,16777215,1644282469,0,4fac5ede,补考在线8号打卡
35.76500,1,25,16777215,1643510091,0,d5ae4682,补考回顾
1147.40100,1,25,16777215,1643373555,0,724b46ec,哈-哈-哈-哈
35.57900,1,25,16777215,1643188739,0,8651485,挂了呜呜呜
840.10400,1,25,16777215,1643175033,0,18a51eca,补考全靠宋浩老师了下学期一定好好学习呜呜呜呜
273.23000,1,25,16777215,1643076169,0,51c55ff5,加了2ab，所以减一个2ab，2ab刚好等于2，不然等式不成立
60.03900,1,25,16777215,1643023131,0,71b550d6,补考，呜呜呜
27.95900,1,25,16777215,1642585686,0,d409bace,期末挂了，希望补考能过呜呜
187.45900,1,25,16777215,1642513409,0,3ca380b5,前面的专升本等等我俺也是专升本
703.82800,1,25,16777215,1642424934,0,c3eff2f1,能做彼此的天使么，我的宝
61.81700,1,25,16777215,1641994556,0,6f0eb393,宋浩老师yyds呜呜呜
477.65000,1,25,16777215,1641906623,0,fd627067,一月11，明天考试
458.18300,1,25,16777215,1641888118,0,dddcb233,SOS只剩两天了
1685.33000,1,25,16777215,1641455485,0,e10a5fac,明天就考试了 现在次啊复习【痛苦】
2062.47100,1,25,16777215,1641450441,0,eb38e3ba,哇高级
2257.16200,1,25,16777215,1641437350,0,bc1e3f32,早上好，49个卷王
2407.14000,1,25,16777215,1641352839,0,ab63f77a,我与宋浩老师画押，赌我期末不挂
2395.08700,5,25,16777215,1641345560,0,56557c88,期末不挂科，谢谢
494.72400,1,25,16777215,1641309281,0,5c70e134,现在11点，离考试还有10个小时
473.06600,1,25,16777215,1641307808,0,e01b7d73,同后天考试
1295.70200,1,25,16777215,1641299735,0,734c3a34,前提条件a可以等于0，后面不可以，所以不能推出来
542.17300,1,25,16777215,1641283086,0,144f2255,这个lim好高级哈哈哈哈
1246.46300,1,25,16777215,1641275864,0,873b8d5e,明天高数了！
662.61200,1,25,16777215,1641255846,0,5dc2f33a,咚咚噔！
480.84900,1,25,16777215,1641179207,0,a632bc05,今天一点半哈，我在期待什么
574.05000,1,25,16777215,1641046123,0,17c4e736,新年快乐
39.73600,1,25,16777215,1640855885,0,2bad3726,希望我高数稳过！！
745.15500,5,25,16707842,1640745619,0,d4a58165,宋浩老师我的超人
201.85900,1,25,16777215,1640710231,0,1cc0e830,期末前预习一下
1227.92500,1,25,16777215,1640695054,0,cc69a8b8,后天考高数，九命
1215.92500,1,25,16777215,1640664882,0,98bf129d,我也明天mkakk
890.54500,1,25,16777215,1640651326,0,87c3692b,哈哈哈哈蚌埠住了
202.64900,1,25,16777215,1640620474,0,4f28ab6f,明天考期末
180.49500,1,25,16777215,1640610715,0,4c17399,重生之明天期末
470.31800,1,25,16777215,1640535713,0,2385af65,大后天考试
524.00500,1,25,16777215,1640495099,0,366acaa9,12月26号中午，一个星期考试，抱佛脚ing
1827.49300,1,25,16777215,1640451013,0,6cf11044,俺期末考试不想挂科
39.36100,1,25,16777215,1640435840,0,14eb7b0a,书到了，很厚，，，
198.01500,1,25,16777215,1640423412,0,259b8cea,期末来预习的
755.41100,1,25,16777215,1640418157,0,ca85232b,哈哈哈 明天期末考试 我还在第一章
1204.08200,1,25,16777215,1640416785,0,75970b99,明天考高数了九米
1269.29000,1,25,16777215,1640337893,0,3cae801e,哈哈哈俺的方言
464.38600,1,25,16777215,1640328527,0,62856808,后天考试
1237.41100,1,25,16777215,1640286747,0,d8279e9a,现在凌晨3：12 我是卷王
461.88600,1,25,15138834,1640275056,0,2f5ed757,抱佛脚
681.23000,1,25,16777215,1640265679,0,accc4772,果断截图
448.28100,1,25,16777215,1640260799,0,141853d5,期末临时抱佛脚
10.45600,1,25,16777215,1640162090,0,8544e479,宋浩老师太及时了，总是能在挂科边缘挽救我
721.28200,1,25,16777215,1640130515,0,21f88b53,是因为知道我上大一了，所以全新版本嘛！！！
27.49900,1,25,15138834,1640090417,0,fd247dc6,宋浩老师就是我的神！
878.49100,1,25,16707842,1640087081,0,163d36ce,蚌埠住了，错了，哈哈哈
1354.89400,1,25,15138834,1640084362,0,be472740,我人傻了
893.63000,1,25,15138834,1640076583,0,dd9a8c60,好可爱啊啊啊啊 哈哈哈
669.15000,1,25,15138834,1640076354,0,dd9a8c60,果断截图
271.94700,1,25,16777215,1640003631,0,b8f85f3c,禁止向文科生使用魔法(麻了
495.34900,1,25,16777215,1639989291,0,91f6829,明天考高数！加油！
32.65400,1,25,16777215,1639986984,0,a6054250,高数期末必过！！！
680.13900,1,25,16777215,1639983133,0,a43a27d0,好可爱啊啊啊啊 哈哈哈
2234.15700,1,25,16777215,1659763967,0,a7c4a9ea,卷王集合
1508.74900,1,25,16777215,1658732290,0,f616c54b,非常数极限吗不是说
1668.36000,1,25,16777215,1658727778,0,5d117534,《黄金体验镇魂曲》
245.94900,1,25,16777215,1658718078,0,fdddb8ac,大一新生
387.09900,1,25,16777215,1658212145,0,4bb6ffd7,痛苦高数
555.48600,1,25,16777215,1657415977,0,3a5f2a7b,高三生暑假听课ing~
1374.02800,1,25,16777215,1657414357,0,b979fe0e,存在即合理
1334.74500,1,25,16777215,1657414325,0,b979fe0e,存在即合理
405.28100,1,25,16646914,1657251278,0,e46b2657,好家伙已经开始看不懂了
160.93500,1,25,16777215,1656607986,0,1faeae29,另外的三个兄弟还在卷啊
187.19000,1,25,16777215,1655626641,0,17092717,这是不是完整的高数课啊（来自准大一新生的疑问）
110.50500,1,25,16777215,1654707311,0,e7d4fe1c,准高三来报道
849.96600,1,25,16707842,1653480333,0,15052e5,勺子柄，原来跑到这里来了
272.12600,1,25,16777215,1653479576,0,15052e5,完全平方和，它加了二就要尖儿 
2219.02000,1,25,16777215,1653266871,0,a32af704,早上好
