弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
1296.18000,1,25,16777215,1630328888,0,71bff903,小时候想学天文 哈哈
171.33200,1,25,16777215,1613987132,0,c98d10c3,突然想起了抖肩舞
30.89900,1,25,16777215,1611469335,0,8cd43e1d,天文系，我梦寐以求的专业
465.62800,1,25,16777215,1610817424,0,b60277de,光线受引力作用发生偏折
182.84500,1,25,16777215,1610817115,0,b60277de,宋老师：一脸懵逼
61.14000,1,25,16777215,1610816993,0,b60277de,联 合 分 布
144.69500,5,25,16646914,1610359964,0,9041b9db,地球的土，不好吃；月球的土，好吃（伏拉夫警告doge）
38.98700,1,25,16777215,1609319725,0,823fc4f2,关键是头发还这么浓密
397.93700,1,25,16777215,1609057186,0,3cc28fa7,随声附和......好歹也是个中科院理科博士，这点常识肯定懂的
98.62200,1,25,16777215,1608712647,0,9103aa4b,古有两小儿辩日，今长大了辩月
51.23200,1,25,16777215,1608598060,0,a72ba300,终于说相声了
105.90900,1,25,16777215,1608539833,0,b26fe8e5,关于学术的相声【狗头】
287.18600,1,25,16777215,1607914899,0,da90a930,像极了我上课时候的样子
8.11900,5,25,15138834,1607891195,0,b3bd6eb0,114万粉丝，良い世、来いよ！
920.22500,1,25,16777215,1607857990,0,b146a810,感觉宋浩老师听课好认真
1128.68700,1,25,16777215,1607507371,0,cefee04a,瞄一眼手表
37.82600,1,25,16777215,1607496130,0,de5fd813,宋老师头发长多了
165.16600,1,25,16777215,1607440389,0,35a2ca0e,宋老师被迫营业
740.35600,1,25,16777215,1607344074,0,81dfed9e,神话是一种文化，文化不会被戳破
168.92400,1,25,16777215,1607319676,0,1afc06b2,捧哏宋
246.86800,1,25,16777215,1607315167,0,c4e2642f,老捧哏了
551.39900,1,25,16777215,1607306804,0,165a521f,注意话筒和肘子···
89.29100,1,25,16777215,1607268984,0,eb202c4,今天的月球播报已为您送达
58.18700,1,25,16777215,1607251259,0,2c1830da,商业互吹
72.78900,1,25,16777215,1607250521,0,f85faa92,经典捧哏
61.72000,1,25,16777215,1607247440,0,246c1a25,这头发又长起来了？挺突然的
140.75200,5,25,16646914,1607246352,0,7698e9f6,以前是单口相声，现在宋老师成逗哏了
40.49100,1,25,16777215,1607238997,0,92adae91,捧哏和逗哏…
215.33400,1,25,16777215,1607238430,0,5047d9ac,感觉宋老师略显尴尬，啊哈哈哈哈哈哈哈哈哈哈
466.63000,1,25,16777215,1607235465,0,102306a3,郭老师逗哏，宋老师捧哏
1330.59900,1,25,16777215,1607234498,0,7bae67d1,有机会登月哈哈哈
855.03500,1,25,16777215,1607232752,0,3efbf50e,哎哎哎想问个问题，平时用相机拍月亮的时候看到的阴影是月亮上的山还是深谷？
725.52900,1,25,16777215,1607231291,0,e54e9643,《比较高》
1223.24200,1,25,16777215,1660964642,0,b4d2577a,哈哈哈
515.81500,1,25,16777215,1660962471,0,b4d2577a,一年几次
417.63900,1,25,16777215,1660962368,0,b4d2577a,对对对
1255.61300,1,25,16777215,1659698968,0,ea477d29,竟然听懂了
544.77700,1,25,16777215,1652323716,0,aadd835f,啊对对对
459.64800,1,25,16777215,1650111755,0,94c31fe1,1111
522.50400,1,25,16777215,1647952941,0,37609645,xiaosile
155.06000,1,25,16777215,1647608486,0,141102fa,月亮一直在，只不过白天太阳光太强了看不到罢了
128.54000,1,25,16777215,1647608441,0,141102fa,宋式假笑:月亮不是在天上嘛？
257.07200,1,25,16777215,1647343632,0,7591a772,对对对
451.39400,1,25,15138834,1635785006,0,8c33392b,没人了吗？
858.39900,1,25,16777215,1633500925,0,8473e6e9,不清楚，我手机压根拍不清月亮
965.55600,1,25,16777215,1629215903,0,6b1cbd17,北大山大大pk
1156.84200,1,25,16777215,1629190093,0,b818880c,为什么是相似三角形？
1260.69900,1,25,16777215,1627269559,0,5760a113,强行尬聊
1159.39900,1,25,16777215,1627269442,0,5760a113,没人了吗？
244.21500,1,25,16777215,1627228230,0,a3c50ae9,对对对
29.67100,1,25,16777215,1624282732,0,99986161,听相声啦
648.83500,1,25,16777215,1623850470,0,fd1f5b8d,什么时候正片开始
382.37100,1,25,16777215,1623671118,0,e5ca586c,宋浩老师的样子，像极了我听高数的样子
21.47500,1,25,16777215,1623483770,0,1ce7479d,老师您是山大的呀我也
1217.38800,1,25,16777215,1621422568,0,211f0016,措不及防
143.03900,1,25,16777215,1620991181,0,8bbf3f02,声道有点不对，可能我手机有问题
262.08900,1,25,16777215,1620393493,0,22af9777,二倍速笑死哦哈哈哈哈
575.96900,1,25,16777215,1619349707,0,756fe731,奥奥奥，对，嗯
138.38800,1,25,16777215,1618931454,0,168654ec,没有开两倍速好不习惯（doge
616.91100,1,25,16777215,1618840219,0,ce923856,对对对对对对
29.09300,1,25,16777215,1615251403,0,67722dc2,厉害了
785.87100,1,25,16777215,1613903934,0,fa07a783,平均值38万公里
351.77600,1,25,16777215,1613903364,0,fa07a783,公转
819.74900,1,25,16777215,1613293726,0,84be7343,宋老师没学过物理吗？？？？
488.61900,1,25,16777215,1612257986,0,e5217395,噢噢噢噢噢噢，郭老师让宋老师嗷嗷叫
70.16800,1,25,16777215,1612163467,0,ed70c053,两老儿辩月
531.60500,1,25,16777215,1610863530,0,811a301e,噢噢噢噢噢噢噢噢
523.18000,1,25,16777215,1610817485,0,b60277de,哈哈哈哈哈哈
3.84000,1,25,16777215,1609768480,0,81a34a32,很多同学都是看着我的数学视频学大的
310.25600,1,25,16777215,1609556114,0,246c1a25,yigeyue1
53.37900,1,25,16777215,1609311044,0,be3cce6b,两老儿辨月
553.24400,1,25,16777215,1608710696,0,e5ec084a,从盈到亏
473.69500,1,25,16777215,1608710643,0,e5ec084a,哦~~~~
533.73700,1,25,16777215,1608564642,0,a2fb6373,哦哦哦哦哦哦
36.40000,1,25,16777215,1608539764,0,b26fe8e5,神仙打架
527.41800,1,25,16777215,1608477539,0,e2574bf6,捧哏
324.50700,1,25,16777215,1608475252,0,8711158b,讲相声呢
314.42600,1,25,16777215,1608339866,0,dec79634,双簧
610.71300,1,25,16777215,1608122171,0,f9db1fd,嗯
