弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
78.74000,1,25,16777215,1651710995,0,91191cd1,测试点的答案在哪
94.18700,1,25,16777215,1647867601,0,9da7d43b,《肝火》
67.20400,1,25,16777215,1661066798,0,451415f4,昊辉别冲了 学不会的
16.82700,1,25,16777215,1651835538,0,22a5959c,来了
12.94700,1,25,16777215,1651835531,0,22a5959c,哦吼
11.24100,1,25,16777215,1651835526,0,22a5959c,来了
71.74400,1,25,16777215,1648370691,0,2a0f48ee,答案在哪
129.19700,1,25,16777215,1647864695,0,871f07c5,\
26.33900,1,25,16777215,1647861140,0,d7c0198f,宋老师
98.95300,1,25,16777215,1647859940,0,360f9089,肝 火
68.06800,1,25,16777215,1647854713,0,1669f9ef,来啦！
