弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
445.07400,1,25,16777215,1656601426,0,5f9420f0,谢谢老师，投币啦
385.14300,1,25,16777215,1656601366,0,5f9420f0,谢谢老师，老师辛苦了
44.52400,1,25,16777215,1654158226,0,c93a0d14,果然还是二倍速听着熟悉
368.14500,1,25,14811775,1641561850,0,319db60,宋老师辛苦了！
375.94900,1,25,16777215,1638418329,0,c1dc411e,老师，辛苦了！
44.15000,1,25,16777215,1633866296,0,48487209,宝藏老师   啊～～～
405.53100,1,25,16777215,1612804791,0,17f62226,拯救了我的高等数学
447.24200,1,25,16777215,1610247889,0,d5984c52,救了我的高数谢谢宋老师
427.52800,1,25,16777215,1608997128,0,9da4429a,投币交学费！！！
365.25800,1,25,16777215,1608817778,0,10e06c2a,辛苦了老师！
111.73200,1,25,16777215,1608296667,0,d7e10027,《我的经历比较简单》
438.13000,1,25,16646914,1608192634,0,9b266d71,谢谢老师！！！！
54.73900,1,25,16777215,1608026250,0,9469716c,哔哩哔哩在学大学生
433.40700,1,25,16777215,1607172649,0,4854dfa5,有了您我数学有救了
433.40700,1,25,16777215,1607172629,0,4854dfa5,真的感谢宋老师
69.07500,1,25,16777215,1606996985,0,3f7052f4,谢谢宋老师，宋老师辛苦啦！！
430.26000,1,25,16777215,1606985223,0,cbcc18de,明示三连
455.48900,1,25,16777215,1606405882,0,3876234f,老师辛苦了！！！
373.76800,1,25,16777215,1606360415,0,c459e711,辛苦了老师！
81.97800,1,25,16777215,1606355422,0,45b1c086,刻在DNA里的二倍速
277.14700,1,25,16777215,1606207567,0,95e916c6,《有趣的故事》
67.55900,1,25,16777215,1605930374,0,e4f25cc3,感谢老师～
74.01900,1,25,16777215,1605606146,0,a9f69035,比利比利是真的爱了，宋浩老师好可爱呀❤️
448.89600,1,25,16777215,1605600188,0,258876a9,疯狂暗示
77.94000,1,25,15138834,1605488256,0,c12ab020,浩老师这哔哩哔哩的音调颇具风格昂哈哈哈哈
99.05300,5,25,15138834,1605336871,0,be4fe5a6,《还可以》
447.05500,4,18,15138834,1605246929,0,edec6ab3,老师辛苦了
431.58600,4,25,15138834,1605246913,0,edec6ab3,老师辛苦了
26.94600,1,25,16777215,1605099539,0,1503ea61,我吹爆宋浩老师的线性代数
36.43700,1,25,16777215,1604917936,0,d68e9630,不习惯这个语速啊，平时都1.5陪上高数
73.41800,1,25,16777215,1604815814,0,fb7d5ff,我15岁，现在在B大软件工程专业上大一(狗头)
375.74900,1,25,16777215,1604718047,0,f8c4a8a4,哔哩哔哩快支持一下老师！
93.48000,1,25,16777215,1604717761,0,f8c4a8a4,你不普通！
374.45500,1,25,16777215,1604660211,0,95732054,老师辛苦了，感谢老师
23.60900,1,25,16777215,1604659858,0,95732054,哈哈哈哈老师你的头发哪儿来的
9.91900,1,25,16777215,1604564391,0,376222c3,1.5倍速听惯了宋浩老师讲话 现在正常倍速好不习惯哦哈哈
75.47800,1,25,16777215,1604476103,0,7fc1b3e6,宋老师，我听了你的高数，现代和概率论，都高分过关，谢谢啦
427.98200,1,25,14811775,1604376748,0,1d6f430b,老师老师辛苦了，很喜欢你的课，谢谢你
163.14600,1,25,16646914,1604305729,0,e531d3b3,第一次上B站，就迷上了宋浩老师的网课
100.36000,1,25,16646914,1604305667,0,e531d3b3,理发了么，集帅气与才华于一身的网红老师，好喜欢
39.76900,1,25,16646914,1604305606,0,e531d3b3,发型变了，帅呀
61.61900,1,25,16777215,1604149284,0,80b8717b,差点以为要讲故事跳过了。。。
38.10500,1,25,15772458,1604060333,0,3f85537b,老师比高数课老了好多hhh
101.87600,5,25,15138834,1603992197,0,452d220e,《还可以》
73.27900,5,25,15138834,1603970707,0,3e2b9060,头发长了？
23.62300,5,25,15138834,1603970658,0,3e2b9060,头发？
462.14500,1,25,16777215,1603969618,0,876a8c43,暗示赞助商！
