弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
115.13300,1,25,16777215,1658757358,0,4abaa1d2,我感觉老师也讲的生无可恋
1269.58200,1,25,16777215,1655376176,0,c0a0ccb6,这是宋浩老师一个失败的作品
795.94700,1,25,16777215,1654606575,0,7f7ef919,两个人 另一个谁
284.81400,1,25,16777215,1651712787,0,89bb6a6b,这里前提不够准确吧我认为，应该定义狭缝中间为0位置，然后向竖直方向延申（说的不对请多包涵）
284.81400,1,25,16777215,1651712767,0,89bb6a6b,这里前提不够准确吧我认为，应该定义狭缝中间为0位置，然后向竖直方向延申（说的不对请多包涵）
284.81400,1,25,16777215,1651712766,0,89bb6a6b,这里前提不够准确吧我认为，应该定义狭缝中间为0位置，然后向竖直方向延申（说的不对请多包涵）
284.81400,1,25,16777215,1651712722,0,89bb6a6b,这里前提不够准确吧我认为，应该定义狭缝中间为0位置，然后向竖直方向延申（说的不对请多包涵）
1246.00600,1,25,16777215,1648696759,0,8e573fba,温馨提示：这个视频有很多负号都错了
86.03700,1,25,16777215,1647849020,0,b3e92d0b,开始看不懂了哈哈哈
1468.75400,1,25,16777215,1646227846,0,3359bfc2,讲的真好
474.28100,1,25,16777215,1640094854,0,84c7322c,前面的就是网课可以跳过。热知识:你不听的知识点可以跳过的。
569.20700,1,25,16777215,1638449877,0,83a481c8,sinnwt的公式少乘了一个i
127.83900,1,25,16777215,1637581841,0,86b8a3f7,时域卷积等于频域乘积
112.99300,1,25,16777215,1637581802,0,86b8a3f7,时域乘积等于频域卷积
590.43900,1,25,16777215,1637381402,0,7d074d1a,欧拉公式难道有问题，哈哈，连那个sin函数的
1039.75300,1,25,16777215,1636855956,0,4ea48f8c,瞬间少了一个负号
87.30000,1,25,16777215,1635005210,0,48c56fb8,来个信号与系统听听
1188.85200,1,25,16777215,1634436052,0,76ccfd06,这个知l识回顾在哪看啊
119.51600,1,25,16777215,1632236860,0,471c4af0,溜了溜了，换下一个
587.16600,1,25,16777215,1631437701,0,5bee1c54,讲的很仔细，对我这种很难理解的同学很友好
31.41800,1,25,16777215,1629200422,0,8120a516,他之前自我介绍了啊，不是
395.24600,1,25,16777215,1626355978,0,3186b81e,借着宋浩老师的名气，增加自己的名气，大哥带小弟的做法，ppt老师带不动啊
