弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
78.59300,1,25,16777215,1661351630,0,8c83c2a4,哈哈明天开学
64.59100,1,25,16777215,1660913762,0,d182602e,卷王zzx前来打卡
49.93800,1,25,16777215,1660463155,0,71739a84,放假两个月高中的知识已经忘光光了
55.51000,1,25,16777215,1660461036,0,966073a9,开学大二，现在还在看大一高数预备知识
58.03100,1,25,16777215,1660256455,0,1ec1620b,很好，准大二生已经全忘了
82.75000,1,25,16777215,1660225113,0,d3be9fc2,此极坐标并非高数中的极坐标，高数中的极坐标主要是用在二重积分和曲线面积分上
14.39500,1,25,16777215,1660186035,0,2197dc6d,还好哈哈哈还好我准大一
8.73700,5,25,16646914,1660017203,0,f3e299fb,在地球(doge
50.40000,1,25,16777215,1659969005,0,bcd84d9,复合函数求导 高中常用呀
34.20900,1,25,16777215,1659965113,0,1ad2a1f0,宋浩老师好棒！！！！！
11.85900,1,25,16777215,1659952891,0,b79911cf,太棒了！！！准大一在主页看到了！！！！哇唔
7.89500,1,25,16777215,1659946260,0,44b18c32,怎么大二才刷到呜呜呜
45.73300,1,25,16777215,1661325066,0,43e8d0be,准大一卷起来了
3.25900,1,25,16777215,1661232665,0,f5a05bdf,唐浩斌
0.39900,1,25,16777215,1661232657,0,f5a05bdf,唐浩斌
36.93900,1,25,16777215,1661232545,0,f5a05bdf,唐浩斌
28.35900,1,25,16777215,1661232532,0,f5a05bdf,我就爱学习的唐浩斌
22.73900,1,25,16777215,1661232493,0,f5a05bdf,唐浩斌
62.73900,1,25,16777215,1661167177,0,41d24c89,正好六个都知道
75.09500,1,25,16777215,1660882064,0,caa9c2e5,都学了，但忘了
10.45000,1,25,16777215,1660615654,0,977b3de7,徐邦哲表示很赞
30.97100,1,25,16777215,1660289623,0,565c3be4,哇，我是大一新生，看这个太卷了吧
31.77900,1,25,16777215,1660215024,0,17c10f42,我准初三在首页刷到了这个？？？
72.47900,1,25,16777215,1660105871,0,d8bcd0d6,极坐标很简单的啊高考选修都选的极坐标
0.04300,5,25,13839654,1660102222,0,c10e878b,大二新生报到
54.47300,1,25,16777215,1660043943,0,ddecf5da,除了极坐标和复合函数，其他都空白
55.88400,1,25,16777215,1659953232,0,73f8e39a,准大三备考概率论前刷到了这个呜呜呜为什么没有早点出
7.64600,5,25,15138834,1661746462,0,6f5873e5,我和黑板的中间
33.59900,1,25,16777215,1661282461,0,6f3a5298,熟悉的说辞，初升高的时候也这样
26.87900,1,25,16777215,1661232520,0,f5a05bdf,唐浩斌
23.93900,1,25,16777215,1661232498,0,f5a05bdf,唐浩斌
67.25900,1,25,16777215,1660972182,0,4846501f,谢谢宋老师我已经卷到博士了
17.80900,1,25,16777215,1660711961,0,743d68eb,学长推荐来看
0.99000,1,25,16777215,1660637690,0,50dc8cbc,《关于我高考之后转生成为准大一学生这件事》
51.62500,1,25,16777215,1660440381,0,2b8bd056,排列组合，极坐标，复合函数求导 高中 都 学过
0.43900,5,25,16777215,1660237853,0,d91dad14,大四新生报到
63.88000,1,25,16777215,1660016043,0,e8bbfe21,极坐标高中自学了一下但是都忘了
29.88400,1,25,16777215,1660399409,0,b0398890,卷王甘俊羽
40.34000,1,25,16777215,1660814218,0,99a9e7a4,准大一新生
28.98600,1,25,16777215,1661756582,0,974c1c34,声音大了好多！
64.57800,1,25,16777215,1661751825,0,9da9e4dc,有缩放吗？
6.01100,1,25,16777215,1661705046,0,c13e8a32,地球
77.82100,1,25,16777215,1661661446,0,57b03a0a,没有选修的我留下了眼泪
14.40800,1,25,15138834,1661650080,0,34948025,法学生路过…
13.05900,1,25,16777215,1661575361,0,4b585f08,大一新生
0.00000,1,25,16777215,1661572586,0,41f2adc8,后天来投币，币没了
35.15100,1,25,16777215,1661514171,0,edbd9e5d,太棒了
27.59700,1,25,16777215,1661514164,0,edbd9e5d,嘤嘤嘤
20.13500,1,25,16777215,1661514156,0,edbd9e5d,准大一
10.85900,1,25,16777215,1661393238,0,64ce1978,宇宙里
81.34300,1,25,16777215,1661386228,0,902e54d3,今年全国甲卷物理考反三角了，只是可以用近似处理
53.10500,1,25,16777215,1661386157,0,902e54d3,这些高中不是基本都学过讲过吗，反三角在物理中有出现的
57.64800,1,25,16777215,1661378253,0,7789bcec,不会就我一个准高二吧
70.53900,1,25,16777215,1661313999,0,39f4e727,已经快开学了才来
46.07900,1,25,16777215,1661307210,0,ea588cf5,多项式除法我这里初中教过了
40.57900,1,25,16777215,1661250710,0,b1cf838f,谢尚民
6.81900,1,25,16777215,1661238569,0,4512e357,大三新生报到
27.41900,1,25,16777215,1661232525,0,f5a05bdf,唐浩斌爱你哦
25.91900,1,25,16777215,1661232515,0,f5a05bdf,唐浩斌不敢再学了
24.83900,1,25,16777215,1661232503,0,f5a05bdf,唐浩斌学子
20.83900,1,25,16777215,1661232488,0,f5a05bdf,唐浩斌别卷了
69.37900,1,25,16777215,1661219965,0,67c378ec,老师都讲过！
0.66400,1,25,16777215,1661173652,0,405ce7c5,李天淇别卷了
45.94900,1,25,16777215,1661145621,0,bcbceb9a,国际经济与贸易有
46.91000,1,25,16777215,1661073505,0,df47a14b,准大一报道
28.62400,1,25,16777215,1660978392,0,d2f21b3f,宋老师去植发了？
53.10700,1,25,16777215,1660972054,0,4846501f,大四生来了
10.90000,1,25,16777215,1660893391,0,bcb5b9d,教室
17.55700,1,25,16777215,1660839005,0,197472c4,老师您来啦！
52.97900,1,25,16777215,1660822263,0,f56d831a,报道
44.63100,1,25,16777215,1660822255,0,f56d831a,准大一
22.41900,1,25,16777215,1660739671,0,8284d9d4,我人工智能专业的
