弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
2.38900,5,25,15138834,1659450741,0,fb030cb6,《lifesaver》
220.24700,1,25,16707842,1658726676,0,304cd911,哔哩哔哩赞助的杯子哈哈哈哈
138.69700,5,25,16777215,1656824860,0,93047a3b,结果反应在价格上，美式教材一般是苏式的好几倍价格
97.91500,1,25,16777215,1647765828,0,9683c0e1,数学从小拉到大的人狂喜
0.02700,1,25,13839654,1647141114,0,303aeb7a,确实惊喜，等到了热乎乎的宋老师
110.64700,1,25,16777215,1647136389,0,25883ea1,哇哦！这本真的超级赞 老师快更
456.41600,1,25,16777215,1646995182,0,d225fd46,段子就不奢求了
201.70800,1,25,16777215,1646983504,0,9635e058,确实，自学完了来回顾一下
0.54700,5,25,16646914,1646982908,0,3388b4cb,三   月   新   番
276.15900,1,25,16777215,1658311425,0,391cc7f6,一边看微积分，一边吃东西，下饭
103.98900,5,25,16777215,1656824745,0,93047a3b,同济版 证明：略
56.26000,5,25,16777215,1656824659,0,93047a3b,美式教材是这样的，苏式教材就非常干
169.37100,1,25,16777215,1655557389,0,aedd6727,高情商：干练，低情商：自学
15.73300,1,25,16777215,1647999910,0,a3ee769b,苏苏老师？
2.99000,1,25,16777215,1647789344,0,65d29630,我吹爆，我们高中数学竞赛很多都在看这本书
184.70500,1,25,16777215,1647322110,0,f2d22423,确实，下意识的用的很多东西
153.28400,1,25,16777215,1647180783,0,ef9024bd,高情商：干练，低情商：不会描述
227.15200,1,25,16777215,1647093940,0,d031f933,忠实粉丝来啦
235.83800,1,25,16777215,1647069219,0,e160dcd2,老师：被迫营业 懂的都懂
71.29900,1,25,16777215,1646991211,0,a77bf574,声音好魔性
124.38200,1,25,16777215,1646989381,0,241d9f0f,“干练”
223.94800,1,25,16777215,1647002865,0,3d6d962a,仔细品味微积分
204.74600,1,25,16777215,1661694039,0,d71c6bcc,是的
216.60100,1,25,15138834,1659932803,0,b2bc7a8b,？？？？谁品这玩意儿…
268.28500,1,25,16777215,1658564747,0,5a6366a6,难不难？
195.27900,1,25,16777215,1658564674,0,5a6366a6,高中生能用吗
144.02600,1,25,16777215,1658564622,0,5a6366a6,太详细了
168.56800,1,25,16777215,1658392397,0,58641dc6,买它买它就买它
128.82300,1,25,16777215,1658392357,0,58641dc6,证明过程：略
329.09000,1,25,16777215,1657432750,0,e0ae2e1,本土化
450.83800,1,25,16777215,1657022522,0,7b30580f,原著
60.19000,1,25,16777215,1657022092,0,7b30580f,没人
129.09000,5,25,16777215,1656824816,0,93047a3b,因为西方教材是市场化的，写得多可以水字数
41.52600,1,25,16777215,1656824600,0,93047a3b,卖书的
13.22300,1,25,16777215,1655132170,0,91af087,概率论
32.47900,1,25,16777215,1654956403,0,e20ecf4a,我也刚买
30.87100,1,25,16777215,1654680775,0,11a56287,初二看可以吧
55.26300,1,25,16777215,1653572222,0,42728878,高一已经买了
12.80300,1,25,16777215,1653307706,0,22a5959c,哦吼
9.41000,1,25,16777215,1653307701,0,22a5959c,来了
101.65900,1,25,16777215,1653058735,0,fff8c5fb,多多益善
121.63100,1,25,16777215,1652806997,0,37f58e7f,国内教材太干了
65.72500,1,25,16777215,1652622732,0,baa373f2,没有弹幕
223.19400,1,25,16777215,1652234509,0,c3823e3b,哈哈哈
30.07100,1,25,16777215,1650974590,0,d7743039,没字幕?
220.64000,1,25,16777215,1649562137,0,d9d0cce2,哈哈
36.21900,1,25,16777215,1649476601,0,ec7e33f0,配本例题食用更佳
64.66100,1,25,16777215,1648648447,0,3478d892,biubiu
25.99500,1,25,16777215,1648648408,0,3478d892,哈哈
127.32000,1,25,16777215,1647936110,0,c7648ec2,国内教材就是为了让你看不懂的
243.00000,1,25,16777215,1647752422,0,4bfb95be,这杯子够大
144.24000,1,25,16777215,1647752333,0,4bfb95be,一句废话都没有（狗头）
372.02600,1,25,16777215,1647431924,0,69f161d9,哈哈哈
28.69900,1,25,16777215,1647428984,0,fe463eef,人民邮电yyds
83.90000,1,25,16777215,1647321838,0,f2d22423,教育体系理念不同，教材也有所不同，挺正常的
56.93100,1,25,16777215,1647321781,0,f2d22423,国外书籍什么《物理化学》、《费曼讲义》的厚的跟鬼一样哈哈哈，哈哈，呜呜
29.42800,1,25,16777215,1647268481,0,fba268b9,wulawulawula
211.86400,1,25,16777215,1647247109,0,d749ca79,+1
188.99500,1,25,16777215,1647247086,0,d749ca79,确实
134.82900,1,25,16777215,1647247032,0,d749ca79,这很好啊
471.16300,1,25,8700107,1647091198,0,8b127c31,没有！
219.18200,1,25,16777215,1647069196,0,e160dcd2,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
44.09400,1,25,16777215,1647012256,0,9422258d,感觉宋老师有点累
48.86300,1,25,16777215,1647006937,0,ca59ef05,卧槽，我看过耶
17.40900,1,25,16777215,1646990251,0,8977b9c4,老宋又开新课了~
2.33000,1,25,16777215,1646985658,0,e160dcd2,老师啊老师，真的没有你不讲的数学课
459.94200,1,25,16777215,1646983384,0,3388b4cb,有段子吗？
24.02200,1,25,16777215,1646983375,0,4ac057ff,好耶
