弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
14.93400,1,25,16777215,1628683446,0,90becfae,看到老师的关注短短一天又增了2000多
14.93400,1,25,16777215,1628683402,0,90becfae,哈哈(●°u°●)​ 」
113.61800,1,25,16777215,1616298179,0,6779ff64,那个女生可能拿着你的行列式和富二代表白了
18.77000,1,25,16777215,1610802927,0,651bacdd,害，心如止水！
14.61300,5,25,16765698,1601983454,0,4a5e55ed,知道勺子炳同学的都是老粉了
20.30500,1,25,16777215,1598957863,0,c8296d77,张东升
21.75800,1,25,16777215,1597195354,0,4b2b496b,老师好高
13.78000,5,25,16776960,1594979407,0,e73fc620,拿掉你的假发
17.00400,1,25,16777215,1594181526,0,ac69a2d6,同样喜欢笛卡尔的张东升
30.60900,1,25,16777215,1590294432,0,7bc4494f,勺子丙赶紧把你头发拿下来，小美在台下
117.37900,1,25,15138834,1589978082,0,db5f0ff1,宋老师，这样的正能量要多宣传
121.88200,1,25,16777215,1589903451,0,e860fef0,懂了，这就去投个胎
12.65900,1,25,16777215,1589865834,0,2d91fd44,笛卡尔心形函数
10.95900,1,25,16777215,1589624551,0,f1aeb028,这也太可爱了
22.51900,1,25,16777215,1589550684,0,d8a3e631,他来了大豪斯老师
11.35200,1,25,16777215,1589541372,0,15168727,这个配音把我逗笑了
4.45900,1,25,16777215,1589534158,0,1cc477ee,勺子柄同学，我是小美!
18.05900,1,25,16777215,1589531627,0,47f89f43,对发量深表怀疑
23.70800,1,25,16777215,1589461423,0,c2ce4374,老师你怎么有头发了
73.72700,1,25,15138834,1589454860,0,420a319d,这个上课老虎看过hhhhh
20.22200,1,25,16777215,1589454807,0,420a319d,支持支持！！upup
3.59800,1,25,16777215,1589450437,0,a1d679d4,他来了他来了
15.59800,1,25,16777215,1589448659,0,a5a18287,新鲜的宋浩老师哇
120.55800,1,25,16777215,1589434877,0,b32190cd,老师有没有想过是富二代比较会表白2333333
134.14800,1,25,16777215,1589433817,0,935fbe13,虚  晃  一  枪
14.63500,1,25,16777215,1589431592,0,e364cdb7,头发变多了
18.55300,1,25,16777215,1589431422,0,7c7ae9dc,来了来了
18.04000,1,25,16777215,1589423154,0,4aa4a8bf,财大计科院来了来了~
17.69700,1,25,16777215,1589420402,0,79ed0745,头发变多了
15.17300,1,25,16777215,1589419267,0,b2661d76,哈哈哈哈哈来了
20.90800,1,25,16777215,1589416562,0,67661493,浩哥回来了
7.81400,1,25,16777215,1589416506,0,84158fd1,来了来了
68.52500,1,25,16777215,1628683550,0,90becfae,我晓得行列式了，爱你一辈子
95.93300,1,25,16777215,1623319391,0,42eeffae,哈哈哈哈哈哈哈哈哈哈哈哈
85.66200,1,25,16777215,1606992509,0,90b92976,哈哈哈哈笑死我了
115.73900,1,25,16777215,1605857460,0,d854c9b0,扎心了
25.40900,1,25,16777215,1602923799,0,d1d9436d,秒起来了
32.11200,1,25,16777215,1602679231,0,24acffe,想当年我构造三角函数，弄心型去表白
89.69600,1,25,16777215,1602417109,0,60daae3c,逆序数
71.71000,1,25,16777215,1591803392,0,d5cbfdad,卧槽牛
125.29700,4,25,16755202,1590625183,0,4cd609b,好冷
125.29700,4,25,16740868,1590625177,0,4cd609b,好冷
123.60700,4,25,16646914,1590625153,0,4cd609b,好冷
22.31300,1,25,16777215,1590406637,0,91ccd934,美丽的？心型？
38.02000,1,25,16777215,1589985458,0,bca7b2b9,其实我现在应该去学习他的概率论
127.84600,1,25,10485759,1589872243,0,faac073e,这个 真的好搞笑啊
9.53900,1,25,16777215,1589588140,0,56a39a8c,来了
71.89900,1,25,16777215,1589529038,0,12276df8,宋老师课上讲过
125.47900,1,25,16777215,1589527422,0,95f45b55,哈哈哈哈哈财大有你，最帅的帅哥
133.84500,1,25,16777215,1589448986,0,8415332e,太皮了！
17.81400,1,25,16777215,1589446547,0,ff437e0b,来了
56.18900,1,25,16777215,1589441151,0,d5849685,你们发现没，现在宋老师的语速是讲课的时候1.5倍速
60.95600,1,25,16777215,1589437130,0,82ad8c46,爱你一辈子
114.37900,1,25,16777215,1589433785,0,935fbe13,哈哈哈哈哈
119.99800,1,25,16777215,1589432112,0,3570405a,哈哈哈哈
130.72100,1,25,16777215,1589431673,0,37289a8a,要素过多
23.60100,1,25,16777215,1589431602,0,e364cdb7,哇哦
44.55300,1,25,16777215,1589431448,0,7c7ae9dc,哈哈哈哈哈哈哈
135.36900,1,25,16777215,1589427524,0,13f3767d,哈哈哈哈哈哈哈
81.30100,1,25,16777215,1589425286,0,53c0ed2,上课讲过了哈哈哈哈
33.26500,1,25,16777215,1589425238,0,53c0ed2,老师的头发
26.41400,1,25,16777215,1589423718,0,18fcf7c1,这个我知道哈哈哈哈哈
37.33700,1,25,16777215,1589423666,0,aa6be487,对方是中文系就注定着你的失败
110.30400,1,25,16777215,1589419730,0,311125a9,哈哈哈哈哈哈哈哈哈哈哈哈
101.17400,1,25,16777215,1589418484,0,93c7bfa6,哎呀同学，正愁数学要挂科，不如。。。。。
50.86600,1,25,16777215,1589417751,0,e7c692fc,哈哈哈非同道中人
4.55000,1,25,16777215,1589417704,0,e7c692fc,来了
6.22000,1,25,16777215,1589417218,0,6f28d9b1,哈哈哈哈
17.82000,1,25,16777215,1589416790,0,8df08c56,爱你一辈子
24.06100,1,25,16777215,1638252264,0,842d52b9,那个差距四十岁的爱情？
65.39600,1,25,16777215,1631232751,0,2eb33735,哈哈哈哈哈上课讲过
74.97900,1,25,16777215,1602719810,0,49a8a48c,中文系不学高数啊！！！
23.71800,1,25,16777215,1597235297,0,788d7a23,隐秘的角落
14.09100,1,25,16777215,1595859274,0,3b676394,哈哈哈哈哈哈
133.23700,1,25,16777215,1591714964,0,17364614,啊哈哈哈哈哈哈
23.65500,1,25,16777215,1591101216,0,cc0767c,勺子柄 小美
79.11500,1,25,16777215,1590544780,0,61bf265d,哈哈哈哈哈
126.35500,1,25,16777215,1590406743,0,91ccd934,哈哈哈哈哈哈哈哈哈哈
136.74600,1,25,16777215,1589980172,0,7d6597bd,哈哈哈哈哈哈
45.40000,1,25,16777215,1589694925,0,545ae078,哈哈哈哈哈哈哈哈哈
119.18100,1,25,16777215,1589556624,0,10e72cc5,哈哈哈哈哈哈哈哈哈哈
126.27000,1,25,16777215,1589555666,0,98fb93e7,哈哈哈哈哈哈哈
40.71500,1,25,16777215,1589541504,0,d1945433,新鲜的宋老师
78.50000,1,25,16777215,1589470045,0,88da8374,课上看过等等我
0.06700,1,25,16777215,1589462764,0,63061003,热乎的
119.01800,1,25,16777215,1589461603,0,4af7cc7b,哈哈哈哈哈哈哈
19.36900,1,25,16777215,1589459761,0,34536f1b,lei了lei了
55.58700,1,25,16777215,1589453543,0,219c386,这个得人家喜欢你，人家才会去琢磨……
18.99000,1,25,16777215,1589437892,0,ab1baa39,热乎的！
51.11300,1,25,16777215,1589436792,0,e924642a,是个peach
119.05600,1,25,16777215,1589431522,0,7c7ae9dc,哈哈哈哈哈哈哈哈
133.47400,1,25,16777215,1589430738,0,96cfd93c,哈哈哈哈
125.97500,1,25,16777215,1589430384,0,ab06da83,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
33.21100,1,25,16646914,1589428096,0,c579de2d,等比数列
96.33800,1,25,16777215,1589423725,0,aa6be487,哈哈哈哈哈
126.44300,1,25,16777215,1589419496,0,a0964409,哈哈哈哈哈哈哈哈哈哈哈
125.70500,1,25,16777215,1589417978,0,86a92c2e,笑死我了
24.57900,1,25,16777215,1623330621,0,62329cee,高中班主任说过！
118.01600,1,25,16777215,1618454571,0,da3b4972,哈哈哈哈
79.24000,1,25,16777215,1616218987,0,b35fdae3,我有幸-生有你
125.25900,1,25,16777215,1603452191,0,4894ff2e,哈哈哈哈哈哈哈
16.49900,1,25,16777215,1599038726,0,df777adb,山财新生来报到了
27.94600,1,25,16777215,1597910590,0,bc787418,老师你头发呢
118.85100,1,25,16777215,1595859400,0,3b676394,哈哈哈哈哈哈哈哈哈
126.70400,1,25,16777215,1594791336,0,dc7af931,emewwhhhh
92.48600,1,25,16777215,1592910344,0,987847a,这个不会算都可以
125.29700,4,25,104601,1590625201,0,4cd609b,好冷
125.29700,4,25,16765698,1590625191,0,4cd609b,好冷
104.36300,1,25,16777215,1590481177,0,7a5fdbec,哈哈哈哈
56.03300,1,25,16777215,1590233655,0,7cce4fed,wc鹅鹅鹅鹅鹅鹅饿鹅鹅
61.56000,1,25,16777215,1590161980,0,5be66491,小耳朵
137.48500,1,25,16777215,1589878251,0,39a912b6,哈哈哈哈哈哈
77.64000,1,25,16777215,1589694958,0,545ae078,可以可以可以
18.53400,1,25,16777215,1589679646,0,49b244c4,热乎的
126.77900,1,25,16777215,1589636250,0,26345b3f,哈哈哈哈哈哈哈
28.49900,1,25,16777215,1589558913,0,e52cd078,情不自禁来了2倍速
132.05700,1,25,16777215,1589447441,0,9bd44eca,哈哈哈哈
30.47500,1,25,16777215,1589441592,0,46a20803,烤鸡心？
132.03500,1,25,16777215,1589440555,0,345d484a,哈哈哈哈哈哈哈哈哈
118.02500,1,25,16777215,1589439828,0,2086677f,哈哈哈哈哈哈哈
31.09600,1,25,16777215,1589436772,0,e924642a,心形。。。
57.29700,1,25,16777215,1589426361,0,42e55d96,眨眼补帧
39.81600,1,25,16777215,1589423732,0,18fcf7c1,这个放过了！！糊弄我
