弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
24.03100,1,25,16777215,1658707675,0,6f73b6c7,我怎么算出来是-30
11.25900,1,25,16777215,1654438508,0,d7653642,他好正经啊。我不习惯了！！！
36.76300,1,25,16777215,1651919262,0,a13c4d6,前面小妹妹的，笑死我了哈哈哈
19.34900,1,25,16777215,1650453992,0,9d9c38e1,b站追到自己的老师了，幸福
0.00000,1,25,16777215,1657113463,0,b6deb344,我上大学时居然能做出来这种题
32.93900,1,25,16777215,1650199547,0,34346d1e,小妹妹
19.01400,1,25,16777215,1649596695,0,85e582b9,又来找宋浩老师了
20.39800,1,25,16777215,1661504298,0,68125062,为什么有头发了
21.00000,1,25,16777215,1652411042,0,c4ce2747,老师讲题就是催眠术，本来不困，听过之后起不来
17.25700,1,25,14811775,1660899748,0,97cc7e10,旭姐你看到我了嘛
69.03800,1,25,16777215,1660439738,0,c26098d8,有没有人
26.01800,1,25,16777215,1658476639,0,16974576,这是李永乐的660吗？
165.94100,1,25,16777215,1656462173,0,4501ff1a,那个仁兄是哪里的
162.56800,1,25,16777215,1656462149,0,4501ff1a,2个人
93.72300,1,25,16646914,1655459366,0,bc53a7c9,哦
31.65100,1,25,16777215,1654830217,0,da57d7a2,小秘密
15.11600,1,25,16777215,1652104431,0,9601c093,线代69前来还愿！
41.21800,1,25,16777215,1652102528,0,40480e47,小妹妹，你想笑死我，然后继承我的花呗吗，哈哈哈
39.50500,1,25,16777215,1650957367,0,975ac64c,苏苏打卡
24.40100,1,25,16777215,1650901211,0,72baad86,同学，你好
53.76400,1,25,16777215,1648475565,0,e1b9a914,11
