弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
47.32000,1,25,16777215,1659101072,0,f5fc1e21,冷知识：宋老师参与了660的编写
134.97900,1,25,16777215,1645185162,0,128c2b5c,可能因为头发长出来了，把热情压下去了
109.05600,5,25,16755202,1639563936,0,70a486b7,按列展开
126.32300,1,25,16777215,1627786830,0,2149a8b2,老师为什么感觉没有讲课的时候激情了
223.74100,1,25,16777215,1623992075,0,71b9f004,换完了给第三行乘了-1
40.90500,1,25,16777215,1619691314,0,bf7197a0,心动的感觉哈哈哈
0.00000,1,25,16777215,1619666478,0,f7a7b93b,已收藏三年后回来再看hh
56.01300,5,25,16646914,1619661685,0,e3cf7784,宋浩老师你们拿走 勺子柄是我的
11.19900,1,25,16777215,1619623379,0,dd44a931,大爱宋浩老师！！！！神仙老师(✪▽✪)
30.95900,5,25,15138834,1619620809,0,cf2c83b3,给老师排面，深入浅出，通俗易懂
141.78400,1,25,16777215,1661672775,0,82b122ed,听不懂
118.06700,1,25,16777215,1657012842,0,268ca018,没毛病，大爱宋浩老师
8.72700,1,25,16777215,1650526329,0,94aed9a3,关注一年了，今年考研我来看了
20.98000,1,25,16777215,1646293027,0,a7070e32,说数独的，笑死我啦哈哈哈
118.30400,1,25,16777215,1639987168,0,4bd94caa,大一
105.54000,1,25,16777215,1638597366,0,c2a92b5e,有跟我一样听不懂的吗
206.61900,1,25,16777215,1633009709,0,9fd61d90,因为交换行列式的两行，行列式变号，乘以一个负一就不用在行列式前面添一个负号了
170.54500,1,25,16777215,1632900507,0,dccc406e,这语速开二倍速刚刚好，不快不慢
229.01500,1,25,16777215,1631846155,0,680ba2c,用拉普拉斯可以吗
145.10900,1,25,16777215,1629972576,0,778e1289,降阶法
71.57200,1,25,16777215,1629558287,0,7f32930d,准大一跑路
25.26000,1,25,16777215,1629251434,0,dcf81661,希望被埋葬的地方
117.26600,1,25,16777215,1627260736,0,4fbe2803,开心消消乐
