弹幕出现时间,弹幕样式,字号,字体颜色,时间戳,弹幕池,发送者id,弹幕内容
732.93900,1,25,16777215,1652523217,0,cc8d1605,还有兄弟在看吗？
273.21200,1,25,16777215,1646900244,0,7e10b703,大一来战术性前瞻一下
648.65500,1,25,16777215,1646103769,0,3aeebfe0,战术喝水
128.41000,1,25,16777215,1640001704,0,d00f7ae4,前面的，有这种行列式吗？
990.21500,1,25,16777215,1637978826,0,fe463eef,字幕不服气还行哈哈
584.39900,1,25,16777215,1637667779,0,d00d4864,大一随便看看
62.61800,1,25,16777215,1637637136,0,88cd7a52,根本看不完
62.37900,1,25,16777215,1636676153,0,b12fb4b,《一  轮  复  习》
26.82000,1,25,16777215,1635838130,0,d82bd3f9,宋老师yyds
27.89100,1,25,16777215,1635500783,0,bf6d25ee,没人吗？
17.45900,1,25,16777215,1635352910,0,d83cba22,现在12-30还有五十个人在卷
875.65300,1,25,16777215,1635347681,0,65263f42,今年大一，提前插眼
70.69900,1,25,16777215,1635347538,0,a08b958a,爱了
513.15300,1,25,16777215,1661513538,0,5d4353e2,又看不见
511.20300,1,25,16777215,1661513530,0,5d4353e2,别发了，兄弟
731.19200,1,25,16777215,1658886568,0,c862ebde,再见了兄弟们 去打游戏了
692.44600,1,25,16777215,1658886530,0,c862ebde,我
649.36400,1,25,16777215,1658886498,0,c862ebde,不是五个人吗 怎么只有两个
596.51300,1,25,16777215,1658886453,0,c862ebde,姐妹们好
599.59800,1,25,16777215,1658837516,0,5fd57271,22.7.26
553.71800,1,25,16777215,1658837493,0,5fd57271,5
170.78200,1,25,16777215,1653462992,0,fd8a268a,迟了
501.45400,1,25,16777215,1652523102,0,cc8d1605,宋浩，我爱你
671.04000,1,25,16777215,1650269328,0,d5d34114,"23考研,来将可留姓名"
656.38500,1,25,16777215,1650269313,0,d5d34114,就我一个在看
977.43900,1,25,16777215,1648385805,0,739620dd,基础课看谁的
247.55500,1,25,16777215,1647761808,0,5b6eeb0d,加油
550.04700,1,25,16777215,1647321488,0,db51b18e,你们好
123.24500,1,25,16777215,1647175011,0,7662d36f,我现在初三，开始复习
169.06300,1,25,16777215,1646904466,0,e7596b4,660不易，330不难
3.05900,1,25,16777215,1646527667,0,cf96471a,元江别卷了
653.23200,1,25,16777215,1646392226,0,7ae182be,是啊，兄弟你哪个学校的
638.34200,1,25,16777215,1646392209,0,7ae182be,啊
942.32800,1,25,16777215,1646298559,0,15972572,高三的时候懂得，大学却忘了这种独立性
142.17400,1,25,16777215,1645949555,0,cf7c1de8,熟悉？
66.32300,1,25,16777215,1645683458,0,36e7d572,不是二倍都不习惯
894.31600,1,25,16777215,1644393003,0,dc9e6001,2022-02-08
634.75900,1,25,16777215,1643268724,0,c56b5059,考研加油
632.81900,1,25,16777215,1643268715,0,c56b5059,就咱俩在看
625.37900,1,25,16777215,1643268701,0,c56b5059,兄弟你好
110.76600,1,25,16777215,1643163000,0,8ac349a4,老师头发茂密了
163.18900,1,25,16777215,1642855066,0,912525cd,+
219.26300,1,25,16777215,1642661491,0,dc4b39ba,那个大一的可以准备保研了
569.25700,1,25,16777215,1642615103,0,894bb9f7,我在看
91.41100,1,25,16777215,1642476557,0,c5f0922f,那我凉了，我现在寒假才开始复习
105.18300,1,25,16777215,1642397051,0,7128034f,老师感觉老了
892.18200,1,25,16777215,1642165057,0,111fffe,大二已经开始慌了
692.41900,1,25,16777215,1642164902,0,111fffe,七个人现在
680.98500,1,25,16777215,1642164885,0,111fffe,谁在看
1037.50300,1,25,16777215,1642142455,0,e6dc3f17,扫不到啊
523.70700,1,25,16777215,1641977090,0,65dc5631,没人？
100.23600,1,25,16777215,1641804502,0,eb2f464e,线代啥也不会
208.94100,1,25,16777215,1641270584,0,205468a,数学分析在哪里？
236.13900,1,25,16777215,1640790259,0,b83631a5,都看到这了，就打算好好考个研吧，加油陌生人
89.10700,1,25,16777215,1640761183,0,bef6d8f9,找研友
203.54200,1,25,16777215,1640750512,0,2a3413eb,可以，很强。要坚持住，大一决定好了就不能三天打鱼两天晒网
448.15900,1,25,16777215,1639927592,0,fa9c4b55,老师，我爱你
438.11900,1,25,16777215,1639927578,0,fa9c4b55,宋浩，我爱你
901.88200,1,25,16777215,1639576360,0,d0678e8,这个小小的脑袋真的学不来数学了
183.39600,1,25,16777215,1639411372,0,8fec0aac,？？？
584.13400,1,25,16777215,1639239883,0,9af6d44d,12 24
554.83000,1,25,16777215,1639239842,0,9af6d44d,洗洗睡吧别卷了
542.82600,1,25,16777215,1639239830,0,9af6d44d,这个点了
536.82500,1,25,16777215,1639239824,0,9af6d44d,谁在看
654.03300,1,25,16777215,1638781527,0,de7f6753,战术喝水
538.52500,1,25,16777215,1638781412,0,de7f6753,宋老师太棒了
17.81000,1,25,16777215,1638362891,0,cd46ed79,头发哪来的
130.39900,1,25,16777215,1638321506,0,9ead32d5,大一闯入，打扰了
